Sequence   | Mnemonic                 | Expression                     | Instruction                                                  | M16      | M32      | M64      | CpuId      | Id                                                
1265       | POP                      | 1F                             | POP DS                                                       | Y        | Y        | N        | 386+       | Popd_DS                                           
1266       | POP                      | 58+rd                          | POP r32                                                      | Y        | Y        | N        | 386+       | Pop_r32                                           
1267       | POP                      | 58+ro                          | POP r64                                                      | N        | N        | Y        | X64        | Pop_r64                                           
1268       | POP                      | 58+rw                          | POP r16                                                      | Y        | Y        | Y        | 8086+      | Pop_r16                                           
1269       | POP                      | 8F /0                          | POP r/m16                                                    | Y        | Y        | Y        | 8086+      | Pop_rm16                                          
1270       | POP                      | 8F /0                          | POP r/m32                                                    | Y        | Y        | N        | 386+       | Pop_rm32                                          
1271       | POP                      | 8F /0                          | POP r/m64                                                    | N        | N        | Y        | X64        | Pop_rm64                                          
1272       | POPA                     | 61                             | POPA                                                         | Y        | Y        | N        | 186+       | Popaw                                             
1273       | POPAD                    | 61                             | POPAD                                                        | Y        | Y        | N        | 386+       | Popad                                             
1274       | POPCNT                   | F3 0F B8 /r                    | POPCNT r16, r/m16                                            | Y        | Y        | Y        | POPCNT     | Popcnt_r16_rm16                                   
1275       | POPCNT                   | F3 0F B8 /r                    | POPCNT r32, r/m32                                            | Y        | Y        | Y        | POPCNT     | Popcnt_r32_rm32                                   
1276       | POPCNT                   | F3 REX.W 0F B8 /r              | POPCNT r64, r/m64                                            | N        | N        | Y        | POPCNT     | Popcnt_r64_rm64                                   
1277       | POPF                     | 9D                             | POPF                                                         | Y        | Y        | Y        | 8086+      | Popfw                                             
1278       | POPFD                    | 9D                             | POPFD                                                        | Y        | Y        | N        | 386+       | Popfd                                             
1279       | POPFQ                    | 9D                             | POPFQ                                                        | N        | N        | Y        | X64        | Popfq                                             
1280       | POR                      | 66 0F EB /r                    | POR xmm1, xmm2/m128                                          | Y        | Y        | Y        | SSE2       | Por_xmm_xmmm128                                   
1281       | POR                      | NP 0F EB /r                    | POR mm, mm/m64                                               | Y        | Y        | Y        | MMX        | Por_mm_mmm64                                      
1282       | PREFETCH                 | 0F 0D /0                       | PREFETCH m8                                                  | Y        | Y        | Y        | PREFETCHW  | Prefetch_m8                                       
1283       | PREFETCHNTA              | 0F 18 /0                       | PREFETCHNTA m8                                               | Y        | Y        | Y        | SSE        | Prefetchnta_m8                                    
1284       | PREFETCHT0               | 0F 18 /1                       | PREFETCHT0 m8                                                | Y        | Y        | Y        | SSE        | Prefetcht0_m8                                     
1285       | PREFETCHT1               | 0F 18 /2                       | PREFETCHT1 m8                                                | Y        | Y        | Y        | SSE        | Prefetcht1_m8                                     
1286       | PREFETCHT2               | 0F 18 /3                       | PREFETCHT2 m8                                                | Y        | Y        | Y        | SSE        | Prefetcht2_m8                                     
1287       | PREFETCHW                | 0F 0D /1                       | PREFETCHW m8                                                 | Y        | Y        | Y        | PREFETCHW  | Prefetchw_m8                                      
1288       | PREFETCHWT1              | 0F 0D /2                       | PREFETCHWT1 m8                                               | Y        | Y        | Y        | PREFETCHWT1 | Prefetchwt1_m8                                    
1289       | PSADBW                   | 66 0F F6 /r                    | PSADBW xmm1, xmm2/m128                                       | Y        | Y        | Y        | SSE2       | Psadbw_xmm_xmmm128                                
1290       | PSADBW                   | NP 0F F6 /r                    | PSADBW mm1, mm2/m64                                          | Y        | Y        | Y        | SSE        | Psadbw_mm_mmm64                                   
1291       | PSHUFB                   | 66 0F 38 00 /r                 | PSHUFB xmm1, xmm2/m128                                       | Y        | Y        | Y        | SSSE3      | Pshufb_xmm_xmmm128                                
1292       | PSHUFB                   | NP 0F 38 00 /r                 | PSHUFB mm1, mm2/m64                                          | Y        | Y        | Y        | SSSE3      | Pshufb_mm_mmm64                                   
1293       | PSHUFD                   | 66 0F 70 /r ib                 | PSHUFD xmm1, xmm2/m128, imm8                                 | Y        | Y        | Y        | SSE2       | Pshufd_xmm_xmmm128_imm8                           
1294       | PSHUFHW                  | F3 0F 70 /r ib                 | PSHUFHW xmm1, xmm2/m128, imm8                                | Y        | Y        | Y        | SSE2       | Pshufhw_xmm_xmmm128_imm8                          
1295       | PSHUFLW                  | F2 0F 70 /r ib                 | PSHUFLW xmm1, xmm2/m128, imm8                                | Y        | Y        | Y        | SSE2       | Pshuflw_xmm_xmmm128_imm8                          
1296       | PSHUFW                   | NP 0F 70 /r ib                 | PSHUFW mm1, mm2/m64, imm8                                    | Y        | Y        | Y        | SSE        | Pshufw_mm_mmm64_imm8                              
1297       | PSIGNB                   | 66 0F 38 08 /r                 | PSIGNB xmm1, xmm2/m128                                       | Y        | Y        | Y        | SSSE3      | Psignb_xmm_xmmm128                                
1298       | PSIGNB                   | NP 0F 38 08 /r                 | PSIGNB mm1, mm2/m64                                          | Y        | Y        | Y        | SSSE3      | Psignb_mm_mmm64                                   
1299       | PSIGND                   | 66 0F 38 0A /r                 | PSIGND xmm1, xmm2/m128                                       | Y        | Y        | Y        | SSSE3      | Psignd_xmm_xmmm128                                
1300       | PSIGND                   | NP 0F 38 0A /r                 | PSIGND mm1, mm2/m64                                          | Y        | Y        | Y        | SSSE3      | Psignd_mm_mmm64                                   
1301       | PSIGNW                   | 66 0F 38 09 /r                 | PSIGNW xmm1, xmm2/m128                                       | Y        | Y        | Y        | SSSE3      | Psignw_xmm_xmmm128                                
1302       | PSIGNW                   | NP 0F 38 09 /r                 | PSIGNW mm1, mm2/m64                                          | Y        | Y        | Y        | SSSE3      | Psignw_mm_mmm64                                   
1303       | PSLLD                    | 66 0F 72 /6 ib                 | PSLLD xmm1, imm8                                             | Y        | Y        | Y        | SSE2       | Pslld_xmm_imm8                                    
1304       | PSLLD                    | 66 0F F2 /r                    | PSLLD xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Pslld_xmm_xmmm128                                 
1305       | PSLLD                    | NP 0F 72 /6 ib                 | PSLLD mm, imm8                                               | Y        | Y        | Y        | MMX        | Pslld_mm_imm8                                     
1306       | PSLLD                    | NP 0F F2 /r                    | PSLLD mm, mm/m64                                             | Y        | Y        | Y        | MMX        | Pslld_mm_mmm64                                    
1307       | PSLLDQ                   | 66 0F 73 /7 ib                 | PSLLDQ xmm1, imm8                                            | Y        | Y        | Y        | SSE2       | Pslldq_xmm_imm8                                   
1308       | PSLLQ                    | 66 0F 73 /6 ib                 | PSLLQ xmm1, imm8                                             | Y        | Y        | Y        | SSE2       | Psllq_xmm_imm8                                    
1309       | PSLLQ                    | 66 0F F3 /r                    | PSLLQ xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Psllq_xmm_xmmm128                                 
1310       | PSLLQ                    | NP 0F 73 /6 ib                 | PSLLQ mm, imm8                                               | Y        | Y        | Y        | MMX        | Psllq_mm_imm8                                     
1311       | PSLLQ                    | NP 0F F3 /r                    | PSLLQ mm, mm/m64                                             | Y        | Y        | Y        | MMX        | Psllq_mm_mmm64                                    
1312       | PSLLW                    | 66 0F 71 /6 ib                 | PSLLW xmm1, imm8                                             | Y        | Y        | Y        | SSE2       | Psllw_xmm_imm8                                    
1313       | PSLLW                    | 66 0F F1 /r                    | PSLLW xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Psllw_xmm_xmmm128                                 
1314       | PSLLW                    | NP 0F 71 /6 ib                 | PSLLW mm1, imm8                                              | Y        | Y        | Y        | MMX        | Psllw_mm_imm8                                     
1315       | PSLLW                    | NP 0F F1 /r                    | PSLLW mm, mm/m64                                             | Y        | Y        | Y        | MMX        | Psllw_mm_mmm64                                    
1316       | PSMASH                   | F3 0F 01 FF                    | PSMASH                                                       | N        | N        | Y        | SNP        | Psmash                                            
1317       | PSRAD                    | 66 0F 72 /4 ib                 | PSRAD xmm1, imm8                                             | Y        | Y        | Y        | SSE2       | Psrad_xmm_imm8                                    
1318       | PSRAD                    | 66 0F E2 /r                    | PSRAD xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Psrad_xmm_xmmm128                                 
1319       | PSRAD                    | NP 0F 72 /4 ib                 | PSRAD mm, imm8                                               | Y        | Y        | Y        | MMX        | Psrad_mm_imm8                                     
1320       | PSRAD                    | NP 0F E2 /r                    | PSRAD mm, mm/m64                                             | Y        | Y        | Y        | MMX        | Psrad_mm_mmm64                                    
1321       | PSRAW                    | 66 0F 71 /4 ib                 | PSRAW xmm1, imm8                                             | Y        | Y        | Y        | SSE2       | Psraw_xmm_imm8                                    
1322       | PSRAW                    | 66 0F E1 /r                    | PSRAW xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Psraw_xmm_xmmm128                                 
1323       | PSRAW                    | NP 0F 71 /4 ib                 | PSRAW mm, imm8                                               | Y        | Y        | Y        | MMX        | Psraw_mm_imm8                                     
1324       | PSRAW                    | NP 0F E1 /r                    | PSRAW mm, mm/m64                                             | Y        | Y        | Y        | MMX        | Psraw_mm_mmm64                                    
1325       | PSRLD                    | 66 0F 72 /2 ib                 | PSRLD xmm1, imm8                                             | Y        | Y        | Y        | SSE2       | Psrld_xmm_imm8                                    
1326       | PSRLD                    | 66 0F D2 /r                    | PSRLD xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Psrld_xmm_xmmm128                                 
1327       | PSRLD                    | NP 0F 72 /2 ib                 | PSRLD mm, imm8                                               | Y        | Y        | Y        | MMX        | Psrld_mm_imm8                                     
1328       | PSRLD                    | NP 0F D2 /r                    | PSRLD mm, mm/m64                                             | Y        | Y        | Y        | MMX        | Psrld_mm_mmm64                                    
1329       | PSRLDQ                   | 66 0F 73 /3 ib                 | PSRLDQ xmm1, imm8                                            | Y        | Y        | Y        | SSE2       | Psrldq_xmm_imm8                                   
1330       | PSRLQ                    | 66 0F 73 /2 ib                 | PSRLQ xmm1, imm8                                             | Y        | Y        | Y        | SSE2       | Psrlq_xmm_imm8                                    
1331       | PSRLQ                    | 66 0F D3 /r                    | PSRLQ xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Psrlq_xmm_xmmm128                                 
1332       | PSRLQ                    | NP 0F 73 /2 ib                 | PSRLQ mm, imm8                                               | Y        | Y        | Y        | MMX        | Psrlq_mm_imm8                                     
1333       | PSRLQ                    | NP 0F D3 /r                    | PSRLQ mm, mm/m64                                             | Y        | Y        | Y        | MMX        | Psrlq_mm_mmm64                                    
1334       | PSRLW                    | 66 0F 71 /2 ib                 | PSRLW xmm1, imm8                                             | Y        | Y        | Y        | SSE2       | Psrlw_xmm_imm8                                    
1335       | PSRLW                    | 66 0F D1 /r                    | PSRLW xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Psrlw_xmm_xmmm128                                 
1336       | PSRLW                    | NP 0F 71 /2 ib                 | PSRLW mm, imm8                                               | Y        | Y        | Y        | MMX        | Psrlw_mm_imm8                                     
1337       | PSRLW                    | NP 0F D1 /r                    | PSRLW mm, mm/m64                                             | Y        | Y        | Y        | MMX        | Psrlw_mm_mmm64                                    
1338       | PSUBB                    | 66 0F F8 /r                    | PSUBB xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Psubb_xmm_xmmm128                                 
1339       | PSUBB                    | NP 0F F8 /r                    | PSUBB mm, mm/m64                                             | Y        | Y        | Y        | MMX        | Psubb_mm_mmm64                                    
1340       | PSUBD                    | 66 0F FA /r                    | PSUBD xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Psubd_xmm_xmmm128                                 
1341       | PSUBD                    | NP 0F FA /r                    | PSUBD mm, mm/m64                                             | Y        | Y        | Y        | MMX        | Psubd_mm_mmm64                                    
1342       | PSUBQ                    | 66 0F FB /r                    | PSUBQ xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Psubq_xmm_xmmm128                                 
1343       | PSUBQ                    | NP 0F FB /r                    | PSUBQ mm1, mm2/m64                                           | Y        | Y        | Y        | SSE2       | Psubq_mm_mmm64                                    
1344       | PSUBSB                   | 66 0F E8 /r                    | PSUBSB xmm1, xmm2/m128                                       | Y        | Y        | Y        | SSE2       | Psubsb_xmm_xmmm128                                
1345       | PSUBSB                   | NP 0F E8 /r                    | PSUBSB mm, mm/m64                                            | Y        | Y        | Y        | MMX        | Psubsb_mm_mmm64                                   
1346       | PSUBSW                   | 66 0F E9 /r                    | PSUBSW xmm1, xmm2/m128                                       | Y        | Y        | Y        | SSE2       | Psubsw_xmm_xmmm128                                
1347       | PSUBSW                   | NP 0F E9 /r                    | PSUBSW mm, mm/m64                                            | Y        | Y        | Y        | MMX        | Psubsw_mm_mmm64                                   
1348       | PSUBUSB                  | 66 0F D8 /r                    | PSUBUSB xmm1, xmm2/m128                                      | Y        | Y        | Y        | SSE2       | Psubusb_xmm_xmmm128                               
1349       | PSUBUSB                  | NP 0F D8 /r                    | PSUBUSB mm, mm/m64                                           | Y        | Y        | Y        | MMX        | Psubusb_mm_mmm64                                  
1350       | PSUBUSW                  | 66 0F D9 /r                    | PSUBUSW xmm1, xmm2/m128                                      | Y        | Y        | Y        | SSE2       | Psubusw_xmm_xmmm128                               
1351       | PSUBUSW                  | NP 0F D9 /r                    | PSUBUSW mm, mm/m64                                           | Y        | Y        | Y        | MMX        | Psubusw_mm_mmm64                                  
1352       | PSUBW                    | 66 0F F9 /r                    | PSUBW xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE2       | Psubw_xmm_xmmm128                                 
1353       | PSUBW                    | NP 0F F9 /r                    | PSUBW mm, mm/m64                                             | Y        | Y        | Y        | MMX        | Psubw_mm_mmm64                                    
1354       | PSWAPD                   | 0F 0F /r BB                    | PSWAPD mm1, mm2/m64                                          | Y        | Y        | Y        | 3DNOWEXT   | D3NOW_Pswapd_mm_mmm64                             
1355       | PTEST                    | 66 0F 38 17 /r                 | PTEST xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE4.1     | Ptest_xmm_xmmm128                                 
1356       | PTWRITE                  | F3 0F AE /4                    | PTWRITE r/m32                                                | Y        | Y        | Y        | PTWRITE    | Ptwrite_rm32                                      
1357       | PTWRITE                  | F3 REX.W 0F AE /4              | PTWRITE r/m64                                                | N        | N        | Y        | PTWRITE    | Ptwrite_rm64                                      
1358       | PUNPCKHBW                | 66 0F 68 /r                    | PUNPCKHBW xmm1, xmm2/m128                                    | Y        | Y        | Y        | SSE2       | Punpckhbw_xmm_xmmm128                             
1359       | PUNPCKHBW                | NP 0F 68 /r                    | PUNPCKHBW mm, mm/m64                                         | Y        | Y        | Y        | MMX        | Punpckhbw_mm_mmm64                                
1360       | PUNPCKHDQ                | 66 0F 6A /r                    | PUNPCKHDQ xmm1, xmm2/m128                                    | Y        | Y        | Y        | SSE2       | Punpckhdq_xmm_xmmm128                             
1361       | PUNPCKHDQ                | NP 0F 6A /r                    | PUNPCKHDQ mm, mm/m64                                         | Y        | Y        | Y        | MMX        | Punpckhdq_mm_mmm64                                
1362       | PUNPCKHQDQ               | 66 0F 6D /r                    | PUNPCKHQDQ xmm1, xmm2/m128                                   | Y        | Y        | Y        | SSE2       | Punpckhqdq_xmm_xmmm128                            
1363       | PUNPCKHWD                | 66 0F 69 /r                    | PUNPCKHWD xmm1, xmm2/m128                                    | Y        | Y        | Y        | SSE2       | Punpckhwd_xmm_xmmm128                             
1364       | PUNPCKHWD                | NP 0F 69 /r                    | PUNPCKHWD mm, mm/m64                                         | Y        | Y        | Y        | MMX        | Punpckhwd_mm_mmm64                                
1365       | PUNPCKLBW                | 66 0F 60 /r                    | PUNPCKLBW xmm1, xmm2/m128                                    | Y        | Y        | Y        | SSE2       | Punpcklbw_xmm_xmmm128                             
1366       | PUNPCKLBW                | NP 0F 60 /r                    | PUNPCKLBW mm, mm/m32                                         | Y        | Y        | Y        | MMX        | Punpcklbw_mm_mmm32                                
1367       | PUNPCKLDQ                | 66 0F 62 /r                    | PUNPCKLDQ xmm1, xmm2/m128                                    | Y        | Y        | Y        | SSE2       | Punpckldq_xmm_xmmm128                             
1368       | PUNPCKLDQ                | NP 0F 62 /r                    | PUNPCKLDQ mm, mm/m32                                         | Y        | Y        | Y        | MMX        | Punpckldq_mm_mmm32                                
1369       | PUNPCKLQDQ               | 66 0F 6C /r                    | PUNPCKLQDQ xmm1, xmm2/m128                                   | Y        | Y        | Y        | SSE2       | Punpcklqdq_xmm_xmmm128                            
1370       | PUNPCKLWD                | 66 0F 61 /r                    | PUNPCKLWD xmm1, xmm2/m128                                    | Y        | Y        | Y        | SSE2       | Punpcklwd_xmm_xmmm128                             
1371       | PUNPCKLWD                | NP 0F 61 /r                    | PUNPCKLWD mm, mm/m32                                         | Y        | Y        | Y        | MMX        | Punpcklwd_mm_mmm32                                
1372       | PUSH                     | 06                             | PUSH ES                                                      | Y        | Y        | N        | 8086+      | Pushw_ES                                          
1373       | PUSH                     | 06                             | PUSH ES                                                      | Y        | Y        | N        | 386+       | Pushd_ES                                          
1374       | PUSH                     | 0E                             | PUSH CS                                                      | Y        | Y        | N        | 8086+      | Pushw_CS                                          
1375       | PUSH                     | 0E                             | PUSH CS                                                      | Y        | Y        | N        | 386+       | Pushd_CS                                          
1376       | PUSH                     | 0F A0                          | PUSH FS                                                      | Y        | Y        | Y        | 386+       | Pushw_FS                                          
1377       | PUSH                     | 0F A0                          | PUSH FS                                                      | Y        | Y        | N        | 386+       | Pushd_FS                                          
1378       | PUSH                     | 0F A0                          | PUSH FS                                                      | N        | N        | Y        | X64        | Pushq_FS                                          
1379       | PUSH                     | 0F A8                          | PUSH GS                                                      | Y        | Y        | Y        | 386+       | Pushw_GS                                          
1380       | PUSH                     | 0F A8                          | PUSH GS                                                      | Y        | Y        | N        | 386+       | Pushd_GS                                          
1381       | PUSH                     | 0F A8                          | PUSH GS                                                      | N        | N        | Y        | X64        | Pushq_GS                                          
1382       | PUSH                     | 16                             | PUSH SS                                                      | Y        | Y        | N        | 8086+      | Pushw_SS                                          
1383       | PUSH                     | 16                             | PUSH SS                                                      | Y        | Y        | N        | 386+       | Pushd_SS                                          
1384       | PUSH                     | 1E                             | PUSH DS                                                      | Y        | Y        | N        | 8086+      | Pushw_DS                                          
1385       | PUSH                     | 1E                             | PUSH DS                                                      | Y        | Y        | N        | 386+       | Pushd_DS                                          
1386       | PUSH                     | 50+rd                          | PUSH r32                                                     | Y        | Y        | N        | 386+       | Push_r32                                          
1387       | PUSH                     | 50+ro                          | PUSH r64                                                     | N        | N        | Y        | X64        | Push_r64                                          
1388       | PUSH                     | 50+rw                          | PUSH r16                                                     | Y        | Y        | Y        | 8086+      | Push_r16                                          
1389       | PUSH                     | 68 id                          | PUSH imm32                                                   | Y        | Y        | N        | 386+       | Pushd_imm32                                       
1390       | PUSH                     | 68 id                          | PUSH imm32                                                   | N        | N        | Y        | X64        | Pushq_imm32                                       
1391       | PUSH                     | 68 iw                          | PUSH imm16                                                   | Y        | Y        | Y        | 186+       | Push_imm16                                        
1392       | PUSH                     | 6A ib                          | PUSH imm8                                                    | Y        | Y        | Y        | 186+       | Pushw_imm8                                        
1393       | PUSH                     | 6A ib                          | PUSH imm8                                                    | Y        | Y        | N        | 386+       | Pushd_imm8                                        
1394       | PUSH                     | 6A ib                          | PUSH imm8                                                    | N        | N        | Y        | X64        | Pushq_imm8                                        
1395       | PUSHA                    | 60                             | PUSHA                                                        | Y        | Y        | N        | 186+       | Pushaw                                            
1396       | PUSHAD                   | 60                             | PUSHAD                                                       | Y        | Y        | N        | 386+       | Pushad                                            
1397       | PUSHF                    | 9C                             | PUSHF                                                        | Y        | Y        | Y        | 8086+      | Pushfw                                            
1398       | PUSHFD                   | 9C                             | PUSHFD                                                       | Y        | Y        | N        | 386+       | Pushfd                                            
1399       | PUSH                     | FF /6                          | PUSH r/m16                                                   | Y        | Y        | Y        | 8086+      | Push_rm16                                         
1400       | PUSH                     | FF /6                          | PUSH r/m32                                                   | Y        | Y        | N        | 386+       | Push_rm32                                         
1401       | PUSH                     | FF /6                          | PUSH r/m64                                                   | N        | N        | Y        | X64        | Push_rm64                                         
1402       | PUSHFQ                   | 9C                             | PUSHFQ                                                       | N        | N        | Y        | X64        | Pushfq                                            
1403       | PVALIDATE                | a16 F2 0F 01 FF                | PVALIDATE                                                    | Y        | Y        | N        | SNP        | Pvalidatew                                        
1404       | PVALIDATE                | a32 F2 0F 01 FF                | PVALIDATE                                                    | Y        | Y        | Y        | SNP        | Pvalidated                                        
1405       | PVALIDATE                | F2 0F 01 FF                    | PVALIDATE                                                    | N        | N        | Y        | SNP        | Pvalidateq                                        
1406       | PXOR                     | 66 0F EF /r                    | PXOR xmm1, xmm2/m128                                         | Y        | Y        | Y        | SSE2       | Pxor_xmm_xmmm128                                  
1407       | PXOR                     | NP 0F EF /r                    | PXOR mm, mm/m64                                              | Y        | Y        | Y        | MMX        | Pxor_mm_mmm64                                     
1408       | RCL                      | C0 /2 ib                       | RCL r/m8, imm8                                               | Y        | Y        | Y        | 186+       | Rcl_rm8_imm8                                      
1409       | RCL                      | C1 /2 ib                       | RCL r/m16, imm8                                              | Y        | Y        | Y        | 186+       | Rcl_rm16_imm8                                     
1410       | RCL                      | C1 /2 ib                       | RCL r/m32, imm8                                              | Y        | Y        | Y        | 386+       | Rcl_rm32_imm8                                     
1411       | RCL                      | REX.W C1 /2 ib                 | RCL r/m64, imm8                                              | N        | N        | Y        | X64        | Rcl_rm64_imm8                                     
1412       | RCL                      | D0 /2                          | RCL r/m8, 1                                                  | Y        | Y        | Y        | 8086+      | Rcl_rm8_1                                         
1413       | RCL                      | D1 /2                          | RCL r/m16, 1                                                 | Y        | Y        | Y        | 8086+      | Rcl_rm16_1                                        
1414       | RCL                      | D1 /2                          | RCL r/m32, 1                                                 | Y        | Y        | Y        | 386+       | Rcl_rm32_1                                        
1415       | RCL                      | REX.W D1 /2                    | RCL r/m64, 1                                                 | N        | N        | Y        | X64        | Rcl_rm64_1                                        
1416       | RCL                      | D2 /2                          | RCL r/m8, CL                                                 | Y        | Y        | Y        | 8086+      | Rcl_rm8_CL                                        
1417       | RCL                      | D3 /2                          | RCL r/m16, CL                                                | Y        | Y        | Y        | 8086+      | Rcl_rm16_CL                                       
1418       | RCL                      | D3 /2                          | RCL r/m32, CL                                                | Y        | Y        | Y        | 386+       | Rcl_rm32_CL                                       
1419       | RCL                      | REX.W D3 /2                    | RCL r/m64, CL                                                | N        | N        | Y        | X64        | Rcl_rm64_CL                                       
1420       | RCPPS                    | NP 0F 53 /r                    | RCPPS xmm1, xmm2/m128                                        | Y        | Y        | Y        | SSE        | Rcpps_xmm_xmmm128                                 
1421       | RCPSS                    | F3 0F 53 /r                    | RCPSS xmm1, xmm2/m32                                         | Y        | Y        | Y        | SSE        | Rcpss_xmm_xmmm32                                  
1422       | RCR                      | C0 /3 ib                       | RCR r/m8, imm8                                               | Y        | Y        | Y        | 186+       | Rcr_rm8_imm8                                      
1423       | RCR                      | C1 /3 ib                       | RCR r/m16, imm8                                              | Y        | Y        | Y        | 186+       | Rcr_rm16_imm8                                     
1424       | RCR                      | C1 /3 ib                       | RCR r/m32, imm8                                              | Y        | Y        | Y        | 386+       | Rcr_rm32_imm8                                     
1425       | RCR                      | REX.W C1 /3 ib                 | RCR r/m64, imm8                                              | N        | N        | Y        | X64        | Rcr_rm64_imm8                                     
1426       | RCR                      | D0 /3                          | RCR r/m8, 1                                                  | Y        | Y        | Y        | 8086+      | Rcr_rm8_1                                         
1427       | RCR                      | D1 /3                          | RCR r/m16, 1                                                 | Y        | Y        | Y        | 8086+      | Rcr_rm16_1                                        
1428       | RCR                      | D1 /3                          | RCR r/m32, 1                                                 | Y        | Y        | Y        | 386+       | Rcr_rm32_1                                        
1429       | RCR                      | REX.W D1 /3                    | RCR r/m64, 1                                                 | N        | N        | Y        | X64        | Rcr_rm64_1                                        
1430       | RCR                      | D2 /3                          | RCR r/m8, CL                                                 | Y        | Y        | Y        | 8086+      | Rcr_rm8_CL                                        
1431       | RCR                      | D3 /3                          | RCR r/m16, CL                                                | Y        | Y        | Y        | 8086+      | Rcr_rm16_CL                                       
1432       | RCR                      | D3 /3                          | RCR r/m32, CL                                                | Y        | Y        | Y        | 386+       | Rcr_rm32_CL                                       
1433       | RCR                      | REX.W D3 /3                    | RCR r/m64, CL                                                | N        | N        | Y        | X64        | Rcr_rm64_CL                                       
1434       | RDFSBASE                 | F3 0F AE /0                    | RDFSBASE r32                                                 | N        | N        | Y        | FSGSBASE   | Rdfsbase_r32                                      
1435       | RDFSBASE                 | F3 REX.W 0F AE /0              | RDFSBASE r64                                                 | N        | N        | Y        | FSGSBASE   | Rdfsbase_r64                                      
1436       | RDGSBASE                 | F3 0F AE /1                    | RDGSBASE r32                                                 | N        | N        | Y        | FSGSBASE   | Rdgsbase_r32                                      
1437       | RDGSBASE                 | F3 REX.W 0F AE /1              | RDGSBASE r64                                                 | N        | N        | Y        | FSGSBASE   | Rdgsbase_r64                                      
1438       | RDMSR                    | 0F 32                          | RDMSR                                                        | Y        | Y        | Y        | MSR        | Rdmsr                                             
1439       | RDPID                    | F3 0F C7 /7                    | RDPID r32                                                    | Y        | Y        | N        | RDPID      | Rdpid_r32                                         
1440       | RDPID                    | F3 0F C7 /7                    | RDPID r64                                                    | N        | N        | Y        | RDPID      | Rdpid_r64                                         
1441       | RDPKRU                   | NP 0F 01 EE                    | RDPKRU                                                       | Y        | Y        | Y        | PKU        | Rdpkru                                            
1442       | RDPMC                    | 0F 33                          | RDPMC                                                        | Y        | Y        | Y        | Pentium MMX or later, or Pentium Pro or later | Rdpmc                                             
1443       | RDPRU                    | 0F 01 FD                       | RDPRU                                                        | Y        | Y        | Y        | RDPRU      | Rdpru                                             
1444       | RDRAND                   | 0F C7 /6                       | RDRAND r16                                                   | Y        | Y        | Y        | RDRAND     | Rdrand_r16                                        
1445       | RDRAND                   | 0F C7 /6                       | RDRAND r32                                                   | Y        | Y        | Y        | RDRAND     | Rdrand_r32                                        
1446       | RDRAND                   | REX.W 0F C7 /6                 | RDRAND r64                                                   | N        | N        | Y        | RDRAND     | Rdrand_r64                                        
1447       | RDSEED                   | 0F C7 /7                       | RDSEED r16                                                   | Y        | Y        | Y        | RDSEED     | Rdseed_r16                                        
1448       | RDSEED                   | 0F C7 /7                       | RDSEED r32                                                   | Y        | Y        | Y        | RDSEED     | Rdseed_r32                                        
1449       | RDSEED                   | REX.W 0F C7 /7                 | RDSEED r64                                                   | N        | N        | Y        | RDSEED     | Rdseed_r64                                        
1450       | RDSSPD                   | F3 0F 1E /1                    | RDSSPD r32                                                   | Y        | Y        | Y        | CET_SS     | Rdsspd_r32                                        
1451       | RDSSPQ                   | F3 REX.W 0F 1E /1              | RDSSPQ r64                                                   | N        | N        | Y        | CET_SS     | Rdsspq_r64                                        
1452       | RDTSC                    | 0F 31                          | RDTSC                                                        | Y        | Y        | Y        | TSC        | Rdtsc                                             
1453       | RDTSCP                   | 0F 01 F9                       | RDTSCP                                                       | Y        | Y        | Y        | RDTSCP     | Rdtscp                                            
1454       | RESERVEDNOP              | 0F 0D /r                       | RESERVEDNOP r/m16, r16                                       | Y        | Y        | Y        | CPUID.01H.EAX[Bits 11:8] = 0110B or 1111B | ReservedNop_rm16_r16_0F0D                         
1455       | RESERVEDNOP              | 0F 0D /r                       | RESERVEDNOP r/m32, r32                                       | Y        | Y        | Y        | CPUID.01H.EAX[Bits 11:8] = 0110B or 1111B | ReservedNop_rm32_r32_0F0D                         
1456       | RESERVEDNOP              | REX.W 0F 0D /r                 | RESERVEDNOP r/m64, r64                                       | N        | N        | Y        | CPUID.01H.EAX[Bits 11:8] = 0110B or 1111B | ReservedNop_rm64_r64_0F0D                         
1457       | RESERVEDNOP              | 0F 18 /r                       | RESERVEDNOP r/m16, r16                                       | Y        | Y        | Y        | CPUID.01H.EAX[Bits 11:8] = 0110B or 1111B | ReservedNop_rm16_r16_0F18                         
