AAA                  | DECIMAL        | BASE           | I86            | 0x37 not64                                                                       | REG0=XED_REG_AL:rw:SUPP REG1=XED_REG_AH:rw:SUPP
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x18 MOD[0b11] MOD=3 REG[0b101] RM[nnn]                                     | REG0=GPRv_B():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x18 MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM()                              | MEM0:r:v
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x18 MOD[0b11] MOD=3 REG[0b110] RM[nnn]                                     | REG0=GPRv_B():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x18 MOD[mm] MOD!=3 REG[0b111] RM[nnn] MODRM()                              | MEM0:r:v
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x18 MOD[0b11] MOD=3 REG[0b111] RM[nnn]                                     | REG0=GPRv_B():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x19 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x19 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x1A MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x1A MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x1B MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x1B MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x1C MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x1C MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x1D MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x1D MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x1E MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x1E MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x1F MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | FAT_NOP        | 0x0F 0x1F MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | KNC_MISC       | 0x0F 0x1F MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM()                              | MEM0:r:v
NOP                  | WIDENOP        | BASE           | KNC_MISC       | 0x0F 0x1F MOD[0b11] MOD=3 REG[0b000] RM[nnn]                                     | REG0=GPRv_B():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1E MOD[0b11] MOD=3  REG[0b111] RM[0b010]  f3_refining_prefix CET=0        | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1E MOD[0b11] MOD=3  REG[0b111] RM[0b011]  f3_refining_prefix CET=0        | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1E MOD[0b11] MOD=3  REG[0b001] RM[nnn]  f3_refining_prefix W0 CET=0       | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1E MOD[0b11] MOD=3  REG[0b001] RM[nnn]  f3_refining_prefix W1 mode64  CET=0 | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1C MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() f2_refining_prefix           | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1C MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() f3_refining_prefix           | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1C MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() osz_refining_prefix          | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1C MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM()                              | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1C MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM()                              | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1C MOD[mm] MOD!=3 REG[0b011] RM[nnn] MODRM()                              | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1C MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM()                              | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1C MOD[mm] MOD!=3 REG[0b101] RM[nnn] MODRM()                              | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1C MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM()                              | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1C MOD[mm] MOD!=3 REG[0b111] RM[nnn] MODRM()                              | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1C MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1C MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM() no_refining_prefix CLDEMOTE=0 | MEM0:r:v REG0=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1A MPXMODE=1 MOD[0b11] MOD=3 REG[rrr] RM[nnn] no_refining_prefix          | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1B MPXMODE=1 MOD[0b11] MOD=3 REG[rrr] RM[nnn] no_refining_prefix          | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1B MPXMODE=1 MOD[0b11] MOD=3 REG[rrr] RM[nnn] f3_refining_prefix          | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1A MPXMODE=0 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                             | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1B MPXMODE=0 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                             | REG0=GPRv_B():r REG1=GPRv_R():r
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1A MPXMODE=0 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                      | REG0=GPRv_B():r MEM0:r:v
NOP                  | WIDENOP        | BASE           | PPRO           | 0x0F 0x1B MPXMODE=0 MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()                     | REG0=GPRv_B():r MEM0:r:v
NOP                  | WIDENOP        | BASE           | PREFETCH_NOP   | 0x0F 0x0D MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=GPRv_B():r REG1=GPRv_R():r
NOT                  | LOGICAL        | BASE           | I86            | 0xF6 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() nolock_prefix                     | MEM0:rw:b
NOT                  | LOGICAL        | BASE           | I86            | 0xF6 MOD[0b11] MOD=3 REG[0b010] RM[nnn]                                          | REG0=GPR8_B():rw
NOT                  | LOGICAL        | BASE           | I86            | 0xF7 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() nolock_prefix                     | MEM0:rw:v
NOT                  | LOGICAL        | BASE           | I86            | 0xF7 MOD[0b11] MOD=3 REG[0b010] RM[nnn]                                          | REG0=GPRv_B():rw
NOT_LOCK             | LOGICAL        | BASE           | I86            | 0xF6 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() lock_prefix                       | MEM0:rw:b
NOT_LOCK             | LOGICAL        | BASE           | I86            | 0xF7 MOD[mm] MOD!=3 REG[0b010] RM[nnn] MODRM() lock_prefix                       | MEM0:rw:v
OR                   | LOGICAL        | BASE           | I86            | 0x80 MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM() SIMM8() nolock_prefix             | MEM0:rw:b IMM0:r:b:i8
OR                   | LOGICAL        | BASE           | I86            | 0x80 MOD[0b11] MOD=3 REG[0b001] RM[nnn] SIMM8()                                  | REG0=GPR8_B():rw IMM0:r:b:i8
OR                   | LOGICAL        | BASE           | I86            | 0x81 MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM() SIMMz() nolock_prefix             | MEM0:rw:v IMM0:r:z
OR                   | LOGICAL        | BASE           | I86            | 0x81 MOD[0b11] MOD=3 REG[0b001] RM[nnn] SIMMz()                                  | REG0=GPRv_B():rw IMM0:r:z
OR                   | LOGICAL        | BASE           | I86            | 0x82 MOD[mm] MOD!=3 REG[0b001] RM[nnn] not64 MODRM() SIMM8() nolock_prefix       | MEM0:rw:b IMM0:r:b:i8
OR                   | LOGICAL        | BASE           | I86            | 0x82 MOD[0b11] MOD=3 REG[0b001] RM[nnn] not64 SIMM8()                            | REG0=GPR8_B():rw IMM0:r:b:i8
OR                   | LOGICAL        | BASE           | I86            | 0x83 MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM() SIMM8() nolock_prefix             | MEM0:rw:v IMM0:r:b:i8
OR                   | LOGICAL        | BASE           | I86            | 0x83 MOD[0b11] MOD=3 REG[0b001] RM[nnn] SIMM8()                                  | REG0=GPRv_B():rw IMM0:r:b:i8
OR                   | LOGICAL        | BASE           | I86            | 0x08 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                       | MEM0:rw:b REG0=GPR8_R():r
OR                   | LOGICAL        | BASE           | I86            | 0x08 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPR8_B():rw REG1=GPR8_R():r
OR                   | LOGICAL        | BASE           | I86            | 0x09 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                       | MEM0:rw:v REG0=GPRv_R():r
OR                   | LOGICAL        | BASE           | I86            | 0x09 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPRv_B():rw REG1=GPRv_R():r
OR                   | LOGICAL        | BASE           | I86            | 0x0A MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                     | REG0=GPR8_R():rw MEM0:r:b
OR                   | LOGICAL        | BASE           | I86            | 0x0A MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPR8_R():rw REG1=GPR8_B():r
OR                   | LOGICAL        | BASE           | I86            | 0x0B MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                     | REG0=GPRv_R():rw MEM0:r:v
OR                   | LOGICAL        | BASE           | I86            | 0x0B MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                            | REG0=GPRv_R():rw REG1=GPRv_B():r
OR                   | LOGICAL        | BASE           | I86            | 0x0C UIMM8()                                                                     | REG0=XED_REG_AL:rw:IMPL IMM0:r:b
OR                   | LOGICAL        | BASE           | I86            | 0x0D SIMMz()                                                                     | REG0=OrAX():rw:IMPL IMM0:r:z
OR_LOCK              | LOGICAL        | BASE           | I86            | 0x80 MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM() SIMM8() lock_prefix               | MEM0:rw:b IMM0:r:b:i8
OR_LOCK              | LOGICAL        | BASE           | I86            | 0x81 MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM() SIMMz() lock_prefix               | MEM0:rw:v IMM0:r:z
OR_LOCK              | LOGICAL        | BASE           | I86            | 0x82 MOD[mm] MOD!=3 REG[0b001] RM[nnn] not64 MODRM() SIMM8() lock_prefix         | MEM0:rw:b IMM0:r:b:i8
OR_LOCK              | LOGICAL        | BASE           | I86            | 0x83 MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM() SIMM8() lock_prefix               | MEM0:rw:v IMM0:r:b:i8
OR_LOCK              | LOGICAL        | BASE           | I86            | 0x08 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                         | MEM0:rw:b REG0=GPR8_R():r
OR_LOCK              | LOGICAL        | BASE           | I86            | 0x09 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                         | MEM0:rw:v REG0=GPRv_R():r
OUT                  | IO             | BASE           | I86            | 0xE6 UIMM8()                                                                     | IMM0:r:b REG0=XED_REG_AL:r:IMPL
OUT                  | IO             | BASE           | I86            | 0xE7 UIMM8() IMMUNE_REXW()                                                       | IMM0:r:b REG0=OeAX():r:IMPL
OUT                  | IO             | BASE           | I86            | 0xEE                                                                             | REG0=XED_REG_DX:r:IMPL REG1=XED_REG_AL:r:IMPL
OUT                  | IO             | BASE           | I86            | 0xEF IMMUNE_REXW()                                                               | REG0=XED_REG_DX:r:IMPL REG1=OeAX():r:IMPL
OUTSB                | IOSTRINGOP     | BASE           | I186           | 0x6E norep OVERRIDE_SEG0()                                                       | REG0=XED_REG_DX:r:SUPP MEM0:r:SUPP:b BASE0=ArSI():rw:SUPP SEG0=FINAL_DSEG():r:SUPP
OUTSD                | IOSTRINGOP     | BASE           | I386           | 0x6F mode16 66_prefix  norep OVERRIDE_SEG0()                                     | REG0=XED_REG_DX:r:SUPP MEM0:r:SUPP:d BASE0=ArSI():rw:SUPP SEG0=FINAL_DSEG():r:SUPP
OUTSD                | IOSTRINGOP     | BASE           | I386           | 0x6F mode32 no66_prefix  norep OVERRIDE_SEG0()                                   | REG0=XED_REG_DX:r:SUPP MEM0:r:SUPP:d BASE0=ArSI():rw:SUPP SEG0=FINAL_DSEG():r:SUPP
OUTSD                | IOSTRINGOP     | BASE           | I386           | 0x6F mode64 norexw_prefix no66_prefix  norep OVERRIDE_SEG0()                     | REG0=XED_REG_DX:r:SUPP MEM0:r:SUPP:d BASE0=ArSI():rw:SUPP SEG0=FINAL_DSEG():r:SUPP
OUTSD                | IOSTRINGOP     | BASE           | I386           | 0x6F mode64 rexw_prefix  norep OVERRIDE_SEG0()                                   | REG0=XED_REG_DX:r:SUPP MEM0:r:SUPP:d BASE0=ArSI():rw:SUPP SEG0=FINAL_DSEG():r:SUPP
OUTSW                | IOSTRINGOP     | BASE           | I186           | 0x6F mode16 no66_prefix norep OVERRIDE_SEG0()                                    | REG0=XED_REG_DX:r:SUPP MEM0:r:SUPP:w BASE0=ArSI():rw:SUPP SEG0=FINAL_DSEG():r:SUPP
OUTSW                | IOSTRINGOP     | BASE           | I186           | 0x6F mode32 66_prefix norep OVERRIDE_SEG0()                                      | REG0=XED_REG_DX:r:SUPP MEM0:r:SUPP:w BASE0=ArSI():rw:SUPP SEG0=FINAL_DSEG():r:SUPP
OUTSW                | IOSTRINGOP     | BASE           | I186           | 0x6F mode64 norexw_prefix 66_prefix  norep OVERRIDE_SEG0()                       | REG0=XED_REG_DX:r:SUPP MEM0:r:SUPP:w BASE0=ArSI():rw:SUPP SEG0=FINAL_DSEG():r:SUPP
PABSB                | MMX            | SSSE3          | SSSE3MMX       | 0x0F 0x38 0x1C no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()       | REG0=MMX_R():w:q MEM0:r:q
PABSB                | MMX            | SSSE3          | SSSE3MMX       | 0x0F 0x38 0x1C no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]               | REG0=MMX_R():w:q REG1=MMX_B():r:q
PABSD                | MMX            | SSSE3          | SSSE3MMX       | 0x0F 0x38 0x1E no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()       | REG0=MMX_R():w:q MEM0:r:q
PABSD                | MMX            | SSSE3          | SSSE3MMX       | 0x0F 0x38 0x1E no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]               | REG0=MMX_R():w:q REG1=MMX_B():r:q
PABSW                | MMX            | SSSE3          | SSSE3MMX       | 0x0F 0x38 0x1D no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()       | REG0=MMX_R():w:q MEM0:r:q
PABSW                | MMX            | SSSE3          | SSSE3MMX       | 0x0F 0x38 0x1D no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]               | REG0=MMX_R():w:q REG1=MMX_B():r:q
PACKSSDW             | MMX            | MMX            | PENTIUMMMX     | 0x0F 0x6B no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q:i32 MEM0:r:q:i32
PACKSSDW             | MMX            | MMX            | PENTIUMMMX     | 0x0F 0x6B no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q:i32 REG1=MMX_B():r:q:i32
PACKSSWB             | MMX            | MMX            | PENTIUMMMX     | 0x0F 0x63 no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q:i16 MEM0:r:q:i16
PACKSSWB             | MMX            | MMX            | PENTIUMMMX     | 0x0F 0x63 no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q:i16 REG1=MMX_B():r:q:i16
PACKUSWB             | MMX            | MMX            | PENTIUMMMX     | 0x0F 0x67 no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q:i16 MEM0:r:q:i16
PACKUSWB             | MMX            | MMX            | PENTIUMMMX     | 0x0F 0x67 no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q:i16 REG1=MMX_B():r:q:i16
PADDB                | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xFC no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q MEM0:r:q
PADDB                | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xFC no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q REG1=MMX_B():r:q
PADDD                | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xFE no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q MEM0:r:q
PADDD                | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xFE no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q REG1=MMX_B():r:q
PADDQ                | MMX            | SSE2           | SSE2MMX        | 0x0F 0xD4 no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q:u64 MEM0:r:q:u64
PADDQ                | MMX            | SSE2           | SSE2MMX        | 0x0F 0xD4 no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q:u64 REG1=MMX_B():r:q:u64
PADDSB               | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xEC no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q MEM0:r:q
PADDSB               | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xEC no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q REG1=MMX_B():r:q
PADDSW               | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xED no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q MEM0:r:q
PADDSW               | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xED no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q REG1=MMX_B():r:q
PADDUSB              | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xDC no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q MEM0:r:q
PADDUSB              | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xDC no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q REG1=MMX_B():r:q
PADDUSW              | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xDD no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q MEM0:r:q
PADDUSW              | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xDD no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q REG1=MMX_B():r:q
PADDW                | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xFD no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q MEM0:r:q
PADDW                | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xFD no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q REG1=MMX_B():r:q
PALIGNR              | MMX            | SSSE3          | SSSE3MMX       | 0x0F 0x3A 0x0F no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM() UIMM8() | REG0=MMX_R():rw:q MEM0:r:q IMM0:r:b
PALIGNR              | MMX            | SSSE3          | SSSE3MMX       | 0x0F 0x3A 0x0F no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]  UIMM8()      | REG0=MMX_R():rw:q REG1=MMX_B():r:q IMM0:r:b
PAND                 | LOGICAL        | MMX            | PENTIUMMMX     | 0x0F 0xDB no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q MEM0:r:q
PAND                 | LOGICAL        | MMX            | PENTIUMMMX     | 0x0F 0xDB no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q REG1=MMX_B():r:q
PANDN                | LOGICAL        | MMX            | PENTIUMMMX     | 0x0F 0xDF no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q MEM0:r:q
PANDN                | LOGICAL        | MMX            | PENTIUMMMX     | 0x0F 0xDF no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q REG1=MMX_B():r:q
PAUSE                | MISC           | PAUSE          | PAUSE          | 0b1001_0 SRM[0b000] SRM=0  refining_f3 P4=1                                      | 
PAVGB                | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xE0 no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q MEM0:r:q
PAVGB                | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xE0 no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q:i8 REG1=MMX_B():r:q:i8
PAVGW                | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xE3 no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q:i16 MEM0:r:q:i16
PAVGW                | MMX            | MMX            | PENTIUMMMX     | 0x0F 0xE3 no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q:i16 REG1=MMX_B():r:q:i16
PCMPEQB              | MMX            | MMX            | PENTIUMMMX     | 0x0F 0x74 no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q:i8 MEM0:r:q:i8
PCMPEQB              | MMX            | MMX            | PENTIUMMMX     | 0x0F 0x74 no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q:i8 REG1=MMX_B():r:q:i8
PCMPEQD              | MMX            | MMX            | PENTIUMMMX     | 0x0F 0x76 no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q:i32 MEM0:r:q:i32
PCMPEQD              | MMX            | MMX            | PENTIUMMMX     | 0x0F 0x76 no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q:i32 REG1=MMX_B():r:q:i32
PCMPEQW              | MMX            | MMX            | PENTIUMMMX     | 0x0F 0x75 no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()            | REG0=MMX_R():rw:q:i16 MEM0:r:q:i16
PCMPEQW              | MMX            | MMX            | PENTIUMMMX     | 0x0F 0x75 no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                    | REG0=MMX_R():rw:q:i16 REG1=MMX_B():r:q:i16
PCMPESTRI            | SSE            | SSE4           | SSE42          | 0x0F 0x3A 0x61 osz_refining_prefix IMMUNE66() not64 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() UIMM8() | REG0=XMM_R():r:dq     MEM0:r:dq         IMM0:r:b REG1=XED_REG_EAX:r:SUPP REG2=XED_REG_EDX:r:SUPP REG3=XED_REG_ECX:w:SUPP
PCMPESTRI            | SSE            | SSE4           | SSE42          | 0x0F 0x3A 0x61 osz_refining_prefix IMMUNE66() not64  MOD[0b11] MOD=3 REG[rrr] RM[nnn] UIMM8() | REG0=XMM_R():r:dq     REG1=XMM_B():r:dq IMM0:r:b REG2=XED_REG_EAX:r:SUPP REG3=XED_REG_EDX:r:SUPP REG4=XED_REG_ECX:w:SUPP
PCMPESTRI            | SSE            | SSE4           | SSE42          | 0x0F 0x3A 0x61 osz_refining_prefix IMMUNE66() mode64 norexw_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() UIMM8() | REG0=XMM_R():r:dq     MEM0:r:dq         IMM0:r:b REG1=XED_REG_EAX:r:SUPP REG2=XED_REG_EDX:r:SUPP REG3=XED_REG_ECX:w:SUPP
