Type        | Z0.IAddressable                                                       | Characterizes an address-identified target
Method      | Z0.asci.pack(Z0.Base10,System.Char,System.Char,System.Char,System.Char,System.Char,System.Char,System.Char,System.Char)| Encodes eight decimal digits d := 0x[c7][c6][c5][c4][c3][c2][c1][c0] for characters c7, c6, c5, c4, c3, c2, c1, c0 in the inclusive range [0,9]
Method      | Z0.asci.unpack(Z0.Base10,System.UInt64,Z0.N8,System.Byte@)            | Extracts all eight digits from the source
Method      | Z0.asci.render(System.ReadOnlySpan{Z0.BinaryDigit},System.Span{System.Char})| Formats a span of binary digits as a contiguous block
Method      | Z0.asci.render(System.ReadOnlySpan{Z0.DeciDigit},System.Span{System.Char})| Formats a span of hex digits as a contiguous block
Method      | Z0.asci.render(System.ReadOnlySpan{Z0.HexDigit},System.Span{System.Char})| Formats a span of hex digits as a contiguous block
Method      | Z0.asci.u8(Z0.Base10,System.Char)                                     | Converts a character in the inclusive range [0,9] to the corresponding number in the same range
Method      | Z0.asci.u16(Z0.Base10,System.Char)                                    | Converts a character in the inclusive range [0,9] to the corresponding number in the same range
Method      | Z0.asci.u32(Z0.Base10,System.Char)                                    | Converts a character in the inclusive range [0,9] to the corresponding number in the same range
Method      | Z0.asci.u64(Z0.Base10,System.Char)                                    | Converts a character in the inclusive range [0,9] to the corresponding number in the same range
Method      | Z0.asci.spec``3(``0[])                                                | Defines a symbol spec
Method      | Z0.asci.symval(Z0.BinaryDigit)                                        | Computes the source digit's symbol value
Method      | Z0.asci.symval(Z0.OctalDigit)                                         | Computes the source digit's symbol value
Method      | Z0.asci.symval(Z0.DeciDigit)                                          | Computes the source digit's symbol value
Method      | Z0.asci.symval(Z0.LowerCased,Z0.HexDigit)                             | Computes the source digit's symbol value
Method      | Z0.asci.symval(Z0.UpperCased,Z0.HexDigit)                             | Computes the source digit's symbol value
Method      | Z0.asci.uppercase(System.Char)                                        | if given a lowercase character [a..z], produces the corresponding uppercase charcter [A..z]            Otherwise, returns the input unharmed
Method      | Z0.asci.vasci(Z0.W256,System.SByte,Z0.Hex4)                           | Loads up to 16 asci scalar symbols [offset, offset + count]
Method      | Z0.asci.vasci(Z0.W512,System.SByte,Z0.Hex5)                           | Loads up to 32 asci scalar symbols [offset, offset + count]
Type        | Z0.Digital                                                            | Defines operations over character digits
Method      | Z0.Digital.digit(System.Char)                                         | Converts a character in the inclusive range [0,9] to the corresponding number in the same range
Method      | Z0.Digital.digit8(System.Char)                                        | Converts a character in the inclusive range [0,9] to the corresponding number in the same range
Method      | Z0.Digital.digit8(System.UInt16,System.Int32)                         | Extracts an index-identified encoded digit
Method      | Z0.Digital.digit8(System.UInt32,System.Int32)                         | Extracts an index-identified encoded digit
Method      | Z0.Digital.digit8(System.UInt64,System.Int32)                         | Extracts an index-identified encoded digit
Method      | Z0.Digital.digits(Z0.Base10,System.Char,System.Char)                  | Encodes two decimal digits d := 0x[c1][c0] for characters c2, c1 in the inclusive range [0,9]
Method      | Z0.Digital.digits(Z0.Base10,System.Char,System.Char,System.Char)      | Encodes three decimal digits d := 0x[c2][c1][c0] for characters c2, c1, c0 in the inclusive range [0,9]
Method      | Z0.Digital.digits(Z0.Base10,System.Char,System.Char,System.Char,System.Char)| Encodes four decimal digits d := 0x[c3][c2][c1][c0] for characters c3, c2, c1, c0 in the inclusive range [0,9]
Method      | Z0.Digital.digits(Z0.Base10,System.Char,System.Char,System.Char,System.Char,System.Char)| Encodes five decimal digits d := 0x[c4][c3][c2][c1][c0] for characters c4, c3, c2, c1, c0 in the inclusive range [0,9]
Method      | Z0.Digital.digits(Z0.Base10,System.Char,System.Char,System.Char,System.Char,System.Char,System.Char,System.Char,System.Char)| Encodes eight decimal digits d := 0x[c7][c6][c5][c4][c3][c2][c1][c0] for characters c7, c6, c5, c4, c3, c2, c1, c0 in the inclusive range [0,9]
Method      | Z0.Digital.digit(System.UInt64,System.Int32)                          | Extracts an index-identified encoded digit
Method      | Z0.Digital.digits(System.UInt64,System.Byte@,System.Byte@)            | Extracts two encoded digits
Method      | Z0.Digital.lo(System.UInt64,System.Byte@,System.Byte@,System.Byte@,System.Byte@)| Extracts the four lo digits
Method      | Z0.Digital.hi(System.UInt64,System.Byte@,System.Byte@,System.Byte@,System.Byte@)| Extracts the four hi digits
Method      | Z0.Digital.digits(System.UInt64,Z0.N1,System.Byte@)                   | Extracts the first digit from the source
Method      | Z0.Digital.digits(System.UInt64,Z0.N2,System.Byte@)                   | Extracts the first two digits from the source
Method      | Z0.Digital.digits(System.UInt64,Z0.N3,System.Byte@)                   | Extracts the first three digits from the source
Method      | Z0.Digital.digits(System.UInt64,Z0.N4,System.Byte@)                   | Extracts the first four digits from the source
Method      | Z0.Digital.digits(System.UInt64,Z0.N5,System.Byte@)                   | Extracts the first five digits from the source
Method      | Z0.Digital.digits(System.UInt64,Z0.N6,System.Byte@)                   | Extracts the first six digits from the source
Method      | Z0.Digital.digits(System.UInt64,Z0.N7,System.Byte@)                   | Extracts the first seven digits from the source
Method      | Z0.Digital.unpack(Z0.Base10,System.UInt64,Z0.N8,System.Byte@)         | Extracts all eight digits from the source
Method      | Z0.AsciResource.resource``1(Z0.asci32,``0,System.Nullable{Z0.asci64}) | Creates an asci resource
Method      | Z0.AsciResource.resource``1(``0,System.Nullable{Z0.asci64})           | Creates an eponymous asci resource
Method      | Z0.AsciTest.digit(System.Char)                                        | Tests whether a character symbol is one of '0'..'9'
Method      | Z0.AsciTest.letter(Z0.UpperCased,System.Char)                         | Tests whether a character is an uppercase asci letter character
Method      | Z0.AsciTest.letter(Z0.LowerCased,System.Char)                         | Tests whether a character is a lowercase asci letter character
Method      | Z0.AsciTest.letter(System.Char)                                       | Tests whether a character is an asci letter character
Method      | Z0.AsciTest.IsNumeral(Z0.HexSymLo)                                    | Tests whether a lowercase hex symbol is a numeral
Method      | Z0.AsciTest.IsNumeral(Z0.HexSymUp)                                    | Tests whether a uppercas hex symbol is a numeral
Method      | Z0.AsciTest.IsLetter(Z0.HexSymLo)                                     | Tests whether a lowercase hex symbol is a letter
Method      | Z0.AsciTest.IsLetter(Z0.HexSymUp)                                     | Tests whether an uppercase hex symbol is a letter
Method      | Z0.AsciTest.IsHexDigit(Z0.UpperCased,System.Char)                     | Determines whether a character is an upper-cased hex digit
Method      | Z0.AsciTest.IsHexDigit(Z0.LowerCased,System.Char)                     | Determines whether a character is a lower-cased hex digit
Method      | Z0.AsciTest.IsHexDigit(System.Char)                                   | Determines whether a character is a hex digit of any case
Method      | Z0.AsciTest.IsHexScalar(System.Char)                                  | Determines whether a character corresponds to one of the lower hex codes
Method      | Z0.AsciTest.IsHexUpper(System.Char)                                   | Determines whether a character corresponds to one of the uppercase hex code characters
Method      | Z0.AsciTest.IsHexLower(System.Char)                                   | Determines whether a character corresponds to one of the lowercase hex code characters
Method      | Z0.AsciTest.IsSpace(System.Char)                                      | Tests whether a character is a space
Method      | Z0.AsciTest.IsTab(System.Char)                                        | Tests whether a character is a space
Type        | Z0.bit                                                                | An anti-succinct representation of a bit
Property    | Z0.bit.Off                                                            | Constructs a disabled bit
Property    | Z0.bit.On                                                             | Constructs an enabled bit
Method      | Z0.bit.test(System.SByte,System.Byte)                                 | Tests the state of an index-identified source bit
Method      | Z0.bit.test(System.Byte,System.Int32)                                 | Tests the state of an index-identified source bit
Method      | Z0.bit.test(System.Int16,System.Int32)                                | Tests the state of an index-identified source bit
Method      | Z0.bit.test(System.UInt16,System.Int32)                               | Tests the state of an index-identified source bit
Method      | Z0.bit.test(System.Int32,System.Int32)                                | Tests the state of an index-identified source bit
Method      | Z0.bit.test(System.Int64,System.Int32)                                | Tests the state of an index-identified source bit
Method      | Z0.bit.test(System.UInt32,System.Int32)                               | Tests the state of an index-identified source bit
Method      | Z0.bit.test(System.UInt64,System.Int32)                               | Tests the state of an index-identified source bit
Method      | Z0.bit.set(System.SByte,System.Byte,Z0.bit)                           | Aligns an index-identified source bit with with a suplied state
Method      | Z0.bit.set(System.Byte,System.Byte,Z0.bit)                            | Aligns an index-identified source bit with with a suplied state
Method      | Z0.bit.set(System.Int16,System.Byte,Z0.bit)                           | Aligns an index-identified source bit with with a suplied state
Method      | Z0.bit.set(System.UInt16,System.Byte,Z0.bit)                          | Aligns an index-identified source bit with with a suplied state
Method      | Z0.bit.set(System.Int32,System.Byte,Z0.bit)                           | Aligns an index-identified source bit with with a suplied state
Method      | Z0.bit.set(System.UInt32,System.Byte,Z0.bit)                          | Aligns an index-identified source bit with with a suplied state
Method      | Z0.bit.set(System.Int64,System.Byte,Z0.bit)                           | Aligns an index-identified source bit with with a suplied state
Method      | Z0.bit.set(System.UInt64,System.Byte,Z0.bit)                          | Aligns an index-identified source bit with with a suplied state
Method      | Z0.bit.identity(Z0.bit)                                               | The identity function
Method      | Z0.bit.or(Z0.bit,Z0.bit)                                              | Computes c = a | b
Method      | Z0.bit.xor(Z0.bit,Z0.bit)                                             | Computes c = a ^ b
Method      | Z0.bit.not(Z0.bit)                                                    | Computes c := ~a = !a
Method      | Z0.bit.nor(Z0.bit,Z0.bit)                                             | Computes c := ~ (a | b)
Method      | Z0.bit.xnor(Z0.bit,Z0.bit)                                            | Computes c := ~ (a ^ b)
Method      | Z0.bit.impl(Z0.bit,Z0.bit)                                            | Computes c := a -&gt; b := a | ~b
Method      | Z0.bit.cimpl(Z0.bit,Z0.bit)                                           | Computes the converse implication c := ~a | b
Method      | Z0.bit.op_True(Z0.bit)                                                | Returns true if the bit is enabled, false otherwise
Method      | Z0.bit.op_False(Z0.bit)                                               | Returns false if the bit is disabled, true otherwise
Method      | Z0.bit.op_Implicit(System.Boolean)~Z0.bit                             | Implicitly constructs a bit from a bool
Method      | Z0.bit.op_Implicit(Z0.bit)~System.Boolean                             | Implicitly constructs a bool from a bit
Method      | Z0.bit.op_Explicit(Z0.bit)~System.Byte                                | Defines an explicit bit -&gt; byte conversion
Method      | Z0.bit.op_Explicit(Z0.bit)~System.SByte                               | Defines an explicit bit -&gt; byte conversion
Method      | Z0.bit.op_Explicit(System.Byte)~Z0.bit                                | Defines an explicit byte -&gt; bit conversion
Method      | Z0.bit.op_Explicit(Z0.bit)~System.UInt16                              | Defines an explicit bit -&gt; ushort conversion
Method      | Z0.bit.op_Explicit(Z0.bit)~System.Int16                               | Defines an explicit bit -&gt; ushort conversion
Method      | Z0.bit.op_Explicit(System.UInt16)~Z0.bit                              | Defines an explicit ushort -&gt; bit conversion
Method      | Z0.bit.op_Explicit(Z0.bit)~System.Int32                               | Defines an explicit bit -&gt; int conversion
Method      | Z0.bit.op_Implicit(System.Int32)~Z0.bit                               | Defines an *implicit* int -&gt; bit conversion to aid sanity retention
Method      | Z0.bit.op_Explicit(Z0.bit)~System.UInt32                              | Defines an explicit bit -&gt; uint conversion
Method      | Z0.bit.op_Explicit(Z0.bit)~System.Int64                               | Defines an explicit bit -&gt; long conversion
Method      | Z0.bit.op_Explicit(Z0.bit)~System.Single                              | Defines an explicit bit -&gt; float conversion
Method      | Z0.bit.op_Explicit(Z0.bit)~System.Double                              | Defines an explicit bit -&gt; double conversion
Method      | Z0.bit.op_Explicit(System.UInt32)~Z0.bit                              | Defines an explicit uint -&gt; bit conversion
Method      | Z0.bit.op_Explicit(Z0.bit)~System.UInt64                              | Defines an explicit bit -&gt; ulong conversion
Method      | Z0.bit.op_Explicit(System.UInt64)~Z0.bit                              | Defines an explicit ulong -&gt; bit conversion
Method      | Z0.bit.op_Addition(Z0.bit,Z0.bit)                                     | Combines the states of the source bits
Method      | Z0.bit.op_BitwiseAnd(Z0.bit,Z0.bit)                                   | Computes the bitwise AND between the operands
Method      | Z0.bit.op_BitwiseOr(Z0.bit,Z0.bit)                                    | Computes the bitwise OR between the operands
Method      | Z0.bit.op_ExclusiveOr(Z0.bit,Z0.bit)                                  | Computes the bitwise XOR between the operands
Method      | Z0.bit.op_OnesComplement(Z0.bit)                                      | Inverts the state of the source bit
Method      | Z0.bit.op_LogicalNot(Z0.bit)                                          | Inverts the state of the source bit
Method      | Z0.bit.Promote``1                                                     | Promotes a bit to a numeric value where all target bits are enabled if the state of the            bit is on; otherwise all target bits are disabled
Type        | Z0.BitField32                                                         | Defines an extremely lo-tech 32-bit bitfield
Type        | Z0.BitField32`1                                                       | Defines an extremely lo-tech 32-bit bitfield, as in the non-parametric version,            but field content is indexed by an enumeration
Method      | Z0.BitStream.from``1(System.Collections.Generic.IEnumerator{``0})     | Transforms an primal enumerator into a bitstream
Method      | Z0.BitStream.from``1(System.Collections.Generic.IEnumerable{``0})     | Transforms an primal source stream into a bitstream
Method      | Z0.Casts.cast``2(``0@,``1@)                                           | Reinterprents a source value through the perpective of another type
Method      | Z0.FunctionInfo.size(System.Reflection.MethodInfo)                    | Returns the size of the method, if known; otherwise, returns the monoidal zero
Method      | Z0.IFunctionJit.Jit(System.Reflection.MethodInfo,System.Nullable{System.Int32})| Jits the source method and confers its size, if specified
Method      | Z0.ILocatedCodeParser.Parse(Z0.LocatedCode)                           | Located code in, and perhaps, located code out
Type        | Z0.IMemoryExtractor                                                   | Characterizes a service that extracts encoded data from a given base address
Type        | Z0.IMemoryReader                                                      | Characterizes a service reads data from a source address and deposits to caller-supplied targets
Type        | Z0.DynamicDelegate                                                    | Encloses a delegate that was manufactured dynamically
Field       | Z0.DynamicDelegate.Id                                                 | The delegate identity
Field       | Z0.DynamicDelegate.SourceMethod                                       | The method invoked by the dynamic operator that provides the substance of the operation
Field       | Z0.DynamicDelegate.TargetMethod                                       | The dynamically-generated method that backs the dynamic operator
Field       | Z0.DynamicDelegate.DynamicOp                                          | The dynamic operation
Method      | Z0.DynamicDelegate.Invoke(System.Object[])                            | Invokes the dynamic delegate dynamically
Method      | Z0.DynamicDelegate.As``1                                              | The existing delegate, parametrically
Type        | Z0.DynamicDelegate`1                                                  | Encloses a generic delegate that was manufactured dynamically
Field       | Z0.DynamicDelegate`1.Id                                               | The delegate identity
Field       | Z0.DynamicDelegate`1.Source                                           | The method invoked by the dynamic operator that provides the substance of the operation
Field       | Z0.DynamicDelegate`1.Target                                           | The dynamically-generated method that backs the dynamic operator
Field       | Z0.DynamicDelegate`1.DynamicOp                                        | The dynamic operation
Type        | Z0.DynamicPointer                                                     | Encloses a pointer to the native definition of a dynamic delegate
Method      | Z0.DynamicPointer.pointer(System.Reflection.Emit.DynamicMethod)       | Finds the magical function pointer for a dynamic method
Type        | Z0.BitDataTypeConverter                                               | Conversion provider for the bit data type
Method      | Z0.Cast.to``2(``0)                                                    | Unconditionally converts, with much haste and no waste, a value of parametric numeric kind             to a value of another parametric numeric kind.
Method      | Z0.Delegates.action(System.Reflection.MethodInfo,System.Object)       | Creates an action delegate from a method
Method      | Z0.Delegates.type(System.Reflection.MethodInfo)                       | Infers a delegate type compatible with the signature of a specified methods
Method      | Z0.Delegates.binary``1(System.Reflection.MethodInfo,System.Object)    | Creates a binary operator from a method
Method      | Z0.Delegates.dynamic``1(Z0.OpIdentity,System.Reflection.MethodInfo,System.Reflection.Emit.DynamicMethod)| Creates a parameteric dynamic delegate
Method      | Z0.Delegates.dynamic(Z0.OpIdentity,System.Reflection.MethodInfo,System.Reflection.Emit.DynamicMethod,System.Type)| Creates a non-parameteric dynamic delegate
Method      | Z0.Delegates.dynamic(Z0.OpIdentity,System.Reflection.MethodInfo,System.Reflection.Emit.DynamicMethod,System.Delegate)| Creates a non-parameteric dynamic delegate
Method      | Z0.Delegates.from(System.Reflection.MethodInfo,System.Type,System.Object)| Creates an untyped delegate
Method      | Z0.Delegates.from``1(System.Reflection.MethodInfo,System.Object)      | Creates a generic delegate
Method      | Z0.Delegates.func``1(System.Reflection.MethodInfo,``0)                | Creates a function delegate of generic arity 1 from a static method
Method      | Z0.Delegates.func``2(System.Reflection.MethodInfo,``0,``1)            | Creates a function delegate of generic arity 2 from a static method
Method      | Z0.Delegates.func``3(System.Reflection.MethodInfo,``0,``1,``2)        | Creates a function delegate of generic arity 3 from a static method
Method      | Z0.Delegates.func``4(System.Reflection.MethodInfo,``0,``1,``2,``3)    | Creates a function delegate of generic arity 4 from a static method
Method      | Z0.Delegates.sink``1(System.Reflection.MethodInfo,System.Object)      | Creates a reception delegate/sink from a method
Method      | Z0.Delegates.source``1(System.Reflection.MethodInfo,System.Object)    | Creates an emitter from a method
Method      | Z0.Delegates.ternary``1(System.Reflection.MethodInfo,System.Object)   | Creates a ternary operator from a method
Method      | Z0.Delegates.unary``1(System.Reflection.MethodInfo,System.Object)     | Creates a unary operator from a method
Method      | Z0.Boxy.rebox(System.Object,Z0.NumericKind)                           | Uncoditionaly converts a boxed numeric value of one kind to a boxed numeric value of specified kind, if possible.            If not possible, returns the original value
Method      | Z0.Boxy.box(System.Int16,Z0.NumericKind)                              | Converts a numeric source value to a boxed numeric value of specified kind
Method      | Z0.Boxy.box(System.UInt16,Z0.NumericKind)                             | Converts a numeric source value to a boxed numeric value of specified kind
Method      | Z0.Boxy.box(System.Single,Z0.NumericKind)                             | Converts a numeric source value to a boxed numeric value of specified kind
Method      | Z0.Boxy.box(System.Int32,Z0.NumericKind)                              | Converts a numeric source value to a boxed numeric value of specified kind
Method      | Z0.Boxy.box(System.UInt32,Z0.NumericKind)                             | Converts a numeric source value to a boxed numeric value of specified kind
Method      | Z0.Boxy.box(System.Double,Z0.NumericKind)                             | Converts a numeric source value to a boxed numeric value of specified kind
Method      | Z0.Boxy.box(System.Int64,Z0.NumericKind)                              | Converts a numeric source value to a boxed numeric value of specified kind
Method      | Z0.Boxy.box(System.UInt64,Z0.NumericKind)                             | Converts a numeric source value to a boxed numeric value of specified kind
Method      | Z0.Boxy.box(System.SByte,Z0.NumericKind)                              | Converts a numeric source value to a boxed numeric value of specified kind
Method      | Z0.Boxy.box(System.Byte,Z0.NumericKind)                               | Converts a numeric source value to a boxed numeric value of specified kind
Method      | Z0.FunctionCil.bytes(System.Reflection.Emit.DynamicMethod)            | See https://stackoverflow.com/questions/4148297/resolving-the-tokens-found-in-the-il-from-a-dynamic-method/35711376#35711376
Method      | Z0.FunctionJit.jit(System.Type)                                       | Jits the method declared by a specified type
Method      | Z0.FunctionPointer.from(Z0.DynamicDelegate)                           | Creates a dynamic pointer from an untyped dynamic delegate
Method      | Z0.FunctionPointer.from``1(Z0.DynamicDelegate{``0})                   | Creates a dynamic pointer from a generic dynamic delegate
Method      | Z0.NumericArray.to``2(``0[],``1[])                                    | Unconditionally converts the source values to values of parametric numeric type
Method      | Z0.NumericArray.to``2(``0[])                                          | Unconditionally converts the source values to values of parametric numeric type
Method      | Z0.NumericCast.convert``2(``0)                                        | If possible, applies the conversion S -&gt; T
Method      | Z0.NumericCast.convert``1(System.Byte,``0)                            | If possible, applies the conversion byte -&gt; T
Method      | Z0.NumericCast.convert``1(System.SByte,``0)                           | If possible, applies the conversion sbyte -&gt; T
Method      | Z0.NumericCast.convert``1(System.UInt16,``0)                          | If possible, applies the conversion ushort -&gt; T
Method      | Z0.NumericCast.convert``1(System.Int16,``0)                           | If possible, applies the conversion short -&gt; T
Method      | Z0.NumericCast.convert``1(System.Int32,``0)                           | If possible, applies the conversion int -&gt; T
Method      | Z0.NumericCast.convert``1(System.UInt32,``0)                          | If possible, applies the conversion uint -&gt; T
Method      | Z0.NumericCast.convert``1(System.Int64,``0)                           | If possible, applies the conversion long -&gt; T
Method      | Z0.NumericCast.convert``1(System.UInt64,``0)                          | If possible, applies the conversion ulong -&gt; T
Method      | Z0.NumericCast.convert``1(System.Single,``0)                          | If possible, applies the conversion float -&gt; T
Method      | Z0.NumericCast.convert``1(System.Double,``0)                          | If possible, applies the conversion double -&gt; T
Field       | Z0.NumericLiterals.z8i                                                | The zero-value for an 8-bit signed integer
Field       | Z0.NumericLiterals.z8                                                 | The zero-value for an 8-bit usigned integer
Field       | Z0.NumericLiterals.z16i                                               | The zero-value for a 16-bit signed integer
Field       | Z0.NumericLiterals.z16                                                | The zero-value for a 16-bit unsigned integer
Field       | Z0.NumericLiterals.z32i                                               | The zero-value for a 32-bit signed integer
Field       | Z0.NumericLiterals.z32                                                | The zero-value for a 32-bit usigned integer
Field       | Z0.NumericLiterals.z64i                                               | The zero-value for a 64-bit signed integer
Field       | Z0.NumericLiterals.z64                                                | The zero-value for a 64-bit usigned integer
Field       | Z0.NumericLiterals.z32f                                               | The zero-value for a 32-bit float
Field       | Z0.NumericLiterals.z64f                                               | The zero-value for a 64-bit float
Field       | Z0.NumericLiterals.i8max                                              | The maximum value for an 8-bit signed integer
Field       | Z0.NumericLiterals.u8max                                              | The maximum value for an 8-bit usigned integer
Field       | Z0.NumericLiterals.i16max                                             | The maximum value for a 16-bit signed integer
Field       | Z0.NumericLiterals.u16max                                             | The maximum value for a 16-bit unsigned integer
Field       | Z0.NumericLiterals.i32max                                             | The maximum value for a 32-bit signed integer
Field       | Z0.NumericLiterals.u32max                                             | The maximum value for a 32-bit usigned integer
Field       | Z0.NumericLiterals.i64max                                             | The maximum value for a 64-bit signed integer
Field       | Z0.NumericLiterals.u64max                                             | The maximum value for a 64-bit usigned integer
Field       | Z0.NumericLiterals.f32max                                             | The maximum value for a 32-bit float
Field       | Z0.NumericLiterals.f64max                                             | The maximum value for a 64-bit float
Field       | Z0.NumericLiterals.i8min                                              | The minimum value for an 8-bit signed integer
Field       | Z0.NumericLiterals.i16min                                             | The minimum value for a 16-bit signed integer
Field       | Z0.NumericLiterals.i32min                                             | The minimum value for a 32-bit signed integer
Field       | Z0.NumericLiterals.i64min                                             | The minimum value for a 64-bit signed integer
Method      | Z0.NumericLiterals.zero``1                                            | Returns generic 0 for a primal source type
Method      | Z0.NumericLiterals.zero``1(``0)                                       | Returns generic 0 for a primal source type
Method      | Z0.NumericLiterals.one``1                                             | Returns generic 1 for a primal source type
Method      | Z0.NumericLiterals.one``1(``0)                                        | Returns generic 1 for a primal source type
Method      | Z0.NumericLiterals.ones``1                                            | Ones all bits each and every ... one
Method      | Z0.NumericLiterals.ones``1(``0)                                       | Ones all bits each and every ... one
Method      | Z0.NumericLiterals.minval``1                                          | Returns the minimum value supported by a parametrically-identified primal type
Method      | Z0.NumericLiterals.maxval``1                                          | Returns the maximim value supported by a parametrically-identified primal type
Method      | Z0.ICheckInvariant.yea(System.Boolean,System.String,System.String,System.String,System.Nullable{System.Int32})| Asserts the operand is true
Method      | Z0.ICheckInvariant.nea(System.Boolean,System.String,System.String,System.String,System.Nullable{System.Int32})| Asserts the operand is false
Method      | Z0.ICheckNull.notnull(System.Void*,System.String,System.String,System.String,System.Nullable{System.Int32})| Asserts the pointer is not null
Property    | Z0.ICheckOptions.Enabled                                              | Specifies whether the test is enabled
Property    | Z0.ICheckOptions.CycleCount                                           | The number times to repeat an action
Property    | Z0.ICheckOptions.RoundCount                                           | The number of times to repeat a cycle
Method      | Z0.ICheckSets.seteq``1(System.Collections.Generic.ISet{``0},System.Collections.Generic.ISet{``0},System.String,System.String,System.Nullable{System.Int32})| Asserts the equality of two sets
Method      | Z0.ICheckSets.contains``1(System.Collections.Generic.ISet{``0},``0,System.String,System.String,System.Nullable{System.Int32})| Asserts that a set contains a specified element
Method      | Z0.ICheckSets.contains``1(System.Collections.Generic.ISet{``0},``0[]) | Asserts that a set contains a specified element
Method      | Z0.IValidator.Failed(Z0.ClaimKind,Z0.IAppMsg)                         | Creates, but does not throw, a claim exception
Method      | Z0.IValidator.OnFailure(Z0.ClaimKind,System.String,System.String,System.Nullable{System.Int32})| Handles a claim failure by throwing an exception
Method      | Z0.IValidator.Require(System.Boolean,Z0.ClaimKind,System.String,System.String,System.Nullable{System.Int32})| Raises an exception if an invariant does not hold
Method      | Z0.IValidator.Failed(Z0.ClaimKind,System.String,System.String,System.Nullable{System.Int32})| Creates, but does not throw, a claim exception
Method      | Z0.IValidator.FailWith(System.String,System.String,System.String,System.Nullable{System.Int32})| Fails unconditionally with a message
Type        | Z0.ClaimException                                                     | Raised when a validation check has failed
Method      | Z0.Streams.nonempty``1(``0,``0[])                                     | Constructs a nonempty stream
Method      | Z0.Streams.from``1(``0[])                                             | Constructs a stream, possily empty
Method      | Z0.Streams.from``1(System.Collections.Generic.IEnumerable{``0},System.Collections.Generic.IEnumerable{``0})| Concatenates the source streams to create a unified stream
Method      | Z0.Streams.from``1(System.Collections.Generic.IEnumerable{``0},System.Collections.Generic.IEnumerable{``0},System.Collections.Generic.IEnumerable{``0})| Concatenates the source streams to create a unified stream
Method      | Z0.Streams.join``1(System.Collections.Generic.IEnumerable{``0}[])     | All of your streams belong to us
Type        | Z0.IOpIndex`1                                                         | Characterizes anything that can be uniquely identified by an operation identity and
Property    | Z0.IOpIndex`1.EntryCount                                              | The number of indexed items
Property    | Z0.IOpIndex`1.Keys                                                    | The item keys
Property    | Z0.IOpIndex`1.DuplicateKeys                                           | Duplicate keys found the source that were rejected from the index
Property    | Z0.IOpIndex`1.Item(Z0.OpIdentity)                                     | Looks up the index item and blows up if item does not exist
Method      | Z0.IOpIndex`1.Lookup(Z0.OpIdentity)                                   | A server version of the lookup indexer that returns an optional value, thus allowing            for the possibility that the id doesn't identify anything in the index
Property    | Z0.IOpIndex`1.Enumerated                                              | Enumerates the key/value index pairs
Method      | Z0.Primitive.kind(System.TypeCode)                                    | Returns the type-code identified primal kind
Type        | Z0.IndexedSeq`1                                                       | Reifies a canonical indexed sequence container
Method      | Z0.IndexedSeq`1.op_Implicit(`0[])~Z0.IndexedSeq{`0}                   | Implicitly constructs a sequence from an array
Type        | Z0.Multiset`1                                                         | Implementation of a basic multiset
Method      | Z0.Multiset`1.AddRange(System.Collections.Generic.IEnumerable{`0})    | Adds a sequence of items to the set
Method      | Z0.Multiset`1.DistinctCounts(System.Collections.Generic.IEnumerable{`0})| Selects the occurrence count for each item in the source
Property    | Z0.Multiset`1.Duplicates                                              | Selects the members that occur more than once
Method      | Z0.Multiset`1.IsMember(`0)                                            | Determines whether an item exists in the set
Method      | Z0.Multiset`1.Occurrences                                             | Selects all contained items with their occurrence counts
Method      | Z0.Multiset`1.DistinctCount(`0)                                       | Retrieves the times a specified item appears in the set
Property    | Z0.Multiset`1.Members                                                 | Enumerates the distinct members
Type        | Z0.ReadOnlySet`1                                                      | Contains a finite set of values
Method      | Z0.ReadOnlySet`1.IsSubset(Z0.ReadOnlySet{`0},System.Boolean)          | Determines whether the current set is a subset of a specified set.
Method      | Z0.ReadOnlySet`1.IsSuperset(Z0.ReadOnlySet{`0},System.Boolean)        | Determines whether the current set is a superset of a specified set.
Method      | Z0.ReadOnlySet`1.Intersect(Z0.ReadOnlySet{`0})                        | Calculates the intersection between the current set and a specified set and            returns a new set that embodies this result
Method      | Z0.ReadOnlySet`1.Difference(Z0.ReadOnlySet{`0},System.Boolean)        | Calculates the set difference, or symmetric difference, between the current set and a specified set             and returns a new set that embodies this result
Method      | Z0.ReadOnlySet`1.Intersects(Z0.ReadOnlySet{`0})                       | Determine whether the current set and a specified set have a nonemtpy intersection
Type        | Z0.Seq`1                                                              | Refies a canonical sequence container with content that need not be finite
Method      | Z0.Seq`1.op_Implicit(`0[])~Z0.Seq{`0}                                 | Implicitly constructs a sequence from an array
Method      | Z0.FiniteSet.define``1(``0[])                                         | Constructs a finite set from supplied members
Method      | Z0.FiniteSet.define``1(System.Collections.Generic.IEnumerable{``0})   | Constructs a finite set from supplied sequence
Method      | Z0.MultisetX.ToMultiSet``1(System.Collections.Generic.IEnumerable{``0})| Creates a multiset from a source sequence
Property    | Z0.EncodedIndex.EntryCount                                            | The number of indexed functions
Property    | Z0.EncodedIndex.LocationKeys                                          | The base addresses that identify entries in the index
Property    | Z0.EncodedIndex.IndexedCode                                           | All indexed code
Property    | Z0.EncodedIndex.Operations                                            | Operation idenfiers, each of which are associated with one or more code blocks
