Method      | Z0.BitVector.add(Z0.BitVector4,Z0.BitVector4)                         | Computes the arithmetic sum z := x + y for bitvectors x and y
Method      | Z0.BitVector.not(Z0.BitVector64)                                      | Computes the bitwise complement z:= ~x of a bitvector x
Method      | Z0.BitVector.ntz``1(Z0.BitVector{``0}@)                               | Counts the number of trailing zero bits
Method      | Z0.BitVector.ntz``2(Z0.BitVector{``0,``1}@)                           | Counts the number of trailing zero bits
Method      | Z0.BitVector.ntz``2(Z0.BitVector128{``0,``1}@)                        | Counts the number of trailing zeros
Method      | Z0.BitVector.ntz(Z0.BitVector8)                                       | Counts the number of trailing zero bits
Method      | Z0.BitVector.ntz(Z0.BitVector16)                                      | Counts the number of trailing zero bits
Method      | Z0.BitVector.ntz(Z0.BitVector32)                                      | Counts the number of trailing zero bits
Method      | Z0.BitVector.ntz(Z0.BitVector64)                                      | Counts the number of trailing zero bits
Method      | Z0.BitVector.ones``1                                                  | Returns a generic vector with all bits enabled
Method      | Z0.BitVector.or``1(Z0.BitVector{``0},Z0.BitVector{``0})               | Computes the bitvector z := x | y from bitvectors x and y
Method      | Z0.BitVector.or``2(Z0.BitVector{``0,``1},Z0.BitVector{``0,``1})       | Computes the bitvector z := x ^ y from bitvectors x and y
Method      | Z0.BitVector.or``2(Z0.BitVector128{``0,``1}@,Z0.BitVector128{``0,``1}@)| Computes the bitvector z := x ^ y from bitvectors x and y
Method      | Z0.BitVector.or(Z0.BitVector4,Z0.BitVector4)                          | Computes the bitvector z := x | y from bitvectors x and y
Method      | Z0.BitVector.or(Z0.BitVector8,Z0.BitVector8)                          | Computes the bitvector z := x | y from bitvectors x and y
Method      | Z0.BitVector.or(Z0.BitVector16,Z0.BitVector16)                        | Computes the bitvector z := x | y from bitvectors x and y
Method      | Z0.BitVector.or(Z0.BitVector32,Z0.BitVector32)                        | Computes the bitvector z := x | y from bitvectors x and y
Method      | Z0.BitVector.or(Z0.BitVector64,Z0.BitVector64)                        | Computes the bitvector z := x | y from bitvectors x and y
Method      | Z0.BitVector.ord(Z0.BitVector8)                                       | Computes the smallest integer n &gt; 1 such that v^n = identity
Method      | Z0.BitVector.parity``1(Z0.BitVector{``0})                             | Computes the parity of a generic bitvector, which is 1 if an odd number of its components are enabled and 0 otherwise
Method      | Z0.BitVector.parity(Z0.BitVector4)                                    | Computes the parity of the source vector, which is 1 if an odd number of its components are enabled and 0 otherwise
Method      | Z0.BitVector.parity(Z0.BitVector8)                                    | Computes the parity of the source vector, which is 1 if an odd number of its components are enabled and 0 otherwise
Method      | Z0.BitVector.parity(Z0.BitVector16)                                   | Computes the parity of the source vector, which is 1 if an odd number of its components are enabled and 0 otherwise
Method      | Z0.BitVector.parity(Z0.BitVector32)                                   | Computes the parity of the source vector, which is 1 if an odd number of its components are enabled and 0 otherwise
Method      | Z0.BitVector.parity(Z0.BitVector64)                                   | Computes the parity of the source vector, which is 1 if an odd number of its components are enabled and 0 otherwise
Method      | Z0.BitVector.parity``2(Z0.BitVector{``0,``1})                         | Computes the parity of a natural bitvector, which is 1 if an odd number of its components are enabled and 0 otherwise
Method      | Z0.BitVector.parity``2(Z0.BitVector128{``0,``1}@)                     | Computes the parity of the source vector
Method      | Z0.BitVector.perm(Z0.BitVector4,Z0.Perm@)                             | Permutes the vector corrding to the spec
Method      | Z0.BitVector.perm(Z0.BitVector8,Z0.Perm@)                             | Applies a permutation to a replicated vector
Method      | Z0.BitVector.perm(Z0.BitVector16,Z0.Perm@)                            | Rearranges the vector in-place as specified by a permutation
Method      | Z0.BitVector.perm(Z0.BitVector32,Z0.Perm@)                            | Rearranges the vector specified by a permutation
Method      | Z0.BitVector.perm(Z0.BitVector64,Z0.Perm@)                            | Creates a new vector by permuting a replica of the source vector as specified by a permuation
Method      | Z0.BitVector.perm``1(Z0.BitVector{``0},Z0.Perm@)                      | Rearranges the vector as specified by a permutation
Method      | Z0.BitVector.pop``1(Z0.BitVector{``0})                                | Counts the number of enabled bits in the source vector
Method      | Z0.BitVector.pop``2(Z0.BitVector{``0,``1})                            | Counts the number of enabled bits in the source vector
Method      | Z0.BitVector.pop(Z0.BitVector4)                                       | Counts the number of enabled bits in the source vector
Method      | Z0.BitVector.pop(Z0.BitVector8)                                       | Counts the number of enabled bits in the source vector
Method      | Z0.BitVector.pop(Z0.BitVector16)                                      | Counts the number of enabled bits in the source vector
Method      | Z0.BitVector.pop(Z0.BitVector32)                                      | Counts the number of enabled bits in the source vector
Method      | Z0.BitVector.pop(Z0.BitVector64)                                      | Counts the number of enabled bits in the source vector
Method      | Z0.BitVector.pow(Z0.BitVector8,System.Int32)                          | Raises a vector to a power
Method      | Z0.BitVector.left``1(Z0.BitVector{``0},Z0.BitVector{``0})             | Defines the bitwise LeftProject operator
Method      | Z0.BitVector.right``1(Z0.BitVector{``0},Z0.BitVector{``0})            | Defines the bitwise RightProject operator
Method      | Z0.BitVector.lnot``1(Z0.BitVector{``0},Z0.BitVector{``0})             | Defines the bitwise LeftNot operator
Method      | Z0.BitVector.rnot``1(Z0.BitVector{``0},Z0.BitVector{``0})             | Defines the bitwise RightNot operator
Method      | Z0.BitVector.replicate``1(Z0.BitVector{``0})                          | Creates a copy of the source vector
Method      | Z0.BitVector.replicate``2(Z0.BitVector{``0,``1})                      | Creates a copy of the source vector
Method      | Z0.BitVector.replicate``2(Z0.BitVector128{``0,``1}@)                  | Creates a copy of the source vector
Method      | Z0.BitVector.replicate(Z0.BitVector4)                                 | Creates a copy of the source vector
Method      | Z0.BitVector.replicate(Z0.BitVector4,Z0.N2)                           | Creates an 8-bit vector by concatenating the source vector with a replicant
Method      | Z0.BitVector.replicate(Z0.BitVector8)                                 | Creates a copy of the source vector
Method      | Z0.BitVector.replicate(Z0.BitVector8,Z0.N2)                           | Creates a 16-bit vector by concatenating the source vector with a replicant
Method      | Z0.BitVector.replicate(Z0.BitVector8,Z0.N4)                           | Creates a 32-bit vector by concatenating 4 source replicants
Method      | Z0.BitVector.replicate(Z0.BitVector8,Z0.N8)                           | Creates a 64-bit vector by concatenating 8 source replicants
Method      | Z0.BitVector.replicate(Z0.BitVector16)                                | Creates a copy of the source vector
Method      | Z0.BitVector.replicate(Z0.BitVector16,Z0.N2)                          | Creates a 32-bit vector by concatenating the source vector with a replicant
Method      | Z0.BitVector.replicate(Z0.BitVector16,Z0.N4)                          | Creates a 64-bit vector by concatenating 4 source replicants
Method      | Z0.BitVector.replicate(Z0.BitVector32)                                | Creates a copy of the source vector
Method      | Z0.BitVector.replicate(Z0.BitVector32,Z0.N2)                          | Creates a 64-bit vector by concatenating the source vector with a replicant
Method      | Z0.BitVector.replicate(Z0.BitVector64)                                | Creates a copy of the source vector
Method      | Z0.BitVector.reverse``1(Z0.BitVector{``0})                            | Reverses the bits in the source vector
Method      | Z0.BitVector.reverse``2(Z0.BitVector{``0,``1})                        | Reverses the bits in the source vector
Method      | Z0.BitVector.reverse(Z0.BitVector4)                                   | Reverses the bits in the source vector
Method      | Z0.BitVector.reverse(Z0.BitVector8)                                   | Reverses the bits in the source vector
Method      | Z0.BitVector.reverse(Z0.BitVector16)                                  | Reverses the bits in the source vector
Method      | Z0.BitVector.reverse(Z0.BitVector32)                                  | Reverses the bits in the source vector
Method      | Z0.BitVector.reverse(Z0.BitVector64)                                  | Reverses the bits in the source vector
Method      | Z0.BitVector.rotl(Z0.BitVector4,System.Byte)                          | Rotates source bits leftward
Method      | Z0.BitVector.rotl(Z0.BitVector8,System.Byte)                          | Rotates source bits leftward
Method      | Z0.BitVector.rotl(Z0.BitVector16,System.Byte)                         | Rotates source bits leftward
Method      | Z0.BitVector.rotl(Z0.BitVector32,System.Byte)                         | Rotates source bits leftward
Method      | Z0.BitVector.rotl(Z0.BitVector64,System.Byte)                         | Rotates source bits leftward
Method      | Z0.BitVector.rotl``1(Z0.BitVector{``0},System.Byte)                   | Rotates source bits leftward
Method      | Z0.BitVector.rotl``2(Z0.BitVector{``0,``1},System.Byte)               | Rotates source bits leftward
Method      | Z0.BitVector.rotl``2(Z0.BitVector128{``0,``1}@,System.Byte)           | Rotates source bits leftward
Method      | Z0.BitVector.rotr(Z0.BitVector4,System.Byte)                          | Computes a rightward bit rotation
Method      | Z0.BitVector.rotr(Z0.BitVector8,System.Byte)                          | Computes a rightward bit rotation
Method      | Z0.BitVector.rotr(Z0.BitVector16,System.Byte)                         | Rotates source bits rightward
Method      | Z0.BitVector.rotr(Z0.BitVector32,System.Byte)                         | Computes a rightward bit rotation
Method      | Z0.BitVector.rotr(Z0.BitVector64,System.Byte)                         | Rotates source bits rightward
Method      | Z0.BitVector.rotr``1(Z0.BitVector{``0},System.Byte)                   | Rotates source bits rightward
Method      | Z0.BitVector.rotr``2(Z0.BitVector{``0,``1},System.Byte)               | Rotates source bits rightward
Method      | Z0.BitVector.rotr``2(Z0.BitVector128{``0,``1}@,System.Byte)           | Rotates source bits rightward
Method      | Z0.BitVector.select``1(Z0.BitVector{``0},Z0.BitVector{``0},Z0.BitVector{``0})| Computes the bitwise ternary select for bitvector operands
Method      | Z0.BitVector.select``2(Z0.BitVector{``0,``1},Z0.BitVector{``0,``1},Z0.BitVector{``0,``1})| Computes the bitvector z := x ^ y from bitvectors x and y
Method      | Z0.BitVector.select``2(Z0.BitVector128{``0,``1}@,Z0.BitVector128{``0,``1}@,Z0.BitVector128{``0,``1}@)| Computes the bitvector z := x ^ y from bitvectors x and y
Method      | Z0.BitVector.sll``2(Z0.BitVector{``0,``1},System.Byte)                | Computes z := x &gt;&gt; s for a bitvector x and shift offset s
Method      | Z0.BitVector.sll``2(Z0.BitVector128{``0,``1}@,System.Byte)            | Computes z := x &gt;&gt; s for a bitvector x and shift offset s
Method      | Z0.BitVector.srl(Z0.BitVector4,System.Byte)                           | Computes z := x &gt;&gt; s for a bitvector x and shift offset s
Method      | Z0.BitVector.srl(Z0.BitVector8,System.Byte)                           | Computes z := x &gt;&gt; s for a bitvector x and shift offset s
Method      | Z0.BitVector.srl(Z0.BitVector16,System.Byte)                          | Computes z := x &gt;&gt; s for a bitvector x and shift offset s
Method      | Z0.BitVector.srl(Z0.BitVector32,System.Byte)                          | Computes z := x &gt;&gt; s for a bitvector x and shift offset s
Method      | Z0.BitVector.srl(Z0.BitVector64,System.Byte)                          | Computes z := x &gt;&gt; s for a bitvector x and shift offset s
Method      | Z0.BitVector.srl``1(Z0.BitVector{``0},System.Byte)                    | Computes z := x &gt;&gt; s for a bitvector x and shift offset s
Method      | Z0.BitVector.srl``2(Z0.BitVector{``0,``1},System.Byte)                | Computes z := x &gt;&gt; s for a bitvector x and shift offset s
Method      | Z0.BitVector.srl``2(Z0.BitVector128{``0,``1}@,System.Byte)            | Computes z := x &gt;&gt; s for a bitvector x and shift offset s
Method      | Z0.BitVector.sub(Z0.BitVector4,Z0.BitVector4)                         | Computes the arithmetic difference z := x - y for bitvectors x and y
Method      | Z0.BitVector.sub(Z0.BitVector8,Z0.BitVector8)                         | Computes the arithmetic difference z := x - y for bitvectors x and y
Method      | Z0.BitVector.sub(Z0.BitVector16,Z0.BitVector16)                       | Computes the arithmetic difference z := x - y for bitvectors x and y
Method      | Z0.BitVector.sub(Z0.BitVector32,Z0.BitVector32)                       | Computes the arithmetic difference z := x - y for bitvectors x and y
Method      | Z0.BitVector.sub(Z0.BitVector64,Z0.BitVector64)                       | Computes the arithmetic difference z := x - y for bitvectors x and y
Method      | Z0.BitVector.sub``1(Z0.BitVector{``0},Z0.BitVector{``0})              | Computes the arithmetic difference z := x - y for generic bitvectors x and y
Method      | Z0.BitVector.sub``2(Z0.BitVector{``0,``1},Z0.BitVector{``0,``1})      | Computes the bitvector z := ~(x ^ y) from bitvectors x and y
Method      | Z0.BitVector.symbols``2(Z0.BitVector{``1},System.Byte,System.Nullable{System.Int32})| Assumes that             1. The source vector is a symbol tape upon which fixed-width symbols are sequentially recorded            2. The symbol alphabet is defined by the last character of the literals defined by an enumeration            With these preconditions, the operation returns the ordered sequence of symbols written to the tape
Method      | Z0.BitVector.testbit``1(Z0.BitVector{``0},System.Byte)                | Determines whether an index-identified bit is enabled
Method      | Z0.BitVector.testbit``2(Z0.BitVector{``0,``1},System.Byte)            | Determines whether an index-identified bit is enabled
Method      | Z0.BitVector.testbit(Z0.BitVector4,System.Byte)                       | Determines whether a bit is enabled
Method      | Z0.BitVector.testbit(Z0.BitVector8,System.Byte)                       | Determines whether a bit is enabled
Method      | Z0.BitVector.testbit(Z0.BitVector16,System.Byte)                      | Determines whether a bit is enabled
Method      | Z0.BitVector.testbit(Z0.BitVector32,System.Byte)                      | Determines whether a bit is enabled
Method      | Z0.BitVector.testbit(Z0.BitVector64,System.Byte)                      | Determines whether a bit is enabled
Method      | Z0.BitVector.testc(Z0.BitVector8)                                     | Returns true of all bits are enabled, false otherwise
Method      | Z0.BitVector.testc(Z0.BitVector16)                                    | Returns true of all bits are enabled, false otherwise
Method      | Z0.BitVector.testc(Z0.BitVector32)                                    | Returns true of all bits are enabled, false otherwise
Method      | Z0.BitVector.testc(Z0.BitVector64)                                    | Returns true of all bits are enabled, false otherwise
Method      | Z0.BitVector.testc``1(Z0.BitVector{``0})                              | Returns true of all bits are enabled, false otherwise
Method      | Z0.BitVector.testc``2(Z0.BitVector{``0,``1},``0)                      | Returns true of all bits are enabled, false otherwise
Method      | Z0.BitVector.width(Z0.BitVector4)                                     | Computes the effective width of the bitvector as determined by the number of leading zero bits
Method      | Z0.BitVector.width(Z0.BitVector8)                                     | Computes the effective width of the bitvector as determined by the number of leading zero bits
Method      | Z0.BitVector.width(Z0.BitVector16)                                    | Computes the effective width of the bitvector as determined by the number of leading zero bits
Method      | Z0.BitVector.width(Z0.BitVector64)                                    | Computes the effective width of the bitvector as determined by the number of leading zero bits
Method      | Z0.BitVector.width``1(Z0.BitVector{``0})                              | Computes the effective width of the bitvector as determined by the number of leading zero bits
Method      | Z0.BitVector.xnor``1(Z0.BitVector{``0},Z0.BitVector{``0})             | Computes the bitvector z := ~(x ^ y) from bitvectors x and y
Method      | Z0.BitVector.xnor``2(Z0.BitVector{``0,``1},Z0.BitVector{``0,``1})     | Computes the bitvector z := ~(x ^ y) from bitvectors x and y
Method      | Z0.BitVector.xnor``2(Z0.BitVector128{``0,``1}@,Z0.BitVector128{``0,``1}@)| Computes the bitvector z := ~(x ^ y) from bitvectors x and y
Method      | Z0.BitVector.xnor(Z0.BitVector4,Z0.BitVector4)                        | Computes the bitvector z := ~(x ^ y) from bitvectors x and y
Method      | Z0.BitVector.xnor(Z0.BitVector8,Z0.BitVector8)                        | Computes the bitvector z := ~(x ^ y) from bitvectors x and y
Method      | Z0.BitVector.xnor(Z0.BitVector16,Z0.BitVector16)                      | Computes the bitvector z := ~(x ^ y) from bitvectors x and y
Method      | Z0.BitVector.xnor(Z0.BitVector32,Z0.BitVector32)                      | Computes the bitvector z := ~(x ^ y) from bitvectors x and y
Method      | Z0.BitVector.xnor(Z0.BitVector64,Z0.BitVector64)                      | Computes the bitvector z := ~(x ^ y) from bitvectors x and y
Method      | Z0.BitVector.xor``1(Z0.BitVector{``0},Z0.BitVector{``0})              | Computes  z := x ^ y from bitvectors x and y
Method      | Z0.BitVector.xor``2(Z0.BitVector{``0,``1},Z0.BitVector{``0,``1})      | Computes the bitvector z := x ^ y from bitvectors x and y
Method      | Z0.BitVector.xor``2(Z0.BitVector128{``0,``1}@,Z0.BitVector128{``0,``1}@)| Computes the bitvector z := x ^ y from bitvectors x and y
Method      | Z0.BitVector.xor(Z0.BitVector4,Z0.BitVector4)                         | Computes  z := x ^ y from bitvectors x and y
Method      | Z0.BitVector.xor(Z0.BitVector8,Z0.BitVector8)                         | Computes  z := x ^ y from bitvectors x and y
Method      | Z0.BitVector.xor(Z0.BitVector16,Z0.BitVector16)                       | Computes  z := x ^ y from bitvectors x and y
Method      | Z0.BitVector.xor(Z0.BitVector32,Z0.BitVector32)                       | Computes the bitvector z: = x ^ y from bitvectors x and y
Method      | Z0.BitVector.xor(Z0.BitVector64,Z0.BitVector64)                       | Computes  z := x ^ y from bitvectors x and y
Method      | Z0.BitVector.zero``1                                                  | Returns a generic vector with all bits disabled
Method      | Z0.BitVector.zhi``1(Z0.BitVector{``0},System.Int32)                   | Disables the high bits starting at a specified position
Method      | Z0.BitVector.zhi``2(Z0.BitVector{``0,``1},System.Int32)               | Disables the high bits starting at a specified position
Method      | Z0.BitVector.zhi``2(Z0.BitVector128{``0,``1}@)                        | Computes z := x &gt;&gt; s for a bitvector x and shift offset s
Method      | Z0.BitVector.zhi(Z0.BitVector4,System.Int32)                          | Disables the high bits starting at a specified position
Method      | Z0.BitVector.zhi(Z0.BitVector8,System.Int32)                          | Disables the high bits starting at a specified position
Method      | Z0.BitVector.zhi(Z0.BitVector16,System.Int32)                         | Disables the high bits starting at a specified position
Method      | Z0.BitVector.zhi(Z0.BitVector32,System.Int32)                         | Disables the high bits starting at a specified position
Method      | Z0.BitVector.zhi(Z0.BitVector64,System.Int32)                         | Disables the high bits starting at a specified position
Method      | Z0.XTend.ToBitVector``1(Z0.BitString)                                 | Constructs a generic bitvector from bitstring
Method      | Z0.XTend.ToBitVector(Z0.BitString,Z0.N4)                              | Constructs a 4-bit bitvector from bitstring
Method      | Z0.XTend.ToBitVector(Z0.BitString,Z0.N8)                              | Creates an 8-bit bitvector from bitstring
Method      | Z0.XTend.ToBitVector(Z0.BitString,Z0.N16)                             | Creates a 16-bit bitvector from bitstring
Method      | Z0.XTend.ToBitVector(Z0.BitString,Z0.N24)                             | Creates a 24-bit bitvector from bitstring
Method      | Z0.XTend.ToBitVector(Z0.BitString,Z0.N32)                             | Creates a 32-bit bitvector from bitstring
Method      | Z0.XTend.ToBitVector(Z0.BitString,Z0.N64)                             | Creates a 64-bit bitvector from bitstring
Method      | Z0.XTend.ToBitVector``1(Z0.Block16{``0}@)                             | Creates a 16-bit bitvector from the leading cells of a source block
Method      | Z0.XTend.ToBitVector``1(Z0.Block32{``0}@)                             | Creates a 16-bit bitvector from the leading cells of a source block
Method      | Z0.XTend.ToBitVector``1(Z0.Block64{``0}@,Z0.N64)                      | Creates a 64-bit bitvector from the leading cells of a source block
Method      | Z0.XTend.ToBitVector``1(Z0.Block256{``0}@,Z0.N8)                      | Creates an 8-bit bitvector from the leading cells of a source block
Method      | Z0.XTend.ToBitVector``1(Z0.Block256{``0}@,Z0.N16)                     | Creates a 16-bit bitvector from the leading cells of a source block
Method      | Z0.XTend.ToBitVector``1(Z0.Block256{``0}@,Z0.N32)                     | Creates a 32-bit bitvector from the leading cells of a source block
Method      | Z0.XTend.ToBitVector``1(Z0.Block256{``0}@,Z0.N64)                     | Creates a 64-bit bitvector from the leading cells of a source block
Method      | Z0.XTend.Concat(Z0.BitVector4,Z0.BitVector4)                          | Creates a new vector via concatenation
Method      | Z0.XTend.Concat(Z0.BitVector8,Z0.BitVector8)                          | Concatenates two 8-bit vectors to produce a 16-bit vector
Method      | Z0.XTend.Concat(Z0.BitVector16,Z0.BitVector16)                        | Concatenates two 16-bit vectors to produce a 32-bit vector
Method      | Z0.XTend.Concat(Z0.BitVector32,Z0.BitVector32)                        | Creates a new vector via concatenation
Method      | Z0.XTend.Format``2(Z0.BitVector{``0,``1},System.Nullable{Z0.BitFormatConfig})| Formats the bitvector as a bitstring
Method      | Z0.XTend.Format``1(Z0.BitVector{``0},System.Nullable{Z0.BitFormatConfig})| Formats the bitvector as a bitstring
Method      | Z0.XTend.Format``2(Z0.BitVector128{``0,``1},System.Nullable{Z0.BitFormatConfig})| Formats the bitvector as a bitstring
Method      | Z0.XTend.Format(Z0.BitVector4,System.Nullable{Z0.BitFormatConfig})    | Formats the bitvector as a bitstring
Method      | Z0.XTend.Format(Z0.BitVector8,System.Nullable{Z0.BitFormatConfig})    | Formats the bitvector as a bitstring
Method      | Z0.XTend.Format(Z0.BitVector32,System.Nullable{Z0.BitFormatConfig})   | Formats the bitvector as a bitstring
Method      | Z0.XTend.Format(Z0.BitVector16,System.Nullable{Z0.BitFormatConfig})   | Formats the bitvector as a bitstring
Method      | Z0.XTend.Format(Z0.BitVector24,System.Nullable{Z0.BitFormatConfig})   | Formats the bitvector as a bitstring
Method      | Z0.XTend.Format(Z0.BitVector64,System.Nullable{Z0.BitFormatConfig})   | Formats the bitvector as a bitstring
Method      | Z0.XTend.Order(Z0.BitVector8)                                         | Computes the smallest integer n &gt; 1 such that v^n = identity
Method      | Z0.XTend.Permute``1(Z0.BitVector{``0},Z0.Perm@)                       | Applies a permutation to a copy of the source vector
Method      | Z0.XTend.Permute``2(Z0.BitVector{``0,``1},Z0.Perm@)                   | Applies a permutation to a copy of the source vector
Method      | Z0.XTend.Permute(Z0.BitVector4,Z0.Perm@)                              | Applies a permutation to copy of the source vector
Method      | Z0.XTend.Permute(Z0.BitVector8,Z0.Perm@)                              | Applies a permutation to copy of the source vector
Method      | Z0.XTend.Permute(Z0.BitVector16,Z0.Perm@)                             | Applies a permutation to copy of the source vector
Method      | Z0.XTend.Permute(Z0.BitVector32,Z0.Perm@)                             | Applies a permutation to copy of the source vector
Method      | Z0.XTend.Permute(Z0.BitVector64,Z0.Perm@)                             | Applies a permutation to a replicated vector
Method      | Z0.XTend.Replicate``1(Z0.BitVector{``0})                              | Creates a copy of the source vector
Method      | Z0.XTend.Replicate``2(Z0.BitVector{``0,``1})                          | Creates a copy of the source vector
Method      | Z0.XTend.Replicate``2(Z0.BitVector128{``0,``1})                       | Creates a copy of the source vector
Method      | Z0.XTend.Replicate(Z0.BitVector8)                                     | Creates a copy of the vector
Method      | Z0.XTend.Replicate(Z0.BitVector4)                                     | Creates a copy of the source vector
Method      | Z0.XTend.Replicate(Z0.BitVector4,Z0.N2)                               | Concatenates a 4-bit vector with itself to produce a 8-bit vector
Method      | Z0.XTend.Replicate(Z0.BitVector8,Z0.N2)                               | Concatenates an 8-bit vector with itself to produce a 16-bit vector
Method      | Z0.XTend.Replicate(Z0.BitVector8,Z0.N4)                               | Concatenates four copies of an 8-bit vector to produce a 32-bit vector
Method      | Z0.XTend.Replicate(Z0.BitVector8,Z0.N8)                               | Concatenates eight copies of an 8-bit vector to produce a 64-bit vector
Method      | Z0.XTend.Replicate(Z0.BitVector16)                                    | Creates a copy of the vector
Method      | Z0.XTend.Replicate(Z0.BitVector16,Z0.N2)                              | Concatenates a 16-bit vector with itself to produce a 32-bit vector
Method      | Z0.XTend.Replicate(Z0.BitVector16,Z0.N4)                              | Creates a 64-bit vector by concatenating 4 source replicants
Method      | Z0.XTend.Replicate(Z0.BitVector32)                                    | Creates a copy of the source vector
Method      | Z0.XTend.Replicate(Z0.BitVector32,Z0.N2)                              | Creates a 64-bit vector by concatenating the source vector with a replicant
Method      | Z0.XTend.Replicate(Z0.BitVector64)                                    | Creates a copy of the source vector
Method      | Z0.XTend.Reverse``1(Z0.BitVector{``0})                                | Reverses a copy of the source vector
Method      | Z0.XTend.Reverse``2(Z0.BitVector{``0,``1})                            | Reverses the bits in the source vector
Method      | Z0.XTend.Reverse(Z0.BitVector4)                                       | Reverses the vector bits
Method      | Z0.XTend.Reverse(Z0.BitVector8)                                       | Reverses the vector bits
Method      | Z0.XTend.Reverse(Z0.BitVector16)                                      | Reverses the vector bits
Method      | Z0.XTend.Reverse(Z0.BitVector32)                                      | Reverses the vector bits
Method      | Z0.XTend.Reverse(Z0.BitVector64)                                      | Reverses the vector bits
Method      | Z0.XTend.ToBitVector(System.UInt32,Z0.N16)                            | Defines a 16-bit bitvector from the lo 16 bits of the source
Method      | Z0.XTend.ToBitVector(System.Byte)                                     | Constructs a canonical 8-bit bitvector from an 8-bit primal value
Method      | Z0.XTend.ToBitVector(System.UInt32)                                   | Constructs a canonical 32-bit bitvector from a 32-bit primal value
Method      | Z0.XTend.ToBitVector(System.Int32)                                    | Defines a 32-bit bitvector with content determined by a 32-bit usigned integer
Method      | Z0.XTend.ToBitVector(System.UInt16)                                   | Constructs a 16-bit bitvector from a 16-bit scalar
Method      | Z0.XTend.ToBitVector(System.UInt64)                                   | Constructs a 64-bit bitvector from a 64-bit primal value
Method      | Z0.XTend.ToBitVector(System.Byte,Z0.N24)                              | Creates a 24-bit bitvector from an 8-bit scalar
Method      | Z0.XTend.ToBitVector(System.UInt16,Z0.N24)                            | Creates a 24-bit bitvector from a 16-bit scalar
Method      | Z0.XTend.ToBitVector(System.UInt32,Z0.N24)                            | Creates a 24-bit bitvector from a 32-bit scalar
Method      | Z0.XTend.ToBitVector(System.UInt64,Z0.N24)                            | Creates a 24-bit bitvector from a 64-bit scalar
Method      | Z0.XTend.TestC``1(Z0.BitVector{``0})                                  | Returns true of all bits are enabled, false otherwise
Method      | Z0.XTend.TestC``2(Z0.BitVector{``0,``1})                              | Returns true of all bits are enabled, false otherwise
Method      | Z0.XTend.TestC(Z0.BitVector8)                                         | Returns true of all bits are enabled, false otherwise
Method      | Z0.XTend.TestC(Z0.BitVector16)                                        | Returns true of all bits are enabled, false otherwise
Method      | Z0.XTend.TestC(Z0.BitVector32)                                        | Returns true of all bits are enabled, false otherwise
Method      | Z0.XTend.TestC(Z0.BitVector64)                                        | Returns true of all bits are enabled, false otherwise
Method      | Z0.XTend.ToBitSpan(Z0.BitVector4,System.Nullable{System.Int32})       | Creates the vector's bitspan representation
Method      | Z0.XTend.ToBitSpan(Z0.BitVector8,System.Nullable{System.Int32})       | Creates the vector's bitspan representation
Method      | Z0.XTend.ToBitSpan(Z0.BitVector16,System.Nullable{System.Int32})      | Creates the vector's bitspan representation
Method      | Z0.XTend.ToBitSpan(Z0.BitVector24,System.Nullable{System.Int32})      | Creates the vector's bitspan representation
Method      | Z0.XTend.ToBitSpan(Z0.BitVector32,System.Nullable{System.Int32})      | Creates the vector's bitspan representation
Method      | Z0.XTend.ToBitSpan(Z0.BitVector64,System.Nullable{System.Int32})      | Creates the vector's bitspan representation
Method      | Z0.XTend.ToBitString``2(Z0.BitVector128{``0,``1})                     | Converts the vector to a bitstring
Method      | Z0.XTend.ToBitString``2(Z0.BitVector{``0,``1})                        | Converts the vector content to a bitring representation
Method      | Z0.XTend.ToBitString``2(Z0.BitVector{``0,``1},System.Byte[])          | Converts the vector content to a bitring representation
Method      | Z0.XTend.ToBitString``1(Z0.BitVector{``0})                            | Extracts the represented data as a bitstring
Method      | Z0.XTend.ToBitString``1(Z0.BitVector{``0},System.Int32)               | Extracts the represented data as a bitstring truncated to a specified width
Method      | Z0.XTend.ToBitString(Z0.BitVector4)                                   | Creates the vector's bitstring representation
Method      | Z0.XTend.ToBitString(Z0.BitVector8)                                   | Creates the vector's bitstring representation
Method      | Z0.XTend.ToBitString(Z0.BitVector16)                                  | Creates the vector's bitstring representation
Method      | Z0.XTend.ToBitString(Z0.BitVector24)                                  | Creates the vector's bitstring representation
Method      | Z0.XTend.ToBitString(Z0.BitVector32)                                  | Creates the vector's bitstring representation
Method      | Z0.XTend.ToBitString(Z0.BitVector64)                                  | Creates the vector's bitstring representation
Method      | Z0.XTend.ToGeneric(Z0.BitVector8)                                     | Converts the source bitvector to an equivalent generic bitvector
Method      | Z0.XTend.ToGeneric(Z0.BitVector16)                                    | Converts the source bitvector to an equivalent generic bitvector
Method      | Z0.XTend.ToGeneric(Z0.BitVector32)                                    | Converts the source bitvector to an equivalent generic bitvector
Method      | Z0.XTend.ToGeneric(Z0.BitVector64)                                    | Converts the source bitvector to an equivalent generic bitvector
Method      | Z0.XTend.ToNatural(Z0.BitVector4)                                     | Converts the source bitvector to an equivalent natural bitvector
Method      | Z0.XTend.ToNatural(Z0.BitVector8)                                     | Converts the source bitvector to an equivalent natural bitvector
Method      | Z0.XTend.ToNatural(Z0.BitVector32)                                    | Converts the source bitvector to an equivalent natural/generic bitvector
