Property    | Z0.Kinds.v128                                                         | Specifies the 128-bit vector type classifier
Method      | Z0.IdentityReflector.IsHomogenous(System.Reflection.MethodInfo)       | Returns true if all non-void input/output values are of the same type
Method      | Z0.TIdentityReflector.AcceptsVector(System.Reflection.MethodInfo)     | Determines whether a method accepts an intrinsic vector in some parameter slot
Method      | Z0.TIdentityReflector.AcceptsVector(System.Reflection.MethodInfo,System.Int32)| Determines whether a method accepts an intrinsic vector at an index-identified parameter
Method      | Z0.TIdentityReflector.AcceptsVector(System.Reflection.MethodInfo,System.Int32,Z0.W128)| Determines whether a method accepts a 128-bit intrinsic vector at an index-identified parameter
Method      | Z0.TIdentityReflector.AcceptsVector(System.Reflection.MethodInfo,System.Int32,Z0.W256)| Determines whether a method accepts a 128-bit intrinsic vector at an index-identified parameter
Method      | Z0.TIdentityReflector.AcceptsVector(System.Reflection.MethodInfo,System.Int32,Z0.W512)| Determines whether a method accepts a 128-bit intrinsic vector at an index-identified parameter
Method      | Z0.TIdentityReflector.AcceptsVector(System.Reflection.MethodInfo,System.Int32,Z0.W128,System.Type)| Determines whether a method accepts a 128-bit intrinsic vector at an index-identified parameter of specified cell type
Method      | Z0.TIdentityReflector.AcceptsVector(System.Reflection.MethodInfo,System.Int32,Z0.W256,System.Type)| Determines whether a method accepts a 256-bit intrinsic vector at an index-identified parameter of specified cell type
Method      | Z0.TIdentityReflector.AcceptsVector(System.Reflection.MethodInfo,System.Int32,Z0.W512,System.Type)| Determines whether a method accepts a 512-bit intrinsic vector at an index-identified parameter of specified cell type
Method      | Z0.TIdentityReflector.IsAction(System.Reflection.MethodInfo)          | Dtermines whether a method has a void return
Method      | Z0.TIdentityReflector.Actions(System.Collections.Generic.IEnumerable{System.Reflection.MethodInfo})| Queries the stream for methods that are actions
Method      | Z0.TIdentityReflector.ArityClass(System.Reflection.MethodInfo)        | Assigns an arity classification, if any, to a method
Method      | Z0.TIdentityReflector.WithArityClass(System.Collections.Generic.IEnumerable{System.Reflection.MethodInfo})| Queries the stream for methods with a nonempty arity classification
Method      | Z0.TIdentityReflector.WithArityClass(System.Collections.Generic.IEnumerable{System.Reflection.MethodInfo},Z0.ArityClass)| Queries the stream for methods with a specified arity classification
Method      | Z0.TIdentityReflector.IsSource(System.Reflection.MethodInfo)          | Determines whether a method is an emitter, i.e. a method that returns a value but accepts no input
Method      | Z0.TIdentityReflector.IsSink(System.Reflection.MethodInfo)            | Determines whether a method has void return and has arity = 1
Method      | Z0.TIdentityReflector.IsFunction(System.Reflection.MethodInfo)        | Determines whether a method is a function
Method      | Z0.TIdentityReflector.IsNumericFunction(System.Reflection.MethodInfo) | Determines whether a method is a function with numeric operands (if any) and return type
Method      | Z0.TIdentityReflector.Functions(System.Collections.Generic.IEnumerable{System.Reflection.MethodInfo})| Queries the stream for methods that are functions
Method      | Z0.TIdentityReflector.IsOperator(System.Reflection.MethodInfo)        | Determines whether a method defines an operator over a (common) domain
Method      | Z0.TIdentityReflector.ClassifyOperator(System.Reflection.MethodInfo)  | Classifies a methods that is an operator and has arity between 1 and 3; otherwise, returns None
Method      | Z0.TIdentityReflector.WithOperatorClass(System.Collections.Generic.IEnumerable{System.Reflection.MethodInfo})| Queries the stream for methods with a nonempty operator classification
Method      | Z0.TIdentityReflector.WithOperatorClass(System.Collections.Generic.IEnumerable{System.Reflection.MethodInfo},Z0.OperatorClass)| Queries the stream for methods with a specified operator classification
Method      | Z0.TIdentityReflector.IsPredicate(System.Reflection.MethodInfo)       | Determines whether a method defines a predicate that returns a bit or bool value
Method      | Z0.TIdentityReflector.ClassifyPredicate(System.Reflection.MethodInfo) | Classifies a methods that is an operator and has arity between 1 and 3; otherwise, returns None
Method      | Z0.TIdentityReflector.WithPredicateClass(System.Collections.Generic.IEnumerable{System.Reflection.MethodInfo},Z0.PredicateClass)| Queries the stream for methods with a specified predicate classification
Method      | Z0.TIdentityReflector.WithPredicateClass(System.Collections.Generic.IEnumerable{System.Reflection.MethodInfo})| Queries the stream for methods with a nonempty predicate classification
Method      | Z0.TIdentityReflector.IsVectorized(System.Reflection.MethodInfo,System.Nullable{System.Int32},System.Boolean)| Determines whether a method has intrinsic paremeters or return type of specified width
Method      | Z0.TIdentityReflector.ReturnsVector(System.Reflection.MethodInfo)     | Determines whether a method returns an intrinsic vector
Method      | Z0.TIdentityReflector.ReturnsVector(System.Reflection.MethodInfo,Z0.W128)| Determines whether a method returns a 128-bit intrinsic vector
Method      | Z0.TIdentityReflector.ReturnsVector(System.Reflection.MethodInfo,Z0.W256)| Determines whether a method returns a 256-bit intrinsic vector
Method      | Z0.TIdentityReflector.ReturnsVector(System.Reflection.MethodInfo,Z0.W512)| Determines whether a method returns a 256-bit intrinsic vector
Method      | Z0.TIdentityReflector.ReturnsVector(System.Reflection.MethodInfo,Z0.W128,System.Type)| Determines whether a method returns a 128-bit intrinsic vector of specified cell type
Method      | Z0.TIdentityReflector.ReturnsVector(System.Reflection.MethodInfo,Z0.W256,System.Type)| Determines whether a method returns a 256-bit intrinsic vector of specified cell type
Method      | Z0.TIdentityReflector.ReturnsVector(System.Reflection.MethodInfo,Z0.W512,System.Type)| Determines whether a method returns a 512-bit intrinsic vector with of specified cell type
Method      | Z0.TIdentityReflector.IsVectorized(System.Reflection.MethodInfo)      | Determines whether a method has intrinsic parameters or return type
Method      | Z0.TIdentityReflector.IsVectorized(System.Reflection.MethodInfo,Z0.W128)| Determines whether a method has at least one 128-bit intrinsic vector parameter
Method      | Z0.TIdentityReflector.IsVectorized(System.Reflection.MethodInfo,Z0.W256)| Determines whether a method has at least one 128-bit intrinsic vector parameter
Method      | Z0.TIdentityReflector.IsVectorized(System.Reflection.MethodInfo,Z0.W512)| Determines whether a method has at least one 128-bit intrinsic vector parameter
Method      | Z0.TIdentityReflector.IsVectorized(System.Reflection.MethodInfo,Z0.W128,System.Type)| Determines whether a method has at least one 128-bit intrinsic vector parameter closed over a specified type
Method      | Z0.TIdentityReflector.IsVectorized(System.Reflection.MethodInfo,Z0.W256,System.Type)| Determines whether a method has at least one 256-bit intrinsic vector parameter closed over a specified type
Method      | Z0.TIdentityReflector.IsVectorized(System.Reflection.MethodInfo,Z0.W512,System.Type)| Determines whether a method has at least one 512-bit intrinsic vector parameter closed over a specified type
Method      | Z0.TIdentityReflector.IsVectorized(System.Reflection.MethodInfo,Z0.W128,Z0.GenericPartition)| Selcts vectorized methods from a source stream
Method      | Z0.TIdentityReflector.IsVectorized(System.Reflection.MethodInfo,Z0.W256,Z0.GenericPartition)| Selcts vectorized methods from a source stream
Method      | Z0.TIdentityReflector.IsVectorized(System.Reflection.MethodInfo,Z0.W512,Z0.GenericPartition)| Selcts vectorized methods from a source stream
Method      | Z0.ITestCaseIdentity.CaseName(Z0.OpIdentity)                          | Produces a test case name predicated on an operation identity
Method      | Z0.ITestCaseIdentity.CaseName``1(System.String)                       | Produces a test case name predicated on a parametrically-specialized label
Method      | Z0.ITestCaseIdentity.CaseName``1(System.Type,System.String)           | Produces the name of the test case predicated on a root name and parametric type
Method      | Z0.ITestCaseIdentity.CaseName``2(Z0.IFunc,``0,System.Boolean)         | Computes a test case identifier for a segmented structured function
Method      | Z0.ITestCaseIdentity.MatchCaseName(Z0.OpIdentity,Z0.OpIdentity)       | Produces a case name for an identified operation match test
Field       | Z0.OperatorTypeClass.OperandType                                      | The operator operand type
Field       | Z0.OperatorTypeClass.OperatorClass                                    | The operator classification
Method      | Z0.OpUriBuilder.HostUri(System.Type)                                  | Produces an identifier of the form {owner}/{host} where owner is the formatted identifier of the declaring assembly            and host is the name of the type
Method      | Z0.OpUriBuilder.TestCase(System.Reflection.MethodInfo)                | Produces the name of the test case determined by a source method
Method      | Z0.OpUriBuilder.TestCase(System.Type,System.String)                   | Produces the name of the test case predicated on fully-specified name, exluding the host name
Method      | Z0.OpUriBuilder.TestCase(System.Type,Z0.OpIdentity)                   | Produces the name of the test case predicated on fully-specified name, exluding the host name
Method      | Z0.SpanTypes.kind(System.Type)                                        | Classifies a type according to whether it is a span, a readonly span, or otherwise
Method      | Z0.SpanTypes.test(System.Type)                                        | Determines whether a type is a span
Method      | Z0.SpanTypes.IsSystemSpan(System.Type)                                | Tests whether a type defines a system-defined span
Type        | Z0.IArithmeticKind`3                                                  | Characterizes a kind, numeric, and width-parametric arithmetic operation classifier
Property    | Z0.IArithmeticKind`3.OperandWidth                                     | The parametrically-identified operand width
Type        | Z0.IBitLogicKind`3                                                    | Characterizes a kind, numeric, and width-parametric bitlogic operation classifier
Property    | Z0.IBitLogicKind`3.OperandWidth                                       | The parametrically-identified operand width
Type        | Z0.IBitFunctionKind`3                                                 | Characterizes a kind, numeric, and width-parametric bitfunction operation classifier
Property    | Z0.IBitFunctionKind`3.OperandWidth                                    | The parametrically-identified operand width
Type        | Z0.IComparisonKind`3                                                  | Characterizes a kind, numeric, and width-parametric comparison operation classifier
Property    | Z0.IComparisonKind`3.OperandWidth                                     | The parametrically-identified operand width
Type        | Z0.ISystemOpKind`3                                                    | Characterizes a kind, numeric, and width-parametric system operation classifier
Property    | Z0.ISystemOpKind`3.OperandWidth                                       | The parametrically-identified operand width
Type        | Z0.IBitShiftKind`3                                                    | Characterizes a kind, numeric, and width-parametric bitshift operation classifier
Property    | Z0.IBitShiftKind`3.OperandWidth                                       | The parametrically-identified operand width
Type        | Z0.ICanonicalKind`3                                                   | Characterizes a kind, numeric, and width-parametric canonical operation classifier
Property    | Z0.ICanonicalKind`3.OperandWidth                                      | The parametrically-identified operand width
Method      | Z0.TestCaseIdentity.owner(System.Type)                                | Produces the formatted identifier of the declaring assembly
Method      | Z0.TestCaseIdentity.name(System.Type,Z0.OpIdentity)                   | Produces a test case name predicated on an operation identity
Method      | Z0.TestCaseIdentity.name``1(System.Type,System.String)                | Produces a test case name predicated on a parametrically-specialized label
Method      | Z0.TestCaseIdentity.match(System.Type,Z0.OpIdentity,Z0.OpIdentity)    | Produces a case name for an identified operation match test
Method      | Z0.VectorType.closed(System.Type,Z0.W128)                             | Returns true if a type is a closed 128-bit intrinsic vector
Method      | Z0.VectorType.closed(System.Type,Z0.W256)                             | Returns true if a type is a closed 256-bit intrinsic vector
Method      | Z0.VectorType.closed(System.Type,Z0.W512)                             | Returns true if a type is a closed 512-bit intrinsic vector
Method      | Z0.VectorType.closed(System.Reflection.ParameterInfo,Z0.W128)         | Returns true if a method parameter is a closed 128-bit intrinsic vector
Method      | Z0.VectorType.closed(System.Reflection.ParameterInfo,Z0.W256)         | Returns true if a method parameter is a closed 256-bit intrinsic vector
Method      | Z0.VectorType.closed(System.Reflection.ParameterInfo,Z0.W512)         | Returns true if a method parameter is a closed 512-bit intrinsic vector
Method      | Z0.VectorType.width(Z0.VectorKind)                                    | Determines the number of bits covered by a k-kinded vector
Method      | Z0.VectorType.size(Z0.VectorKind)                                     | Determines the number of bytes covered by a k-kinded type
Method      | Z0.VectorType.segwidth(Z0.VectorKind)                                 | Determines the component width of a k-kinded vector
Method      | Z0.VectorType.unsigned(Z0.VectorKind)                                 | Determines whether a classfied vector is defined over primal unsigned integer components
Method      | Z0.VectorType.signed(Z0.VectorKind)                                   | Determines whether a classfied vector is defined over primal signed integer components
Method      | Z0.VectorType.floating(Z0.VectorKind)                                 | Determines whether a classfied vector is defined over floating-point components
Method      | Z0.VectorType.integral(Z0.VectorKind)                                 | Determines whether a classfied vector is defined over primal integer components
Method      | Z0.VectorType.kind``1(System.Runtime.Intrinsics.Vector128{``0})       | Computes a vector kind classifier from a 128-bit vector instance
Method      | Z0.VectorType.kind``1(System.Runtime.Intrinsics.Vector256{``0})       | Computes a vector kind classifier from a 256-bit vector instance
Method      | Z0.VectorType.kind``1(Z0.Vector512{``0})                              | Computes a vector kind classifier from a 512-bit vector instance
Method      | Z0.VectorType.kind(System.Type)                                       | Computes the vector kind classifier determined by a system type
Method      | Z0.VectorType.kind``1(Z0.W128,``0)                                    | Computes a 128-bit vector kind classifier for a parametrically-specified cell type
Method      | Z0.VectorType.kind``1(Z0.W256,``0)                                    | Computes a 256-bit vector kind classifier for a parametrically-specified cell type
Method      | Z0.VectorType.kind``1(Z0.W512,``0)                                    | Computes a 512-bit vector kind classifier for a parametrically-specified cell type
Method      | Z0.VectorType.kind``2(``0,``1)                                        | Computes the vector kind classifier determined by parametric width and cell types
Method      | Z0.VectorType.open(System.Type,Z0.W128)                               | Returns true if a type is an open generic 128-bit intrinsic vector
Method      | Z0.VectorType.open(System.Type,Z0.W256)                               | Returns true if a type is an open generic 256-bit intrinsic vector
Method      | Z0.VectorType.open(System.Type,Z0.W512)                               | Returns true if a type is an open generic 512-bit intrinsic vector
Method      | Z0.VectorType.tcell(Z0.VectorKind)                                    | Returns the clr cell type of a vector of specified kind
Method      | Z0.VectorType.test(System.Type)                                       | Determines whether a type is classified as an intrinsic vector
Method      | Z0.VectorType.test(System.Type,System.Nullable{System.Int32})         | Determines whether a type is an intrinsic vector of specified width
Method      | Z0.VectorType.test(Z0.VectorKind,System.SByte)                        | Determines whether a vector of specified kind has a singed 8-bit cell type
Method      | Z0.VectorType.test(Z0.VectorKind,System.Byte)                         | Determines whether a vector of specified kind has an unsigned 8-bit cell type
Method      | Z0.VectorType.test(Z0.VectorKind,System.Int16)                        | Determines whether a vector of specified kind has a singed 16-bit cell type
Method      | Z0.VectorType.test(Z0.VectorKind,System.UInt16)                       | Determines whether a vector of specified kind has an unsigned 16-bit cell type
Method      | Z0.VectorType.test(Z0.VectorKind,System.Int32)                        | Determines whether a vector of specified kind has a singed 32-bit cell type
Method      | Z0.VectorType.test(Z0.VectorKind,System.UInt32)                       | Determines whether a vector of specified kind has an unsigned 32-bit cell type
Method      | Z0.VectorType.test(Z0.VectorKind,System.Int64)                        | Determines whether a vector of specified kind has a singed 64-bit cell type
Method      | Z0.VectorType.test(Z0.VectorKind,System.UInt64)                       | Determines whether a vector of specified kind has an unsigned 64-bit cell type
Method      | Z0.VectorType.test(Z0.VectorKind,System.Single)                       | Determines whether a vector of specified kind has a 32-bit floating-point cell type
Method      | Z0.VectorType.test(Z0.VectorKind,System.Double)                       | Determines whether a vector of specified kind has a 64-bit floating-point cell type
Method      | Z0.VectorType.test(System.Type,Z0.W128,System.Type)                   | Determines whether a type is a 128-bit intrinsic vector closed over a specified type
Method      | Z0.VectorType.test(System.Type,Z0.W256,System.Type)                   | Determines whether a type is a 256-bit intrinsic vector closed over a specified type
Method      | Z0.VectorType.test(System.Type,Z0.W512,System.Type)                   | Determines whether a type is a 512-bit intrinsic vector closed over a specified type
Method      | Z0.VectorType.test(System.Type,Z0.W128)                               | Determines whether a type is a 128-bit intrinsic vector
Method      | Z0.VectorType.test(System.Type,Z0.W256)                               | Determines whether a type is a 256-bit intrinsic vector
Method      | Z0.VectorType.test(System.Type,Z0.W512)                               | Determines whether a type is a 512-bit intrinsic vector
Method      | Z0.VectorType.test(System.Reflection.ParameterInfo)                   | Determines whether a parameter is of some intrinsic vector type
Method      | Z0.VectorType.test(System.Reflection.ParameterInfo,Z0.W128)           | Determines whether a parameter accepts a 128-bit intrinsic vector
Method      | Z0.VectorType.test(System.Reflection.ParameterInfo,Z0.W256)           | Determines whether a parameter accepts a 256-bit intrinsic vector
Method      | Z0.VectorType.test(System.Reflection.ParameterInfo,Z0.W512)           | Determines whether a parameter accepts a 512-bit intrinsic vector
Method      | Z0.VectorType.test(System.Reflection.ParameterInfo,Z0.W128,System.Type)| Returns true if a method parameter is a 128-bit intrinsic vector closed over a specified argument type
Method      | Z0.VectorType.test(System.Reflection.ParameterInfo,Z0.W256,System.Type)| Returns true if a method parameter is a 256-bit intrinsic vector closed over a specified argument type
Method      | Z0.VectorType.test(System.Reflection.ParameterInfo,Z0.W512,System.Type)| Returns true if a method parameter is a 512-bit intrinsic vector closed over a specified argument type
Property    | Z0.VectorType.Types128                                                | Closed vector types of width 128
Property    | Z0.VectorType.Types256                                                | Closed vector types of width 256
Property    | Z0.VectorType.Types512                                                | Closed vector types of width 512
Method      | Z0.TVectorKind`3.Z0#IVectorKind#Close                                 | The reified vector type as determined by kind facets
Method      | Z0.VectorTypesOps.IsVectorFactory(System.Reflection.MethodInfo)       | Determines whether a method produces, but does not accept, vector values
