Method      | Z0.Mkl.rng.niederr(System.UInt32)                                     | Creates a stream predicated on VSL_BRNG_NIEDERR, A 32-bit Gray code-based generator producing low-discrepancy sequences for dimensions 1 ≤ s ≤ 318
Method      | Z0.Mkl.rng.capabilities(Z0.Mkl.Brng)                                  | Describes stream partitioning capabilies of an identifed generator
Type        | Z0.Mkl.sample                                                         | Defines distribution sample operations
Method      | Z0.Mkl.sample.uniform(Z0.Mkl.MklRng,Z0.Interval{System.Int32},System.Span{System.Int32})| Samples a discrete uniform distribution over specified range
Method      | Z0.Mkl.sample.uniform(Z0.Mkl.MklRng,System.Int32,System.Int32,System.Span{System.Int32})| Samples a discrete uniform distribution over specified range
Method      | Z0.Mkl.sample.uniform(Z0.Mkl.MklRng,System.Single,System.Single,System.Span{System.Single})| Samples a continuous uniform distribution over specified range
Method      | Z0.Mkl.sample.uniform(Z0.Mkl.MklRng,Z0.Interval{System.Single},System.Span{System.Single})| Samples a continuous uniform distribution over specified range
Method      | Z0.Mkl.sample.uniform(Z0.Mkl.MklRng,Z0.Interval{System.Double},System.Span{System.Double})| Samples a continuous uniform distribution over specified range
Method      | Z0.Mkl.sample.uniform(Z0.Mkl.MklRng,System.Double,System.Double,System.Span{System.Double})| Samples a continuous uniform distribution over specified range
Method      | Z0.Mkl.sample.bits(Z0.Mkl.MklRng,System.Span{System.UInt32})          | Samples uniformly distributed bits in 32-bit chunks.
Method      | Z0.Mkl.sample.bits(Z0.Mkl.MklRng,System.Span{System.UInt64})          | Samples uniformly distributed bits in 64-bit chunks.
Method      | Z0.Mkl.sample.cauchy(Z0.Mkl.MklRng,System.Single,System.Single,System.Span{System.Single})| Samples a single-precision Cauchy distribution
Method      | Z0.Mkl.sample.cauchy(Z0.Mkl.MklRng,System.Double,System.Double,System.Span{System.Double})| Samples a double-precision Cauchy distribution
Method      | Z0.Mkl.sample.geometric(Z0.Mkl.MklRng,System.Double,System.Span{System.Int32})| Samples a geometric distributions
Method      | Z0.Mkl.sample.bernoulli(Z0.Mkl.MklRng,System.Double,System.Span{System.Int32})| Samples a Bernoulli distribution
Method      | Z0.Mkl.sample.chi2(Z0.Mkl.MklRng,System.Int32,System.Span{System.Single})| Samples a single-precision chi2 distribution
Method      | Z0.Mkl.sample.chi2(Z0.Mkl.MklRng,System.Int32,System.Span{System.Double})| Samples a double-precision chi2 distribution
Method      | Z0.Mkl.sample.gaussian(Z0.Mkl.MklRng,System.Single,System.Single,System.Span{System.Single})| Samples a single-precision Gaussian distribution
Method      | Z0.Mkl.sample.gaussian(Z0.Mkl.MklRng,System.Double,System.Double,System.Span{System.Double})| Samples a double-precision Gaussian distribution
Method      | Z0.Mkl.sample.gamma(Z0.Mkl.MklRng,System.Single,System.Single,System.Single,System.Span{System.Single})| Samples a single-precision gamma distribution
Method      | Z0.Mkl.sample.gamma(Z0.Mkl.MklRng,System.Double,System.Double,System.Double,System.Span{System.Double})| Samples a double-precision gamma distribution
Method      | Z0.Mkl.sample.exp(Z0.Mkl.MklRng,System.Single,System.Single,System.Span{System.Single})| Samples a single-precision exponential distribution
Method      | Z0.Mkl.sample.exp(Z0.Mkl.MklRng,System.Double,System.Double,System.Span{System.Double})| Samples a double-precision exponential distribution
Method      | Z0.Mkl.sample.poisson(Z0.Mkl.MklRng,System.Double,System.Span{System.Int32})| Samples a poisson distribution
Method      | Z0.Mkl.sample.laplace(Z0.Mkl.MklRng,System.Single,System.Single,System.Span{System.Single})| Samples a single-precision Laplace distribution
Method      | Z0.Mkl.sample.laplace(Z0.Mkl.MklRng,System.Double,System.Double,System.Span{System.Double})| Samples a double-precision Laplace distribution
Type        | Z0.Mkl.samplers                                                       | Defines factory methods for creating distribution samplers
Method      | Z0.Mkl.samplers.bits32(Z0.Mkl.MklRng,System.Nullable{System.Int32})   | Creates a bitwise uniform 32-bit sampler
Method      | Z0.Mkl.samplers.bits64(Z0.Mkl.MklRng,System.Nullable{System.Int32})   | Creates a bitwise uniform 64-bit sampler
Method      | Z0.Mkl.samplers.bits(Z0.Mkl.MklRng,Z0.UniformBitsSpec{System.UInt32},System.Nullable{System.Int32})| Creates 32-bit sampler of uninform bits
Method      | Z0.Mkl.samplers.bits(Z0.Mkl.MklRng,Z0.UniformBitsSpec{System.UInt64},System.Nullable{System.Int32})| Creates 64-bit sampler of uninform bits
Method      | Z0.Mkl.samplers.uniform(Z0.Mkl.MklRng,Z0.Interval{System.Int32},System.Nullable{System.Int32})| Creates a uniform sampler for 32-bit integers
Method      | Z0.Mkl.samplers.uniform(Z0.Mkl.MklRng,System.Int32,System.Int32,System.Nullable{System.Int32})| Creates a uniform sampler for 32-bit integers
Method      | Z0.Mkl.samplers.uniform(Z0.Mkl.MklRng,System.Single,System.Single,System.Nullable{System.Int32})| Creates a uniform sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.uniform(Z0.Mkl.MklRng,Z0.Interval{System.Single},System.Nullable{System.Int32})| Creates a uniform sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.uniform(Z0.Mkl.MklRng,System.Double,System.Double,System.Nullable{System.Int32})| Creates a uniform sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.uniform(Z0.Mkl.MklRng,Z0.Interval{System.Double},System.Nullable{System.Int32})| Creates a uniform sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.uniform(Z0.Mkl.MklRng,Z0.UniformSpec{System.Int32},System.Nullable{System.Int32})| Creates a uniform sampler for 32-bit integers
Method      | Z0.Mkl.samplers.uniform(Z0.Mkl.MklRng,Z0.UniformSpec{System.Single},System.Nullable{System.Int32})| Creates a uniform sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.uniform(Z0.Mkl.MklRng,Z0.UniformSpec{System.Double},System.Nullable{System.Int32})| Creates a uniform sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.bernoulli(Z0.Mkl.MklRng,System.Double,System.Nullable{System.Int32})| Creates a Bernoulli sampler
Method      | Z0.Mkl.samplers.bernoulli(Z0.Mkl.MklRng,Z0.BernoulliSpec{System.Int32},System.Nullable{System.Int32})| Creates a Bernoulli sampler
Method      | Z0.Mkl.samplers.gaussian(Z0.Mkl.MklRng,System.Single,System.Single,System.Nullable{System.Int32})| Creates a single-precision Gaussian sampler
Method      | Z0.Mkl.samplers.gaussian(Z0.Mkl.MklRng,System.Double,System.Double,System.Nullable{System.Int32})| Creates a double-precision Gaussian sampler
Method      | Z0.Mkl.samplers.gaussian(Z0.Mkl.MklRng,Z0.GaussianSpec{System.Single},System.Nullable{System.Int32})| Creates gaussian sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.gaussian(Z0.Mkl.MklRng,Z0.GaussianSpec{System.Double},System.Nullable{System.Int32})| Creates gaussian sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.geometric(Z0.Mkl.MklRng,System.Double,System.Nullable{System.Int32})| Creates a geometric sampler
Method      | Z0.Mkl.samplers.geometric(Z0.Mkl.MklRng,Z0.GeometricSpec{System.Int32},System.Nullable{System.Int32})| Creates a geometric sampler
Method      | Z0.Mkl.samplers.gamma(Z0.Mkl.MklRng,System.Single,System.Single,System.Single,System.Nullable{System.Int32})| Creates gamma sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.gamma(Z0.Mkl.MklRng,System.Double,System.Double,System.Double,System.Nullable{System.Int32})| Creates gamma sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.gamma(Z0.Mkl.MklRng,Z0.GammaSpec{System.Single},System.Nullable{System.Int32})| Creates gamma sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.gamma(Z0.Mkl.MklRng,Z0.GammaSpec{System.Double},System.Nullable{System.Int32})| Creates gamma sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.exponential(Z0.Mkl.MklRng,System.Single,System.Single,System.Nullable{System.Int32})| Creates an exponential sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.exponential(Z0.Mkl.MklRng,System.Double,System.Double,System.Nullable{System.Int32})| Creates an exponential sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.exponential(Z0.Mkl.MklRng,Z0.ExponentialSpec{System.Single},System.Nullable{System.Int32})| Creates an exponential sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.exponential(Z0.Mkl.MklRng,Z0.ExponentialSpec{System.Double},System.Nullable{System.Int32})| Creates an exponential sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.poisson(Z0.Mkl.MklRng,System.Double,System.Nullable{System.Int32})| Creates a Poisson sampler
Method      | Z0.Mkl.samplers.chisquare(Z0.Mkl.MklRng,Z0.ChiSquareSpec{System.Single},System.Nullable{System.Int32})| Creates a chi square sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.chisquare(Z0.Mkl.MklRng,Z0.ChiSquareSpec{System.Double},System.Nullable{System.Int32})| Creates a chi square sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.cauchy(Z0.Mkl.MklRng,System.Single,System.Single,System.Nullable{System.Int32})| Creates a Cauchy sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.cauchy(Z0.Mkl.MklRng,System.Double,System.Double,System.Nullable{System.Int32})| Creates a Cauchy sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.cauchy(Z0.Mkl.MklRng,Z0.CauchySpec{System.Single},System.Nullable{System.Int32})| Creates a Cauchy sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.cauchy(Z0.Mkl.MklRng,Z0.CauchySpec{System.Double},System.Nullable{System.Int32})| Creates a Cauchy sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.laplace(Z0.Mkl.MklRng,System.Single,System.Single,System.Nullable{System.Int32})| Creates a Laplace sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.laplace(Z0.Mkl.MklRng,Z0.LaplaceSpec{System.Single},System.Nullable{System.Int32})| Creates a Laplace sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.laplace(Z0.Mkl.MklRng,System.Double,System.Double,System.Nullable{System.Int32})| Creates a Laplace sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.laplace(Z0.Mkl.MklRng,Z0.LaplaceSpec{System.Double},System.Nullable{System.Int32})| Creates a Laplace sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.UniformSpec{System.Int32},System.Nullable{System.Int32})| Creates a uniform sampler for 32-bit integers
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.UniformSpec{System.Single},System.Nullable{System.Int32})| Creates a uniform sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.UniformSpec{System.Double},System.Nullable{System.Int32})| Creates a uniform sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.UniformBitsSpec{System.UInt32},System.Nullable{System.Int32})| Creates 32-bit sampler of uninform bits
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.UniformBitsSpec{System.UInt64},System.Nullable{System.Int32})| Creates 64-bit sampler of uninform bits
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.BernoulliSpec{System.Int32},System.Nullable{System.Int32})| Creates a Bernoulli sampler
Method      | Z0.Mkl.samplers.spec(Z0.Mkl.MklRng,Z0.GeometricSpec{System.Int32},System.Nullable{System.Int32})| Creates a geometric sampler
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.ChiSquareSpec{System.Single},System.Nullable{System.Int32})| Creates a chi square sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.ChiSquareSpec{System.Double},System.Nullable{System.Int32})| Creates a chi square sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.GaussianSpec{System.Single},System.Nullable{System.Int32})| Creates gaussian sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.GaussianSpec{System.Double},System.Nullable{System.Int32})| Creates gaussian sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.ExponentialSpec{System.Single},System.Nullable{System.Int32})| Creates an exponential sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.ExponentialSpec{System.Double},System.Nullable{System.Int32})| Creates an exponential sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.GammaSpec{System.Single},System.Nullable{System.Int32})| Creates gamma sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.GammaSpec{System.Double},System.Nullable{System.Int32})| Creates gamma sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.CauchySpec{System.Single},System.Nullable{System.Int32})| Creates a Cauchy sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,System.Double,System.Double,System.Nullable{System.Int32})| Creates a Cauchy sampler for 64-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.LaplaceSpec{System.Single},System.Nullable{System.Int32})| Creates a Laplace sampler for 32-bit floating point
Method      | Z0.Mkl.samplers.sampler(Z0.Mkl.MklRng,Z0.LaplaceSpec{System.Double},System.Nullable{System.Int32})| Creates a Laplace sampler for 64-bit floating point
Method      | Z0.Mkl.special.erf(System.Single)                                     | The error function
Method      | Z0.Mkl.special.erf(System.Double)                                     | The error function
Method      | Z0.Mkl.special.erfInv(System.Single)                                  | The inverse error function
Method      | Z0.Mkl.special.erfInv(System.Double)                                  | The inverse error function
Method      | Z0.Mkl.special.erfc(System.Single)                                    | The complementary error function
Method      | Z0.Mkl.special.erfc(System.Double)                                    | The complementary error function
Method      | Z0.Mkl.special.erfcInv(System.Single)                                 | The inverse complementary error function
Method      | Z0.Mkl.special.erfcInv(System.Double)                                 | The inverse complementary error function
Method      | Z0.Mkl.special.cdfNorm(System.Single)                                 | The cdf norm function
Method      | Z0.Mkl.special.cdfNorm(System.Double)                                 | The cdf norm function
Type        | Z0.Mkl.EigenResult`2                                                  | Encapsulates eigenvalues and possibly eigenvectors
Method      | Z0.Mkl.MklException.Define(System.String,System.String,System.String,System.Nullable{System.Int32})| Creates an MKL-specific exception
Method      | Z0.Mkl.MklException.Define(System.Int32,System.String,System.String,System.Nullable{System.Int32})| Creates an MKL-specific exception
Method      | Z0.Mkl.MklException.Throw``1(System.String,System.String,System.String,System.Nullable{System.Int32})| Creates and throws MKL-specific exception
Method      | Z0.Mkl.MklException.Throw(System.Int32,System.String,System.String,System.Nullable{System.Int32})| Creates and throws MKL-specific exception
Property    | Z0.Mkl.IVslSSTask`1.Samples                                           | Specifies the samples/observations over which computation will occur            in row-major order
Property    | Z0.Mkl.IVslSSTask`1.Dimension                                         | Specifies the Dimension of the observation vectors
Type        | Z0.Mkl.VslSSTask`1                                                    | Represents a summary statistics task
Field       | Z0.Mkl.VslSSTask`1.Samples                                            | Defines the observations/samples over which the task will compute
Field       | Z0.Mkl.VslSSTask`1.Weights                                            | Defines the weights applied to the sample vectors
Field       | Z0.Mkl.VslSSTask`1.Indices                                            | Specifies the indices of the vector components that will be processed
Method      | Z0.Mkl.VssOps.Mean(Z0.Observations{System.Single})                    | Finds the mean for each dimension
Method      | Z0.Mkl.VssOps.Mean(Z0.Observations{System.Double})                    | Finds the mean for each dimension
Method      | Z0.Mkl.VssOps.Variance(Z0.Observations{System.Double})                | Finds the mean for each dimension
Method      | Z0.Mkl.VssOps.Mean(Z0.Observations{System.Double},System.Double@)     | Calculates the mean
Method      | Z0.Mkl.VssOps.Sum(Z0.Observations{System.Single})                     | For each dimension, finds the sum
Method      | Z0.Mkl.VssOps.Sum(Z0.Observations{System.Double})                     | For each dimension, finds the sum
Method      | Z0.Mkl.VssOps.Min(Z0.Observations{System.Single})                     | For each dimension, finds the minimum sample value
Method      | Z0.Mkl.VssOps.Min(Z0.Observations{System.Double})                     | For each dimension, finds the minimum sample value
Method      | Z0.Mkl.VssOps.Max(Z0.Observations{System.Single})                     | For each dimension, finds the maximum sample value
Method      | Z0.Mkl.VssOps.Max(Z0.Observations{System.Double})                     | For each dimension, finds the maximum sample value
Method      | Z0.Mkl.VssOps.Extrema(Z0.Observations{System.Single})                 | For each dimension, finds the minimum and maxim sample value
Method      | Z0.Mkl.VssOps.Extrema(Z0.Observations{System.Double})                 | For each dimension, finds the minimum and maxim sample value
Method      | Z0.Mkl.VssOps.RadixSort(Z0.Observations{System.Single},Z0.Observations{System.Single})| Applies the radix sort method to order the components in each observation vector
Method      | Z0.Mkl.VssOps.RadixSort(Z0.Observations{System.Double},Z0.Observations{System.Double})| Applies the radix sort method to order the components in each observation vector
Method      | Z0.Mkl.VssOps.RadixSort(Z0.Observations{System.Single})               | Applies the radix sort method to order the components in each observation vector
Method      | Z0.Mkl.VssOps.RadixSort(Z0.Observations{System.Double})               | Applies the radix sort method to order the components in each observation vector
Type        | Z0.Mkl.VslStream                                                      | Wraps a pointer to a VSL stream
Method      | Z0.Mkl.CBLAS.cblas_sasum(System.Int32,System.Single@,System.Int32)    | Computes the sum of the absolute value of each component
Method      | Z0.Mkl.CBLAS.cblas_dasum(System.Int32,System.Double@,System.Int32)    | Computes the sum of the absolute value of each component
Method      | Z0.Mkl.CBLAS.cblas_scasum(System.Int32,Z0.ComplexF32@,System.Int32)   | Computes the sum of the absolute value of each real and imaginary part of each component
Method      | Z0.Mkl.CBLAS.cblas_dzasum(System.Int32,Z0.ComplexF64@,System.Int32)   | Computes the sum of the absolute value of each real and imaginary part of each component
Method      | Z0.Mkl.CBLAS.cblas_saxpy(System.Int32,System.Single,System.Single@,System.Int32,System.Single@,System.Int32)| Computes Y = aX + Y for a scalar a and vectors X, Y
Method      | Z0.Mkl.CBLAS.cblas_daxpy(System.Int32,System.Double,System.Double@,System.Int32,System.Double@,System.Int32)| Computes Y = aX + Y for a scalar a and vectors X, Y
Method      | Z0.Mkl.CBLAS.cblas_caxpy(System.Int32,Z0.ComplexF32@,Z0.ComplexF32@,System.Int32,Z0.ComplexF32@,System.Int32)| Computes Y = aX + Y for a scalar a and vectors X, Y
Method      | Z0.Mkl.CBLAS.cblas_zaxpy(System.Int32,Z0.ComplexF64@,Z0.ComplexF64@,System.Int32,Z0.ComplexF64@,System.Int32)| Computes Y = aX + Y for a scalar a and vectors X, Y
Method      | Z0.Mkl.CBLAS.cblas_sdot(System.Int32,System.Single@,System.Int32,System.Single@,System.Int32)| Computes the canonical dot product of two vectors
Method      | Z0.Mkl.CBLAS.cblas_ddot(System.Int32,System.Double@,System.Int32,System.Double@,System.Int32)| Computes the canonical dot product of two vectors
Method      | Z0.Mkl.CBLAS.cblas_dgemm(Z0.Mkl.BlasLayout,Z0.Mkl.BlasTrans,Z0.Mkl.BlasTrans,System.Int32,System.Int32,System.Int32,System.Double,System.Double@,System.Int32,System.Double@,System.Int32,System.Double,System.Double@,System.Int32)| Computes C = alpha*A*B + beta*C where alhpa and beta are scalars and A,B and C are matrices of compatible dimensions
Method      | Z0.Mkl.CBLAS.cblas_dgemv(Z0.Mkl.BlasLayout,Z0.Mkl.BlasTrans,System.Int32,System.Int32,System.Double,System.Double@,System.Int32,System.Double@,System.Int32,System.Double,System.Double@,System.Int32)| Computes  y = alpha*A*x + beta*y ;
Method      | Z0.Mkl.CBLAS.cblas_isamax(System.Int32,System.Single@,System.Int32)   | Finds the index of the vector component with maximum absoute value
Method      | Z0.Mkl.CBLAS.cblas_idamax(System.Int32,System.Double@,System.Int32)   | Finds the index of the vector component with maximum absoute value
Method      | Z0.Mkl.CBLAS.cblas_icamax(System.Int32,Z0.ComplexF32@,System.Int32)   | Finds the index of the complex vector component such that the sum of the            absolute value of the real and imaginary parts are maximial
Method      | Z0.Mkl.CBLAS.cblas_izamax(System.Int32,Z0.ComplexF64@,System.Int32)   | Finds the index of the complex vector component such that the sum of the            absolute value of the real and imaginary parts is maximial
Method      | Z0.Mkl.CBLAS.cblas_isamin(System.Int32,System.Single@,System.Int32)   | Finds the index of the vector component with minimal absoute value
Method      | Z0.Mkl.CBLAS.cblas_idamin(System.Int32,System.Double@,System.Int32)   | Finds the index of the vector component with minimal absoute value
Method      | Z0.Mkl.CBLAS.cblas_icamin(System.Int32,Z0.ComplexF32@,System.Int32)   | Finds the index of the complex vector component such that the sum of the            absolute value of the real and imaginary parts is minimal
Method      | Z0.Mkl.CBLAS.cblas_izamin(System.Int32,Z0.ComplexF64@,System.Int32)   | Finds the index of the complex vector component such that the sum of the            absolute value of the real and imaginary parts is minimal
Method      | Z0.Mkl.CBLAS.cblas_snrm2(System.Int32,System.Single@,System.Int32)    | Computes the Euclidean norm of the source vector
Method      | Z0.Mkl.CBLAS.cblas_dnrm2(System.Int32,System.Double@,System.Int32)    | Computes the Euclidean norm of the source vector
Method      | Z0.Mkl.LAPACK.LAPACKE_dgeev(Z0.Mkl.BlasLayout,System.Char,System.Char,System.Int32,System.Double@,System.Int32,System.Double@,System.Double@,System.Double@,System.Int32,System.Double@,System.Int32)| For an n-square real nonsymmetric matrix A, computes the eigenvalues and, optionally,             the left and/or right eigenvectors. The right eigenvector v of A satisfies A*v = λ*v            where λ is its eigenvalue. The left eigenvector u of A satisfies u^H *A = λ*u H            where where u^H denotes the conjugate transpose of u. The computed eigenvectors are             normalized to have Euclidean norm equal to 1 and largest component real
Method      | Z0.Mkl.LAPACK.LAPACKE_sgetrf(Z0.Mkl.BlasLayout,System.Int32,System.Int32,System.Single@,System.Int32,System.Int32@)| Computes an LU factorization of a general M-by-N matrix A using partial pivoting with row interchanges.
Method      | Z0.Mkl.LAPACK.LAPACKE_dgetrf(Z0.Mkl.BlasLayout,System.Int32,System.Int32,System.Double@,System.Int32,System.Int32@)| Computes an LU factorization of a general M-by-N matrix A using partial pivoting with row interchanges.
Method      | Z0.Mkl.LAPACK.LAPACKE_dpotrf(Z0.Mkl.BlasLayout,System.Char,System.Int32,System.Double@,System.Int32)| Computes the Cholesky factorization of a symmetric, positive-definite matrix
Type        | Z0.Mkl.MklCodeAttribute                                               | Specifies the meaning of a numeric code where applied
Method      | Z0.Mkl.VmlImport.vsSqr(System.Int32,System.Single@,System.Single@)    | Computes the square of each component: r[i] = a[i]^2
Method      | Z0.Mkl.VmlImport.vdSqr(System.Int32,System.Double@,System.Double@)    | Computes the square of each component: r[i] = a[i]^2
Method      | Z0.Mkl.VmlImport.vsSqrt(System.Int32,System.Single@,System.Single@)   | Computes the square root of each component: r[i] = a[i]^0.5
Method      | Z0.Mkl.VmlImport.vdSqrt(System.Int32,System.Double@,System.Double@)   | Computes the square root of each component: r[i] = a[i]^0.5
Method      | Z0.Mkl.VmlImport.vsPow(System.Int32,System.Single@,System.Single@,System.Single@)| Computes r[i] = a[i]^b[i]
Method      | Z0.Mkl.VmlImport.vdPow(System.Int32,System.Double@,System.Double@,System.Double@)| Computes r[i] = a[i]^b[i]
Method      | Z0.Mkl.VSL.viRngUniform(System.Int32,System.IntPtr,System.Int32,System.Int32@,System.Int32,System.Int32)| Generates random 32-bit integers uniformly distributed over the interval [a, b).
Method      | Z0.Mkl.VSL.vsRngUniform(System.Int32,System.IntPtr,System.Int32,System.Single@,System.Single,System.Single)| Generates random 32-bit floating point values uniformly distributed over the interval [a, b).
Method      | Z0.Mkl.VSL.vdRngUniform(System.Int32,System.IntPtr,System.Int32,System.Double@,System.Double,System.Double)| Generates random 64-bit floating point values uniformly distributed over the interval [a, b).
Method      | Z0.Mkl.VSL.viRngUniformBits32(System.Int32,System.IntPtr,System.Int32,System.UInt32@)| Generates 32-bit integers with uniform bit distribution
Method      | Z0.Mkl.VSL.viRngUniformBits64(System.Int32,System.IntPtr,System.Int32,System.UInt64@)| Generates 64-bit integers with uniform bit distribution
Method      | Z0.Mkl.VSL.viRngBernoulli(System.Int32,System.IntPtr,System.Int32,System.Int32@,System.Double)| Generates integers from the set {0,1} that follow a Bernoulli distribution
Method      | Z0.Mkl.VSL.vsRngGamma(Z0.Mkl.VslGammaMethod,System.IntPtr,System.Int32,System.Single@,System.Single,System.Single,System.Single)| Samples a single-precision Gamma distribution
Method      | Z0.Mkl.VSL.vdRngGamma(Z0.Mkl.VslGammaMethod,System.IntPtr,System.Int32,System.Double@,System.Double,System.Double,System.Double)| Samples a double-precision Gamma distribution
Method      | Z0.Mkl.VSL.vsRngChiSquare(System.Int32,System.IntPtr,System.Int32,System.Single@,System.Int32)| Samples a single-precision Chi^2 distribution
Method      | Z0.Mkl.VSL.vdRngChiSquare(System.Int32,System.IntPtr,System.Int32,System.Double@,System.Int32)| Samples a double-precision Chi^2 distribution
Method      | Z0.Mkl.VSL.vdRngGaussianMV(Z0.Mkl.VslGaussianMVMethod,System.IntPtr,System.Int32,System.Double@,System.Int32,Z0.Mkl.VslMatrixStorage,System.Double@,System.Double@)| 
Method      | Z0.Mkl.VSL.vslsSSNewTask(System.IntPtr@,System.Int32@,System.Int32@,Z0.Mkl.VslSSMatrixStorage@,System.Single@,System.Single@,System.Int32@)| Creates a new single-precisiion summary statistics task
Method      | Z0.Mkl.VSL.vsldSSNewTask(System.IntPtr@,System.Int32@,System.Int32@,Z0.Mkl.VslSSMatrixStorage@,System.Double@,System.Double@,System.Int32@)| Creates a new double-precisiion summary statistics task
Method      | Z0.Mkl.VSL.vslSSDeleteTask(System.IntPtr@)                            | Deletes a summary statistics task
Method      | Z0.Mkl.VSL.vslNewStream(System.IntPtr@,Z0.Mkl.Brng,System.UInt32)     | Creates a new random number stream
Method      | Z0.Mkl.VSL.vslDeleteStream(System.IntPtr@)                            | Deallocates a stream created via vslNewStream
Method      | Z0.Mkl.VSL.vslLeapfrogStream(System.IntPtr,System.Int32,System.Int32) | Selects a substream from the source stream
Method      | Z0.Mkl.VSL.vslSkipAheadStream(System.IntPtr,System.Int64)             | Advances the stream by a specified number of elements
Field       | Z0.Mkl.Brng.MCG31                                                     | A 31-bit multiplicative congruential generator.
Field       | Z0.Mkl.Brng.R250                                                      | A generalized feedback shift register generator.
Field       | Z0.Mkl.Brng.MRG32K3A                                                  | A combined multiple recursive generator with two components of order 3.
Field       | Z0.Mkl.Brng.MCG59                                                     | A 59-bit multiplicative congruential generator.
Field       | Z0.Mkl.Brng.WH                                                        | A set of 273 Wichmann-Hill combined multiplicative congruential generators.
Field       | Z0.Mkl.Brng.SOBOL                                                     | A 32-bit Gray code-based generator producing low-discrepancy sequences for dimensions 1 ≤ s ≤ 40            User-defined dimensions are also available
Field       | Z0.Mkl.Brng.NIEDERR                                                   | A 32-bit Gray code-based generator producing low-discrepancy sequences for dimensions 1 ≤ s ≤ 318.            User-defined dimensions are also available.
Field       | Z0.Mkl.Brng.MT19937                                                   | A Mersenne Twister pseudorandom number generator.
Field       | Z0.Mkl.Brng.MT2203                                                    | A set of 6024 Mersenne Twister pseudorandom number generators
Field       | Z0.Mkl.Brng.IABSTRACT                                                 | An abstract random number generator for integer arrays.
Field       | Z0.Mkl.Brng.DABSTRACT                                                 | An abstract random number generator for double precision floating-point arrays.
Field       | Z0.Mkl.Brng.SABSTRACT                                                 | An abstract random number generator for single precision floating-point arrays.
Field       | Z0.Mkl.Brng.SFMT19937                                                 | A SIMD-oriented Fast Mersenne Twister pseudorandom number generator.
Field       | Z0.Mkl.Brng.NONDETERM                                                 | A non-deterministic random number generator.
Field       | Z0.Mkl.Brng.ARS5                                                      | An ARS-5 counter-based pseudorandom number generator that uses instructions from the AES-NI set
Field       | Z0.Mkl.Brng.PHILOX4X32X10                                             | A Philox4x32-10 counter-based pseudorandom number generator.
Type        | Z0.Mkl.VmlAccuracy                                                    | Controls the accuracy of VML functions
