Type        | PartId                                                                | Defines identifiers for assemblies that comprise this ... monstrosity?
Field       | Z0.Asm.Code.Invlpgad                                                  | <c>INVLPGA</c><br />            <br />            <c>a32 0F 01 DF</c><br />            <br />            <c>SVM</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Invlpgaq                                                  | <c>INVLPGA</c><br />            <br />            <c>0F 01 DF</c><br />            <br />            <c>SVM</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.Code.Setssbsy                                                  | <c>SETSSBSY</c><br />            <br />            <c>F3 0F 01 E8</c><br />            <br />            <c>CET_SS</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Saveprevssp                                               | <c>SAVEPREVSSP</c><br />            <br />            <c>F3 0F 01 EA</c><br />            <br />            <c>CET_SS</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Rdpkru                                                    | <c>RDPKRU</c><br />            <br />            <c>NP 0F 01 EE</c><br />            <br />            <c>PKU</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Wrpkru                                                    | <c>WRPKRU</c><br />            <br />            <c>NP 0F 01 EF</c><br />            <br />            <c>PKU</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Swapgs                                                    | <c>SWAPGS</c><br />            <br />            <c>0F 01 F8</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.Code.Rdtscp                                                    | <c>RDTSCP</c><br />            <br />            <c>0F 01 F9</c><br />            <br />            <c>RDTSCP</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Monitorxw                                                 | <c>MONITORX</c><br />            <br />            <c>a16 NP 0F 01 FA</c><br />            <br />            <c>MONITORX</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.Code.Monitorxd                                                 | <c>MONITORX</c><br />            <br />            <c>a32 NP 0F 01 FA</c><br />            <br />            <c>MONITORX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Monitorxq                                                 | <c>MONITORX</c><br />            <br />            <c>NP 0F 01 FA</c><br />            <br />            <c>MONITORX</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.Code.Mcommit                                                   | <c>MCOMMIT</c><br />            <br />            <c>F3 0F 01 FA</c><br />            <br />            <c>MCOMMIT</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Mwaitx                                                    | <c>MWAITX</c><br />            <br />            <c>0F 01 FB</c><br />            <br />            <c>MONITORX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Clzerow                                                   | <c>CLZERO</c><br />            <br />            <c>a16 0F 01 FC</c><br />            <br />            <c>CLZERO</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.Code.Clzerod                                                   | <c>CLZERO</c><br />            <br />            <c>a32 0F 01 FC</c><br />            <br />            <c>CLZERO</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Clzeroq                                                   | <c>CLZERO</c><br />            <br />            <c>0F 01 FC</c><br />            <br />            <c>CLZERO</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.Code.Rdpru                                                     | <c>RDPRU</c><br />            <br />            <c>0F 01 FD</c><br />            <br />            <c>RDPRU</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Lar_r16_rm16                                              | <c>LAR r16, r/m16</c><br />            <br />            <c>o16 0F 02 /r</c><br />            <br />            <c>286+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Lar_r32_r32m16                                            | <c>LAR r32, r32/m16</c><br />            <br />            <c>o32 0F 02 /r</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Lar_r64_r64m16                                            | <c>LAR r64, r64/m16</c><br />            <br />            <c>REX.W 0F 02 /r</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.Code.Lsl_r16_rm16                                              | <c>LSL r16, r/m16</c><br />            <br />            <c>o16 0F 03 /r</c><br />            <br />            <c>286+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Lsl_r32_r32m16                                            | <c>LSL r32, r32/m16</c><br />            <br />            <c>o32 0F 03 /r</c><br />            <br />            <c>386+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Lsl_r64_r64m16                                            | <c>LSL r64, r64/m16</c><br />            <br />            <c>REX.W 0F 03 /r</c><br />            <br />            <c>X64</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.Code.Loadallreset286                                           | <c>LOADALL</c><br />            <br />            <c>0F 04</c><br />            <br />            <c>286</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.Code.Loadall286                                                | <c>LOADALL</c><br />            <br />            <c>0F 05</c><br />            <br />            <c>286</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.Code.Syscall                                                   | <c>SYSCALL</c><br />            <br />            <c>0F 05</c><br />            <br />            <c>SYSCALL</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Clts                                                      | <c>CLTS</c><br />            <br />            <c>0F 06</c><br />            <br />            <c>286+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Loadall386                                                | <c>LOADALL</c><br />            <br />            <c>0F 07</c><br />            <br />            <c>386</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.Code.Sysretd                                                   | <c>SYSRET</c><br />            <br />            <c>0F 07</c><br />            <br />            <c>SYSCALL</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Sysretq                                                   | <c>SYSRET</c><br />            <br />            <c>REX.W 0F 07</c><br />            <br />            <c>SYSCALL</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.Code.Invd                                                      | <c>INVD</c><br />            <br />            <c>0F 08</c><br />            <br />            <c>486+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Wbinvd                                                    | <c>WBINVD</c><br />            <br />            <c>0F 09</c><br />            <br />            <c>486+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Wbnoinvd                                                  | <c>WBNOINVD</c><br />            <br />            <c>F3 0F 09</c><br />            <br />            <c>WBNOINVD</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Cl1invmb                                                  | <c>CL1INVMB</c><br />            <br />            <c>0F 0A</c><br />            <br />            <c>CL1INVMB</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Ud2                                                       | <c>UD2</c><br />            <br />            <c>0F 0B</c><br />            <br />            <c>286+</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.ReservedNop_rm16_r16_0F0D                                 | <c>RESERVEDNOP r/m16, r16</c><br />            <br />            <c>o16 0F 0D /r</c><br />            <br />            <c>CPUID.01H.EAX[Bits 11:8] = 0110B or 1111B</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.ReservedNop_rm32_r32_0F0D                                 | <c>RESERVEDNOP r/m32, r32</c><br />            <br />            <c>o32 0F 0D /r</c><br />            <br />            <c>CPUID.01H.EAX[Bits 11:8] = 0110B or 1111B</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.ReservedNop_rm64_r64_0F0D                                 | <c>RESERVEDNOP r/m64, r64</c><br />            <br />            <c>REX.W 0F 0D /r</c><br />            <br />            <c>CPUID.01H.EAX[Bits 11:8] = 0110B or 1111B</c><br />            <br />            <c>64-bit</c>
Field       | Z0.Asm.Code.Prefetch_m8                                               | <c>PREFETCH m8</c><br />            <br />            <c>0F 0D /0</c><br />            <br />            <c>PREFETCHW</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Prefetchw_m8                                              | <c>PREFETCHW m8</c><br />            <br />            <c>0F 0D /1</c><br />            <br />            <c>PREFETCHW</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Prefetchwt1_m8                                            | <c>PREFETCHWT1 m8</c><br />            <br />            <c>0F 0D /2</c><br />            <br />            <c>PREFETCHWT1</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Femms                                                     | <c>FEMMS</c><br />            <br />            <c>0F 0E</c><br />            <br />            <c>3DNOW</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Umov_rm8_r8                                               | <c>UMOV r/m8, r8</c><br />            <br />            <c>0F 10 /r</c><br />            <br />            <c>386/486</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.Code.Umov_rm16_r16                                             | <c>UMOV r/m16, r16</c><br />            <br />            <c>o16 0F 11 /r</c><br />            <br />            <c>386/486</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.Code.Umov_rm32_r32                                             | <c>UMOV r/m32, r32</c><br />            <br />            <c>o32 0F 11 /r</c><br />            <br />            <c>386/486</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.Code.Umov_r8_rm8                                               | <c>UMOV r8, r/m8</c><br />            <br />            <c>0F 12 /r</c><br />            <br />            <c>386/486</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.Code.Umov_r16_rm16                                             | <c>UMOV r16, r/m16</c><br />            <br />            <c>o16 0F 13 /r</c><br />            <br />            <c>386/486</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.Code.Umov_r32_rm32                                             | <c>UMOV r32, r/m32</c><br />            <br />            <c>o32 0F 13 /r</c><br />            <br />            <c>386/486</c><br />            <br />            <c>16/32-bit</c>
Field       | Z0.Asm.Code.Movups_xmm_xmmm128                                        | <c>MOVUPS xmm1, xmm2/m128</c><br />            <br />            <c>NP 0F 10 /r</c><br />            <br />            <c>SSE</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovups_xmm_xmmm128                                   | <c>VMOVUPS xmm1, xmm2/m128</c><br />            <br />            <c>VEX.128.0F.WIG 10 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovups_ymm_ymmm256                                   | <c>VMOVUPS ymm1, ymm2/m256</c><br />            <br />            <c>VEX.256.0F.WIG 10 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovups_xmm_k1z_xmmm128                              | <c>VMOVUPS xmm1 {k1}{z}, xmm2/m128</c><br />            <br />            <c>EVEX.128.0F.W0 10 /r</c><br />            <br />            <c>AVX512VL and AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovups_ymm_k1z_ymmm256                              | <c>VMOVUPS ymm1 {k1}{z}, ymm2/m256</c><br />            <br />            <c>EVEX.256.0F.W0 10 /r</c><br />            <br />            <c>AVX512VL and AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovups_zmm_k1z_zmmm512                              | <c>VMOVUPS zmm1 {k1}{z}, zmm2/m512</c><br />            <br />            <c>EVEX.512.0F.W0 10 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Movupd_xmm_xmmm128                                        | <c>MOVUPD xmm1, xmm2/m128</c><br />            <br />            <c>66 0F 10 /r</c><br />            <br />            <c>SSE2</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovupd_xmm_xmmm128                                   | <c>VMOVUPD xmm1, xmm2/m128</c><br />            <br />            <c>VEX.128.66.0F.WIG 10 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovupd_ymm_ymmm256                                   | <c>VMOVUPD ymm1, ymm2/m256</c><br />            <br />            <c>VEX.256.66.0F.WIG 10 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovupd_xmm_k1z_xmmm128                              | <c>VMOVUPD xmm1 {k1}{z}, xmm2/m128</c><br />            <br />            <c>EVEX.128.66.0F.W1 10 /r</c><br />            <br />            <c>AVX512VL and AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovupd_ymm_k1z_ymmm256                              | <c>VMOVUPD ymm1 {k1}{z}, ymm2/m256</c><br />            <br />            <c>EVEX.256.66.0F.W1 10 /r</c><br />            <br />            <c>AVX512VL and AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovupd_zmm_k1z_zmmm512                              | <c>VMOVUPD zmm1 {k1}{z}, zmm2/m512</c><br />            <br />            <c>EVEX.512.66.0F.W1 10 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Movss_xmm_xmmm32                                          | <c>MOVSS xmm1, xmm2/m32</c><br />            <br />            <c>F3 0F 10 /r</c><br />            <br />            <c>SSE</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovss_xmm_xmm_xmm                                    | <c>VMOVSS xmm1, xmm2, xmm3</c><br />            <br />            <c>VEX.LIG.F3.0F.WIG 10 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovss_xmm_m32                                        | <c>VMOVSS xmm1, m32</c><br />            <br />            <c>VEX.LIG.F3.0F.WIG 10 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovss_xmm_k1z_xmm_xmm                               | <c>VMOVSS xmm1 {k1}{z}, xmm2, xmm3</c><br />            <br />            <c>EVEX.LIG.F3.0F.W0 10 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovss_xmm_k1z_m32                                   | <c>VMOVSS xmm1 {k1}{z}, m32</c><br />            <br />            <c>EVEX.LIG.F3.0F.W0 10 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Movsd_xmm_xmmm64                                          | <c>MOVSD xmm1, xmm2/m64</c><br />            <br />            <c>F2 0F 10 /r</c><br />            <br />            <c>SSE2</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovsd_xmm_xmm_xmm                                    | <c>VMOVSD xmm1, xmm2, xmm3</c><br />            <br />            <c>VEX.LIG.F2.0F.WIG 10 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovsd_xmm_m64                                        | <c>VMOVSD xmm1, m64</c><br />            <br />            <c>VEX.LIG.F2.0F.WIG 10 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovsd_xmm_k1z_xmm_xmm                               | <c>VMOVSD xmm1 {k1}{z}, xmm2, xmm3</c><br />            <br />            <c>EVEX.LIG.F2.0F.W1 10 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovsd_xmm_k1z_m64                                   | <c>VMOVSD xmm1 {k1}{z}, m64</c><br />            <br />            <c>EVEX.LIG.F2.0F.W1 10 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Movups_xmmm128_xmm                                        | <c>MOVUPS xmm2/m128, xmm1</c><br />            <br />            <c>NP 0F 11 /r</c><br />            <br />            <c>SSE</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovups_xmmm128_xmm                                   | <c>VMOVUPS xmm2/m128, xmm1</c><br />            <br />            <c>VEX.128.0F.WIG 11 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovups_ymmm256_ymm                                   | <c>VMOVUPS ymm2/m256, ymm1</c><br />            <br />            <c>VEX.256.0F.WIG 11 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovups_xmmm128_k1z_xmm                              | <c>VMOVUPS xmm2/m128 {k1}{z}, xmm1</c><br />            <br />            <c>EVEX.128.0F.W0 11 /r</c><br />            <br />            <c>AVX512VL and AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovups_ymmm256_k1z_ymm                              | <c>VMOVUPS ymm2/m256 {k1}{z}, ymm1</c><br />            <br />            <c>EVEX.256.0F.W0 11 /r</c><br />            <br />            <c>AVX512VL and AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovups_zmmm512_k1z_zmm                              | <c>VMOVUPS zmm2/m512 {k1}{z}, zmm1</c><br />            <br />            <c>EVEX.512.0F.W0 11 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Movupd_xmmm128_xmm                                        | <c>MOVUPD xmm2/m128, xmm1</c><br />            <br />            <c>66 0F 11 /r</c><br />            <br />            <c>SSE2</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovupd_xmmm128_xmm                                   | <c>VMOVUPD xmm2/m128, xmm1</c><br />            <br />            <c>VEX.128.66.0F.WIG 11 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovupd_ymmm256_ymm                                   | <c>VMOVUPD ymm2/m256, ymm1</c><br />            <br />            <c>VEX.256.66.0F.WIG 11 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovupd_xmmm128_k1z_xmm                              | <c>VMOVUPD xmm2/m128 {k1}{z}, xmm1</c><br />            <br />            <c>EVEX.128.66.0F.W1 11 /r</c><br />            <br />            <c>AVX512VL and AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovupd_ymmm256_k1z_ymm                              | <c>VMOVUPD ymm2/m256 {k1}{z}, ymm1</c><br />            <br />            <c>EVEX.256.66.0F.W1 11 /r</c><br />            <br />            <c>AVX512VL and AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovupd_zmmm512_k1z_zmm                              | <c>VMOVUPD zmm2/m512 {k1}{z}, zmm1</c><br />            <br />            <c>EVEX.512.66.0F.W1 11 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Movss_xmmm32_xmm                                          | <c>MOVSS xmm2/m32, xmm1</c><br />            <br />            <c>F3 0F 11 /r</c><br />            <br />            <c>SSE</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovss_xmm_xmm_xmm_0F11                               | <c>VMOVSS xmm1, xmm2, xmm3</c><br />            <br />            <c>VEX.LIG.F3.0F.WIG 11 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovss_m32_xmm                                        | <c>VMOVSS m32, xmm1</c><br />            <br />            <c>VEX.LIG.F3.0F.WIG 11 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovss_xmm_k1z_xmm_xmm_0F11                          | <c>VMOVSS xmm1 {k1}{z}, xmm2, xmm3</c><br />            <br />            <c>EVEX.LIG.F3.0F.W0 11 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovss_m32_k1_xmm                                    | <c>VMOVSS m32 {k1}, xmm1</c><br />            <br />            <c>EVEX.LIG.F3.0F.W0 11 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Movsd_xmmm64_xmm                                          | <c>MOVSD xmm1/m64, xmm2</c><br />            <br />            <c>F2 0F 11 /r</c><br />            <br />            <c>SSE2</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovsd_xmm_xmm_xmm_0F11                               | <c>VMOVSD xmm1, xmm2, xmm3</c><br />            <br />            <c>VEX.LIG.F2.0F.WIG 11 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovsd_m64_xmm                                        | <c>VMOVSD m64, xmm1</c><br />            <br />            <c>VEX.LIG.F2.0F.WIG 11 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovsd_xmm_k1z_xmm_xmm_0F11                          | <c>VMOVSD xmm1 {k1}{z}, xmm2, xmm3</c><br />            <br />            <c>EVEX.LIG.F2.0F.W1 11 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovsd_m64_k1_xmm                                    | <c>VMOVSD m64 {k1}, xmm1</c><br />            <br />            <c>EVEX.LIG.F2.0F.W1 11 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Movhlps_xmm_xmm                                           | <c>MOVHLPS xmm1, xmm2</c><br />            <br />            <c>NP 0F 12 /r</c><br />            <br />            <c>SSE</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Movlps_xmm_m64                                            | <c>MOVLPS xmm1, m64</c><br />            <br />            <c>NP 0F 12 /r</c><br />            <br />            <c>SSE</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovhlps_xmm_xmm_xmm                                  | <c>VMOVHLPS xmm1, xmm2, xmm3</c><br />            <br />            <c>VEX.128.0F.WIG 12 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovlps_xmm_xmm_m64                                   | <c>VMOVLPS xmm2, xmm1, m64</c><br />            <br />            <c>VEX.128.0F.WIG 12 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovhlps_xmm_xmm_xmm                                 | <c>VMOVHLPS xmm1, xmm2, xmm3</c><br />            <br />            <c>EVEX.128.0F.W0 12 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovlps_xmm_xmm_m64                                  | <c>VMOVLPS xmm2, xmm1, m64</c><br />            <br />            <c>EVEX.128.0F.W0 12 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Movlpd_xmm_m64                                            | <c>MOVLPD xmm1, m64</c><br />            <br />            <c>66 0F 12 /r</c><br />            <br />            <c>SSE2</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovlpd_xmm_xmm_m64                                   | <c>VMOVLPD xmm2, xmm1, m64</c><br />            <br />            <c>VEX.128.66.0F.WIG 12 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovlpd_xmm_xmm_m64                                  | <c>VMOVLPD xmm2, xmm1, m64</c><br />            <br />            <c>EVEX.128.66.0F.W1 12 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Movsldup_xmm_xmmm128                                      | <c>MOVSLDUP xmm1, xmm2/m128</c><br />            <br />            <c>F3 0F 12 /r</c><br />            <br />            <c>SSE3</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovsldup_xmm_xmmm128                                 | <c>VMOVSLDUP xmm1, xmm2/m128</c><br />            <br />            <c>VEX.128.F3.0F.WIG 12 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovsldup_ymm_ymmm256                                 | <c>VMOVSLDUP ymm1, ymm2/m256</c><br />            <br />            <c>VEX.256.F3.0F.WIG 12 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovsldup_xmm_k1z_xmmm128                            | <c>VMOVSLDUP xmm1 {k1}{z}, xmm2/m128</c><br />            <br />            <c>EVEX.128.F3.0F.W0 12 /r</c><br />            <br />            <c>AVX512VL and AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovsldup_ymm_k1z_ymmm256                            | <c>VMOVSLDUP ymm1 {k1}{z}, ymm2/m256</c><br />            <br />            <c>EVEX.256.F3.0F.W0 12 /r</c><br />            <br />            <c>AVX512VL and AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovsldup_zmm_k1z_zmmm512                            | <c>VMOVSLDUP zmm1 {k1}{z}, zmm2/m512</c><br />            <br />            <c>EVEX.512.F3.0F.W0 12 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Movddup_xmm_xmmm64                                        | <c>MOVDDUP xmm1, xmm2/m64</c><br />            <br />            <c>F2 0F 12 /r</c><br />            <br />            <c>SSE3</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovddup_xmm_xmmm64                                   | <c>VMOVDDUP xmm1, xmm2/m64</c><br />            <br />            <c>VEX.128.F2.0F.WIG 12 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.VEX_Vmovddup_ymm_ymmm256                                  | <c>VMOVDDUP ymm1, ymm2/m256</c><br />            <br />            <c>VEX.256.F2.0F.WIG 12 /r</c><br />            <br />            <c>AVX</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovddup_xmm_k1z_xmmm64                              | <c>VMOVDDUP xmm1 {k1}{z}, xmm2/m64</c><br />            <br />            <c>EVEX.128.F2.0F.W1 12 /r</c><br />            <br />            <c>AVX512VL and AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovddup_ymm_k1z_ymmm256                             | <c>VMOVDDUP ymm1 {k1}{z}, ymm2/m256</c><br />            <br />            <c>EVEX.256.F2.0F.W1 12 /r</c><br />            <br />            <c>AVX512VL and AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.EVEX_Vmovddup_zmm_k1z_zmmm512                             | <c>VMOVDDUP zmm1 {k1}{z}, zmm2/m512</c><br />            <br />            <c>EVEX.512.F2.0F.W1 12 /r</c><br />            <br />            <c>AVX512F</c><br />            <br />            <c>16/32/64-bit</c>
Field       | Z0.Asm.Code.Movlps_m64_xmm                                            | <c>MOVLPS m64, xmm1</c><br />            <br />            <c>NP 0F 13 /r</c><br />            <br />            <c>SSE</c><br />            <br />            <c>16/32/64-bit</c>
