Method      | Z0.BitGrid.negate``1(Z0.BitGrid16{``0})                               | Computes the two's complement negation of source grid
Method      | Z0.BitGrid.load``1(Z0.Block16{``0}@,Z0.N1,Z0.N16)                     | Loads a 1x16 grid from the first 16-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block16{``0}@,Z0.N16,Z0.N1)                     | Loads a 16x1 grid from the first 16-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block16{``0}@,Z0.N2,Z0.N8)                      | Loads a 2x8 grid from the first 16-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block16{``0}@,Z0.N8,Z0.N2)                      | Loads a 8x2 grid from the first 16-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block16{``0}@,Z0.N4,Z0.N4)                      | Loads a 4x4 grid from the first 16-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block32{``0}@,Z0.N1,Z0.N32)                     | Loads a 1x32 grid from the first 32-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block32{``0}@,Z0.N32,Z0.N1)                     | Loads a 32x1 grid from the first 32-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block32{``0}@,Z0.N2,Z0.N16)                     | Loads a 2x16 grid from the first 32-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block32{``0}@,Z0.N16,Z0.N2)                     | Loads a 16x2 grid from the first 32-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block32{``0}@,Z0.N4,Z0.N8)                      | Loads a 4x8grid from the first 32-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block32{``0}@,Z0.N8,Z0.N4)                      | Loads a 8x4 grid from the first 32-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block64{``0}@,Z0.N1,Z0.N64)                     | Loads a 1x64 grid from the first 64-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block64{``0}@,Z0.N64,Z0.N1)                     | Loads a 64x1 grid from the first 64-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block64{``0}@,Z0.N2,Z0.N32)                     | Loads a 2x32 grid from the first 64-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block64{``0}@,Z0.N32,Z0.N2)                     | Loads a 32x2 grid from the first 64-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block64{``0}@,Z0.N4,Z0.N16)                     | Loads a 4x16 grid from the first 64-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block64{``0}@,Z0.N16,Z0.N4)                     | Loads a 16x4 grid from the first 64-bit source block
Method      | Z0.BitGrid.load``1(Z0.Block64{``0}@,Z0.N8,Z0.N8)                      | Loads an 8x8 grid from the first 64-bit source block
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N1,Z0.N128)| Loads a 1x128 grid from a 128-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N128,Z0.N1)| Forms a 128x1 grid from a 128-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N2,Z0.N64)| Forms a 2x64 grid from a 128-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N64,Z0.N2)| Forms a 64x2 grid from a 128-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N4,Z0.N32)| Forms a 4x32 grid from a 128-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N32,Z0.N4)| Forms a 32x4 grid from a 128-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N8,Z0.N16)| Forms a 8x16 grid from a 128-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N16,Z0.N8)| Forms a 16x8 grid from a 128-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N1,Z0.N256)| Forms a 1x256 grid from a 256-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N256,Z0.N1)| Forms a 256x1 grid from a 256-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N2,Z0.N128)| Forms a 2x128 grid from a 256-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N128,Z0.N2)| Forms a 128x2 grid from a 256-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N4,Z0.N64)| Forms a 4x64 grid from a 256-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N64,Z0.N4)| Forms a 64x4 grid from a 256-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N8,Z0.N32)| Forms a 8x32 grid from a 256-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N32,Z0.N8)| Loads a 32x8 grid from a 256-bit vector
Method      | Z0.BitGrid.load``1(System.Runtime.Intrinsics.Vector256{``0},Z0.N16,Z0.N16)| Loads a 16x16 grid from a 256-bit vector
Method      | Z0.BitGrid.load``1(Z0.Block256{``0}@,System.UInt16,System.UInt16)     | Loads a generic bitgrid from a 256-bit block
Method      | Z0.BitGrid.load``3(Z0.Block256{``2},``0,``1,``2)                      | Loads a natural bitgrid from a span
Method      | Z0.BitGrid.parse``1(Z0.BitString,Z0.W16)                              | Hydrates a fixed-width 32-bit dimensionless grid from a bitstring
Method      | Z0.BitGrid.parse``1(Z0.BitString,Z0.N32,System.Int32,System.Int32,``0)| Hydrates a fixed-width 32-bit dimensionless grid from a bitstring
Method      | Z0.BitGrid.parse``1(Z0.BitString,Z0.N64,System.Int32,System.Int32,``0)| Hydrates a fixed-width 64-bit dimensionless grid from a bitstring
Method      | Z0.BitGrid.parse``3(Z0.BitString,Z0.N16,``0,``1,``2)                  | Hydrates a fixed-width natural bitgrid from a bitstring
Method      | Z0.BitGrid.parse``3(Z0.BitString,Z0.N32,``0,``1,``2)                  | Hydrates a fixed-width natural bitgrid from a bitstring
Method      | Z0.BitGrid.parse``3(Z0.BitString,Z0.N64,``0,``1,``2)                  | Hydrates a 64-bit natural bitgrid from a bitstring
Method      | Z0.BitGrid.parse``3(Z0.BitString,Z0.N128,``0,``1,``2)                 | Hydrates a 128-bit natural bitgrid from a bitstring
Method      | Z0.BitGrid.parse``3(Z0.BitString,Z0.N256,``0,``1,``2)                 | Hydrates a 256-bit natural bitgrid from a bitstring
Method      | Z0.BitGrid.slice``1(Z0.BitGrid32{``0},System.Byte,System.Byte)        | Extracts a sequence of bits
Method      | Z0.BitGrid.slice``1(Z0.BitGrid64{``0},System.Byte,System.Byte)        | Extracts a sequence of bits
Method      | Z0.BitGrid.store``1(System.Runtime.Intrinsics.Vector256{``0},Z0.BitGrid{``0}@,System.Int32)| Stores a 256-bit cpu vector to an index-identified block
Method      | Z0.BitGrid.store``3(Z0.BitGrid128{``0,``1,``2}@,Z0.Block128{``2}@)    | Stores a 128-bit bitgrid to a caller-supplied target
Method      | Z0.BitGrid.store``3(Z0.BitGrid128{``0,``1,``2}@)                      | Allocates and stores a 128-bit bitgrid to a blocked span
Method      | Z0.BitGrid.store``3(Z0.BitGrid256{``0,``1,``2}@,Z0.Block256{``2}@)    | Stores a 256-bit bitgrid to a caller-supplied target
Method      | Z0.BitGrid.store``3(Z0.BitGrid256{``0,``1,``2}@)                      | Allocates and stores a 256-bit bitgrid to a blocked span
Method      | Z0.BitGrid.store``3(System.Runtime.Intrinsics.Vector256{``2},Z0.BitGrid{``0,``1,``2}@,System.Int32)| Stores a 256-bit cpu vector to an index-identified block
Method      | Z0.BitGrid.cell``1(``0@,System.Int32)                                 | Reads/manipulates a cell identified by a linear bit position
Method      | Z0.BitGrid.cell``1(Z0.BitGrid{``0}@,System.Int32)                     | Reads/manipulates a cell identified by a linear bit position
Method      | Z0.BitGrid.cell``3(Z0.BitGrid{``0,``1,``2}@,System.Int32)             | Reads/manipulates a cell identified by a linear bit position
Method      | Z0.BitGrid.col``1(Z0.BitGrid16{Z0.N1,Z0.N16,``0},System.Int32)        | Extracts an index-identifed 1-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid16{Z0.N2,Z0.N8,``0},System.Int32)         | Extracts an index-identifed 2-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid16{Z0.N8,Z0.N2,``0},System.Int32)         | Extracts an index-identifed 8-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid16{Z0.N4,Z0.N4,``0},System.Int32)         | Extracts an index-identifed 4-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid32{Z0.N1,Z0.N32,``0},System.Int32)        | Extracts an index-identifed 1-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid32{Z0.N2,Z0.N16,``0},System.Int32)        | Extracts an index-identifed 2-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid32{Z0.N4,Z0.N8,``0},System.Int32)         | Extracts an index-identifed 4-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid32{Z0.N8,Z0.N4,``0},System.Int32)         | Extracts an index-identifed 8-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid32{Z0.N16,Z0.N2,``0},System.Int32)        | Extracts an index-identifed 16-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid64{Z0.N1,Z0.N64,``0},System.Int32)        | Extracts an index-identifed 1-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid64{Z0.N2,Z0.N32,``0},System.Int32)        | Extracts an index-identifed 2-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid64{Z0.N4,Z0.N16,``0},System.Int32)        | Extracts an index-identifed 4-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid64{Z0.N8,Z0.N8,``0},System.Int32)         | Extracts an index-identifed 8-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid64{Z0.N16,Z0.N4,``0},System.Int32)        | Extracts an index-identifed 16-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid64{Z0.N32,Z0.N2,``0},System.Int32)        | Extracts an index-identifed 32-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid64{Z0.N64,Z0.N1,``0},System.Int32)        | Presents grid content as a bitvector
Method      | Z0.BitGrid.col``1(Z0.BitGrid128{Z0.N16,Z0.N8,``0}@,System.Int32)      | Extracts an index-identifed 16-bit grid column
Method      | Z0.BitGrid.col``1(Z0.BitGrid256{Z0.N32,Z0.N8,``0}@,System.Int32)      | Extracts an index-identifed 32-bit grid column
Method      | Z0.BitGrid.define(Z0.Perm4L)                                          | Derives a 4x4 bitgrid from a permutation of length 4
Method      | Z0.BitGrid.dimensions(Z0.N8)                                          | Enumerates the valid dimensions for a 16-bit fixed bitgrid
Method      | Z0.BitGrid.dimensions(Z0.N16)                                         | Enumerates the valid dimensions for a 16-bit fixed bitgrid
Method      | Z0.BitGrid.dimensions(Z0.N32)                                         | Enumerates the valid dimensions for a 32-bit fixed bitgrid
Method      | Z0.BitGrid.dimensions(Z0.N64)                                         | Enumerates the valid dimensions for a 64-bit fixed bitgrid
Method      | Z0.BitGrid.dimensions(Z0.N128)                                        | Enumerates the valid dimensions for a 128-bit fixed bitgrid
Method      | Z0.BitGrid.dimensions(Z0.N256)                                        | Enumerates the valid dimensions for a 256-bit fixed bitgrid
Method      | Z0.BitGrid.dimension``3(``0,``1,``2)                                  | Computes dimension information for a grid predicated on parametric types
Method      | Z0.BitGrid.dimension``4(``0,``1,``2,``3)                              | Computes dimension information for a blocked grid predicated on parametric types
Method      | Z0.BitGrid.p2dimensions``1                                            | Enunerates the valid grid dimensions where the total bit width is a power of 2
Method      | Z0.BitGrid.p2dimensions(System.UInt64)                                | Enunerates the valid grid dimensions where the total bit width is a power of 2
Method      | Z0.BitGrid.export``3(Z0.BitGrid16{``0,``1,``2},System.Boolean,System.String)| Exports a grid report to a file
Method      | Z0.BitGrid.export``3(Z0.BitGrid32{``0,``1,``2},System.Boolean,System.String)| Exports a grid report to a file
Method      | Z0.BitGrid.export``3(Z0.BitGrid64{``0,``1,``2},System.Boolean,System.String)| Exports a grid report to a file
Method      | Z0.BitGrid.export``3(Z0.BitGrid128{``0,``1,``2},System.Boolean,System.String)| Exports a grid report to a file
Method      | Z0.BitGrid.export``3(Z0.BitGrid256{``0,``1,``2},System.Boolean,System.String)| Exports a grid report to a file
Method      | Z0.BitGrid.export``3(Z0.SubGrid16{``0,``1,``2},Z0.FilePath,System.Boolean,System.String)| Exports a grid report to a file
Method      | Z0.BitGrid.export``3(Z0.SubGrid32{``0,``1,``2},System.Boolean,System.String)| Exports a grid report to a file
Method      | Z0.BitGrid.export``3(Z0.SubGrid64{``0,``1,``2},Z0.FilePath,System.Boolean,System.String)| Exports a grid report to a file
Method      | Z0.BitGrid.export``3(Z0.SubGrid128{``0,``1,``2},Z0.FilePath,System.Boolean,System.String)| Exports a grid report to a file
Method      | Z0.BitGrid.export``3(Z0.SubGrid256{``0,``1,``2},System.Boolean,System.String)| Exports a grid report to a file
Method      | Z0.BitGrid.writer``4(System.String,``0,``1,``2,``3)                   | Creates a grid writer predicated on type parameters
Method      | Z0.BitGrid.export``2(System.UInt16,System.Boolean,System.String)      | Exports grid data to a file
Method      | Z0.BitGrid.export``2(System.UInt32,System.Boolean,System.String)      | Exports grid data to a file
Method      | Z0.BitGrid.export``2(System.UInt64,System.Boolean,System.String)      | Exports grid data to a file
Method      | Z0.BitGrid.export``3(System.Runtime.Intrinsics.Vector128{``2},System.Boolean,System.String)| Exports grid data to a file
Method      | Z0.BitGrid.export``3(System.Runtime.Intrinsics.Vector256{``2},System.Boolean,System.String)| Exports grid data to a file
Method      | Z0.BitGrid.first``3(Z0.Block16{``2}@,``0,``1)                         | Loads a fixed-width natural bitgrid the first block in the source
Method      | Z0.BitGrid.first``3(Z0.Block32{``2}@,``0,``1)                         | Loads a fixed-width natural bitgrid the first block in the source
Method      | Z0.BitGrid.first``3(Z0.Block64{``2}@,``0,``1)                         | Loads a fixed-width natural bitgrid the first block in the source
Method      | Z0.BitGrid.first``3(Z0.Block128{``2}@,``0,``1)                        | Loads a fixed-width natural bitgrid the first block in the source
Method      | Z0.BitGrid.first``3(Z0.Block256{``2}@,``0,``1)                        | Loads a fixed-width natural bitgrid the first block in the source
Method      | Z0.BitGrid.gridmap(Z0.GridSpec@)                                      | Calculates a grid layout from a specification
Method      | Z0.BitGrid.gridmap(System.UInt16,System.UInt16,System.UInt16)         | Defines a grid map predicated row count, col count and storage segment bit width width
Method      | Z0.BitGrid.gridmap``1(System.UInt16,System.UInt16)                    | Defines a grid map predicated row count, col count and the bit width of parametric type
Method      | Z0.BitGrid.gridmap``3(``0,``1,``2)                                    | Defines a grid map predicated on type parameters
Method      | Z0.BitGrid.gridstats(Z0.GridMap)                                      | Calcuates grid map statistics
Method      | Z0.BitGrid.gridstats``1(System.UInt16,System.UInt16)                  | Computes grid map summary information
Method      | Z0.BitGrid.gridstats(System.UInt16,System.UInt16,System.UInt16)       | Computes grid map summary information
Method      | Z0.BitGrid.loadhi``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N1,Z0.N64)| Forms a 1x64 grid from the lower 64 bits of a vector
Method      | Z0.BitGrid.loadhi``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N64,Z0.N1)| Forms a 64x1 grid from the lower 64 bits of a vector
Method      | Z0.BitGrid.loadhi``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N2,Z0.N32)| Forms a 2x32 grid from the lower 64 bits of a vector
Method      | Z0.BitGrid.loadhi``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N32,Z0.N2)| Forms a 32x2 grid from the lower 64 bits of a vector
Method      | Z0.BitGrid.loadhi``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N4,Z0.N16)| Forms a 4x16 grid from the lower 64 bits of a vector
Method      | Z0.BitGrid.loadhi``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N16,Z0.N4)| Forms a 16x4 from the lower 64 bits of a vector
Method      | Z0.BitGrid.loadhi``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N8,Z0.N8)| Forms a 8x8 grid from the lower 64 bits of a vector
Method      | Z0.BitGrid.loadlo``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N1,Z0.N64)| Forms a 1x64 grid from the lower 64 bits of a vector
Method      | Z0.BitGrid.loadlo``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N64,Z0.N1)| Forms a 64x1 grid from the lower 64 bits of a vector
Method      | Z0.BitGrid.loadlo``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N2,Z0.N32)| Forms a 2x32 grid from the lower 64 bits of a vector
Method      | Z0.BitGrid.loadlo``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N32,Z0.N2)| Forms a 32x2 grid from the lower 64 bits of a vector
Method      | Z0.BitGrid.loadlo``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N4,Z0.N16)| Forms a 4x16 grid from the lower 64 bits of a vector
Method      | Z0.BitGrid.loadlo``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N16,Z0.N4)| Forms a 16x4 from the lower 64 bits of a vector
Method      | Z0.BitGrid.loadlo``1(System.Runtime.Intrinsics.Vector128{``0},Z0.N8,Z0.N8)| Forms a 8x8 grid from the lower 64 bits of a vector
Method      | Z0.BitGrid.ones``1(Z0.W16)                                            | Retuns a one-filled 16-bit bitgrid
Method      | Z0.BitGrid.ones``1(Z0.W32)                                            | Retuns a one-filled bitgrid
Method      | Z0.BitGrid.ones``1(Z0.N64)                                            | Retuns a one-filled bitgrid
Method      | Z0.BitGrid.ones``3(Z0.N16,``0,``1,``2)                                | Returns a 1-filled natural bitgrid
Method      | Z0.BitGrid.ones``3(Z0.N32,``0,``1,``2)                                | Returns a 1-filled natural bitgrid
Method      | Z0.BitGrid.ones``3(Z0.N64,``0,``1,``2)                                | Returns a 1-filled natural bitgrid
Method      | Z0.BitGrid.ones``3(Z0.N128,``0,``1,``2)                               | Returns a 1-filled natural bitgrid
Method      | Z0.BitGrid.ones``3(Z0.N256,``0,``1,``2)                               | Returns a 1-filled natural bitgrid
Method      | Z0.BitGrid.readcell``1(``0@,System.Int32)                             | Reads a cell determined by a linear bit position
Method      | Z0.BitGrid.readbit``2(``0,``1@,System.Int32,System.Int32)             | Reads a bit from a grid
Method      | Z0.BitGrid.readbit``1(System.Int32,``0@,System.Int32,System.Int32)    | Reads a bit from a grid
Method      | Z0.BitGrid.report``3(Z0.BitGrid16{``0,``1,``2},System.Boolean,System.String)| Formats a grid with a title and the option to display row indices
Method      | Z0.BitGrid.report``3(Z0.BitGrid32{``0,``1,``2},System.Boolean,System.String)| Formats a grid with a title and the option to display row indices
Method      | Z0.BitGrid.report``3(Z0.BitGrid64{``0,``1,``2},System.Boolean,System.String)| Formats a grid with a title and the option to display row indices
Method      | Z0.BitGrid.report``3(Z0.BitGrid128{``0,``1,``2},System.Boolean,System.String)| Formats a grid with a title and the option to display row indices
Method      | Z0.BitGrid.report``3(Z0.BitGrid256{``0,``1,``2},System.Boolean,System.String)| Formats a grid with a title and the option to display row indices
Method      | Z0.BitGrid.report``3(Z0.SubGrid16{``0,``1,``2},System.Boolean,System.String)| Formats a grid with a title and the option to display row indices
Method      | Z0.BitGrid.report``3(Z0.SubGrid32{``0,``1,``2},System.Boolean,System.String)| Formats a grid with a title and the option to display row indices
Method      | Z0.BitGrid.report``3(Z0.SubGrid64{``0,``1,``2},System.Boolean,System.String)| Formats a grid with a title and the option to display row indices
Method      | Z0.BitGrid.report``3(Z0.SubGrid128{``0,``1,``2},System.Boolean,System.String)| Formats a grid with a title and the option to display row indices
Method      | Z0.BitGrid.report``3(Z0.SubGrid256{``0,``1,``2},System.Boolean,System.String)| Formats a grid with a title and the option to display row indices
Method      | Z0.BitGrid.report``2(System.UInt16,System.Boolean,System.String)      | Renders grid data
Method      | Z0.BitGrid.report``2(System.UInt32,System.Boolean,System.String)      | Renders grid data
Method      | Z0.BitGrid.report``2(System.UInt64,System.Boolean,System.String)      | Renders grid data
Method      | Z0.BitGrid.report``3(System.Runtime.Intrinsics.Vector128{``2},System.Boolean,System.String)| Renders grid data
Method      | Z0.BitGrid.report``3(System.Runtime.Intrinsics.Vector256{``2},System.Boolean,System.String)| Renders grid data
Method      | Z0.BitGrid.row``3(Z0.BitGrid16{``0,``1,``2},System.Int32)             | Extracts an index-identified row from a 16-bit grid
Method      | Z0.BitGrid.row``3(Z0.BitGrid32{``0,``1,``2},System.Int32)             | Extracts an index-identified row from a 32-bit grid
Method      | Z0.BitGrid.row``3(Z0.BitGrid64{``0,``1,``2},System.Int32)             | Extracts an index-identified row from a 64-bit grid
Method      | Z0.BitGrid.row``3(Z0.SubGrid16{``0,``1,``2},System.Int32,``1)         | Extracts an index-identified row from a 16-bit subgrid
Method      | Z0.BitGrid.row``3(Z0.SubGrid32{``1,``0,``2},System.Int32,``0)         | Extracts an index-identified row from a 32-bit subgrid
Method      | Z0.BitGrid.row``3(Z0.SubGrid64{``0,``1,``2},System.Int32,``1)         | Extracts an index-identified row from a 64-bit subgrid
Method      | Z0.BitGrid.row``1(Z0.BitGrid128{Z0.N2,Z0.N64,``0}@,System.Int32)      | Extracts an index-identifed 64-bit grid row
Method      | Z0.BitGrid.row``1(Z0.BitGrid128{Z0.N4,Z0.N32,``0}@,System.Int32)      | Extracts an index-identifed 32-bit grid row
Method      | Z0.BitGrid.row``1(Z0.BitGrid128{Z0.N8,Z0.N16,``0}@,System.Int32)      | Extracts an index-identifed 16-bit grid row
Method      | Z0.BitGrid.row``1(Z0.BitGrid128{Z0.N16,Z0.N8,``0}@,System.Int32)      | Extracts an index-identifed 8-bit grid row
Method      | Z0.BitGrid.row``1(Z0.BitGrid128{Z0.N32,Z0.N4,``0}@,System.Int32)      | Extracts an index-identifed 4-bit grid row
Method      | Z0.BitGrid.row``1(Z0.BitGrid256{Z0.N8,Z0.N32,``0}@,System.Int32)      | Extracts an index-identifed 32-bit grid row
Method      | Z0.BitGrid.row``1(Z0.BitGrid256{Z0.N32,Z0.N8,``0}@,System.Int32)      | Extracts an index-identifed 8-bit grid row
Method      | Z0.BitGrid.row``1(Z0.BitGrid256{Z0.N16,Z0.N16,``0}@,System.Int32)     | Extracts an index-identifed 16-bit grid row
Method      | Z0.BitGrid.row``1(Z0.BitGrid256{Z0.N4,Z0.N64,``0}@,System.Int32)      | Extracts an index-identifed 64-bit grid row
Method      | Z0.BitGrid.same``1(Z0.BitGrid32{``0},Z0.BitGrid32{``0})               | Returns 1 if the source grids have identical conent and 0 otherwise
Method      | Z0.BitGrid.same``1(Z0.BitGrid64{``0},Z0.BitGrid64{``0})               | Returns 1 if the source grids have identical conent and 0 otherwise
Method      | Z0.BitGrid.same``3(Z0.BitGrid128{``0,``1,``2}@,Z0.BitGrid128{``0,``1,``2}@)| Returns 1 if the source grids have identical conent and 0 otherwise
Method      | Z0.BitGrid.same``3(Z0.BitGrid256{``0,``1,``2}@,Z0.BitGrid256{``0,``1,``2}@)| Returns 1 if the source grids have identical conent and 0 otherwise
Method      | Z0.BitGrid.same``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@) | Returns 1 if the source grids have identical conent and 0 otherwise
Method      | Z0.BitGrid.setbit``1(System.Int32,Z0.bit,``0@)                        | Sets the state of a grid bit identified by its linear position
Method      | Z0.BitGrid.setbit``1(System.Int32,System.Int32,System.Int32,Z0.bit,``0@)| Sets the state of an a coordinate-identified bit
Method      | Z0.BitGrid.setbit``2(``0,System.Int32,System.Int32,Z0.bit,``1@)       | Sets the state of an a coordinate-identified bit
Method      | Z0.BitGrid.specify(System.UInt16,System.UInt16,System.UInt16)         | Defines a grid specification predicated on specified row count, col count and bit width
Method      | Z0.BitGrid.specify``1(System.UInt16,System.UInt16)                    | Defines a grid specification predicated on specified row count, col count and bit width of a parametric type
Method      | Z0.BitGrid.subgrid``3(Z0.N16,``0,``1,``2)                             | Allocates a 0-filled 16-bit subgrid
Method      | Z0.BitGrid.subgrid``3(Z0.N16,``2,``0,``1)                             | Allocates a populated 16-bit subgrid
Method      | Z0.BitGrid.subgrid``3(Z0.N32,``0,``1,``2)                             | Allocates a 0-filled 32-bit subgrid
Method      | Z0.BitGrid.subgrid``3(Z0.N32,``2,``0,``1)                             | Allocates a populated 32-bit subgrid
Method      | Z0.BitGrid.subgrid``3(Z0.N64,``0,``1,``2)                             | Allocates a 0-filled 64-bitsubgrid
Method      | Z0.BitGrid.subgrid``3(Z0.N64,``2,``0,``1)                             | Allocates a populated 64-bit subgrid
Method      | Z0.BitGrid.subgrid``3(Z0.N128,``0,``1,``2)                            | Allocates a 0-filled 128-bit subgrid
Method      | Z0.BitGrid.subgrid``3(System.Runtime.Intrinsics.Vector128{``2},``0,``1)| Allocates a populated 128-bit subgrid
Method      | Z0.BitGrid.subgrid``3(Z0.N256,``0,``1,``2)                            | Allocates a 0-filled 256-bit subgrid
Method      | Z0.BitGrid.subgrid``3(System.Runtime.Intrinsics.Vector256{``2},``0,``1)| Allocates a populated 256-bit subgrid
Method      | Z0.BitGrid.title``4(System.String,``0,``1,``2,``3)                    | Defines a grid title suffixed with its signature
Method      | Z0.BitGrid.sigtext``4(``0,``1,``2,``3)                                | Renders the grid signature as text
Method      | Z0.BitGrid.vector``1(Z0.BitGrid{``0}@,System.Int32,Z0.N256)           | Loads a 256-bit cpu vector from an index-identified block
Method      | Z0.BitGrid.vector``3(Z0.BitGrid{``0,``1,``2}@,System.Int32,Z0.N256)   | Loads a 256-bit cpu vector from an index-identified block
Method      | Z0.BitGridA.negate``1(Z0.BitGrid{``0}@)                               | Computes the two's complement negation of source grid and returns the allocated result
Method      | Z0.BitGridA.xor``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@)                 | Computes the bitwise xor between unfixed generic bitgrids and returns the allocated result
Method      | Z0.BitGridA.xnor``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@)                | Computes the bitwise XNOR between generic bitgrids and returns the allocated result
Method      | Z0.BitGridA.or``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@)                  | Computes the bitwise OR between generic bitgrids and returns the allocated result
Method      | Z0.BitGridA.nor``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@)                 | Computes the bitwise NOR between generic bitgrids and returns the allocated result
Method      | Z0.BitGridA.and``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@)                 | Computes the bitwise AND between generic bitgrids and returns the allocated result
Method      | Z0.BitGridA.and``3(Z0.BitGrid{``0,``1,``2}@,Z0.BitGrid{``0,``1,``2}@) | Computes the bitwise AND between generic bitgrids and returns the allocated result
Method      | Z0.BitGridA.nand``1(Z0.BitGrid{``0}@,Z0.BitGrid{``0}@)                | Computes the bitwise NAND between generic bitgrids and returns the allocated result
Method      | Z0.GridPatterns.exchange``1(Z0.N256,Z0.N16,Z0.N16,``0)                | Defines an anti-identity matrix pattern with ones on the anti-diagonal and zeroes elsewhere
Method      | Z0.GridLoad.ToBitGrid(Z0.BitMatrix32)                                 | Represents the source matrix as a generic bitgrid of dimension 32x32 over cells of width 32
Method      | Z0.GridLoad.ToBitGrid(Z0.BitMatrix64)                                 | Represents the source matrix as a generic bitgrid of dimension 64x64 over cells of width 64
Method      | Z0.GridLoad.ToBitGrid(System.UInt32,Z0.N1,Z0.N32)                     | Represents the source value as a 32-bit natural bitgrid of dimension 1x32
