Type        | Z0.dinxfp                                                             | Direct vectorized intrinsics over floating-point domains
Method      | Z0.dinxfp.vunpackhi(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_unpackhi_ps (__m128 a, __m128 b) UNPCKHPS xmm, xmm/m128            Creates a 128-bit vector where the lower 64 bits are taken from the            higher 64 bits of the first source vector and the higher 64 bits are taken             from the higher 64 bits of the second source vector
Method      | Z0.dinxfp.vunpackhi(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_unpackhi_pd (__m128d a, __m128d b) UNPCKHPD xmm, xmm/m128            Creates a 128-bit vector where the lower 64 bits are taken from the            higher 64 bits of the first source vector and the higher 64 bits are taken             from the higher 64 bits of the second source vector
Method      | Z0.dinxfp.vunpackhi(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_unpackhi_ps (__m256 a, __m256 b) VUNPCKHPS ymm, ymm, ymm/m256            Creates a 256-bit vector where the lower 128 bits are taken from the            higher 128 bits of the first source vector and the higher 128 bits are taken             from the higher 128 bits of the second source vector
Method      | Z0.dinxfp.vunpackhi(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_unpackhi_pd (__m256d a, __m256d b) VUNPCKHPD ymm, ymm, ymm/m256            Creates a 256-bit vector where the lower 128 bits are taken from the            higher 128 bits of the first source vector and the higher 128 bits are taken             from the higher 128 bits of the second source vector
Method      | Z0.dinxfp.vunpacklo(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_unpacklo_ps (__m128 a, __m128 b) UNPCKLPS xmm, xmm/m128            Creates a 128-bit vector where the lower 64 bits are taken from the            lower 64 bits of the first source vector and the higher 64 bits are taken             from the lower 64 bits of the second source vector
Method      | Z0.dinxfp.vunpacklo(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_unpacklo_pd (__m128d a, __m128d b) UNPCKLPD xmm, xmm/m128            Creates a 128-bit vector where the lower 64 bits are taken from the            lower 64 bits of the first source vector and the higher 64 bits are taken             from the lower 64 bits of the second source vector
Method      | Z0.dinxfp.vunpacklo(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_unpacklo_ps (__m256 a, __m256 b) VUNPCKLPS ymm, ymm, ymm/m256            Creates a 256-bit vector where the lower 128 bits are taken from the            lower 128 bits of the first source vector and the higher 128 bits are taken             from the lower 128 bits of the second source vector
Method      | Z0.dinxfp.vunpacklo(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_unpacklo_pd (__m256d a, __m256d b) VUNPCKLPD ymm, ymm, ymm/m256            Creates a 256-bit vector where the lower 128 bits are taken from the            lower 128 bits of the first source vector and the higher 128 bits are taken             from the lower 128 bits of the second source vector
Method      | Z0.dinxfp.vand(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_and_ps (__m128 a, __m128 b)ANDPS xmm, xmm/m128            Computes the logical and of the operands
Method      | Z0.dinxfp.vand(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_and_pd (__m128d a, __m128d b)ANDPD xmm, xmm/m128            Computes the logical and of the operands
Method      | Z0.dinxfp.vand(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m128 _mm_and_ps (__m128 a, __m128 b)ANDPS xmm, xmm/m128            Computes the logical and of the operands
Method      | Z0.dinxfp.vand(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m128d _mm_and_pd (__m128d a, __m128d b) ANDPD xmm, xmm/m128            Computes the logical and of the operands
Method      | Z0.dinxfp.vxor1(System.Runtime.Intrinsics.Vector128{System.Single})   | Computes the bitwise XOR between operands
Method      | Z0.dinxfp.vxor1(System.Runtime.Intrinsics.Vector128{System.Double})   | Computes the bitwise XOR between operands
Method      | Z0.dinxfp.vxor1(System.Runtime.Intrinsics.Vector256{System.Single})   | Computes the bitwise XOR between operands
Method      | Z0.dinxfp.vxor1(System.Runtime.Intrinsics.Vector256{System.Double})   | Computes the bitwise XOR between operands
Method      | Z0.dinxfp.vxnor(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| Computes the bitwise XOR between operands
Method      | Z0.dinxfp.vxnor(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| Computes the bitwise XOR between operands
Method      | Z0.dinxfp.vxnor(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| Computes the bitwise XOR between operands
Method      | Z0.dinxfp.vxnor(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| Computes the bitwise XOR between operands
Method      | Z0.dinxfp.vxor(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_xor_ps (__m128 a, __m128 b) XORPS xmm, xmm/m128
Method      | Z0.dinxfp.vxor(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_xor_pd (__m128d a, __m128d b) XORPD xmm, xmm/m128
Method      | Z0.dinxfp.vxor(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_xor_ps (__m256 a, __m256 b) VXORPS ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vxor(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256 _mm256_xor_ps (__m256 a, __m256 b) VXORPS ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vxor(System.Runtime.Intrinsics.Vector128{System.Single}@,System.Runtime.Intrinsics.Vector128{System.Single}@)| Computes the bitwise XOR between operands
Method      | Z0.dinxfp.vxor(System.Runtime.Intrinsics.Vector128{System.Double}@,System.Runtime.Intrinsics.Vector128{System.Double}@)| Computes the bitwise XOR between operands
Method      | Z0.dinxfp.vxor(System.Runtime.Intrinsics.Vector256{System.Single}@,System.Runtime.Intrinsics.Vector256{System.Single}@)| Computes the bitwise XOR between operands
Method      | Z0.dinxfp.vxor(System.Runtime.Intrinsics.Vector256{System.Double}@,System.Runtime.Intrinsics.Vector256{System.Double}@)| Computes the bitwise XOR between operands
Method      | Z0.dinxfp.vxornot(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| Computes XOR(x,NOT(y)) for vectors x and y
Method      | Z0.dinxfp.vxornot(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| Computes XOR(x,NOT(y)) for vectors x and y
Method      | Z0.dinxfp.vxornot(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| Computes XOR(x,NOT(y)) for vectors x and y
Method      | Z0.dinxfp.vxornot(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| Computes XOR(x,NOT(y)) for vectors x and y
Method      | Z0.dinxfp.veq(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_cmpeq_ps (__m128 a, __m128 b) CMPPS xmm, xmm/m128, imm8(0)
Method      | Z0.dinxfp.veq(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_cmpeq_pd (__m128d a, __m128d b) CMPPD xmm, xmm/m128, imm8(0)
Method      | Z0.dinxfp.veq(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_cmp_ps (__m256 a, __m256 b, const int imm8) VCMPPS ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.veq(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_cmp_pd (__m256d a, __m256d b, const int imm8) VCMPPD ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vgt(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_cmpgt_ps (__m128 a, __m128 b) CMPPS xmm, xmm/m128, imm8(6)
Method      | Z0.dinxfp.vgt(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_cmpgt_pd (__m128d a, __m128d b) CMPPD xmm, xmm/m128, imm8(6)
Method      | Z0.dinxfp.vgt(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_cmp_ps (__m256 a, __m256 b, const int imm8) VCMPPS ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vgt(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_cmp_pd (__m256d a, __m256d b, const int imm8) VCMPPD ymm, ymm,ymm/m256, imm8
Method      | Z0.dinxfp.vgteq(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_cmpge_ps (__m128 a, __m128 b) CMPPS xmm, xmm/m128, imm8(5)
Method      | Z0.dinxfp.vgteq(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_cmpge_pd (__m128d a, __m128d b) CMPPD xmm, xmm/m128, imm8(5)
Method      | Z0.dinxfp.vgteq(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_cmp_ps (__m256 a, __m256 b, const int imm8) VCMPPS ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vgteq(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_cmp_pd (__m256d a, __m256d b, const int imm8) VCMPPD ymm, ymm,ymm/m256, imm8
Method      | Z0.dinxfp.vlt(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_cmplt_ps (__m128 a, __m128 b) CMPPS xmm, xmm/m128, imm8(1)
Method      | Z0.dinxfp.vlt(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_cmplt_pd (__m128d a, __m128d b) CMPPD xmm, xmm/m128, imm8(1)
Method      | Z0.dinxfp.vlt(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_cmp_ps (__m256 a, __m256 b, const int imm8) VCMPPS ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vlt(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_cmp_pd (__m256d a, __m256d b, const int imm8) VCMPPD ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vlteq(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_cmple_ps (__m128 a, __m128 b) CMPPS xmm, xmm/m128, imm8(2)
Method      | Z0.dinxfp.vlteq(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_cmple_pd (__m128d a, __m128d b) CMPPD xmm, xmm/m128, imm8(2)
Method      | Z0.dinxfp.vlteq(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_cmp_ps (__m256 a, __m256 b, const int imm8) VCMPPS ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vlteq(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_cmp_pd (__m256d a, __m256d b, const int imm8) VCMPPD ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vmax(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_max_pd (__m128d a, __m128d b)MAXPD xmm, xmm/m128
Method      | Z0.dinxfp.vmax(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_max_ps (__m256 a, __m256 b) VMAXPS ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vmax(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_max_pd (__m256d a, __m256d b)VMAXPD ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vmin(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_min_ps (__m128 a, __m128 b) MINPS xmm, xmm/m128
Method      | Z0.dinxfp.vmin(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_min_pd (__m128d a, __m128d b) MINPD xmm, xmm/m128
Method      | Z0.dinxfp.vmin(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_min_ps (__m256 a, __m256 b) VMINPS ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vmin(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_min_pd (__m256d a, __m256d b) VMINPD ymm, ymm, ymm/m256
Method      | Z0.dinxfp.vneq(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_cmpneq_ps (__m128 a, __m128 b) CMPPS xmm, xmm/m128, imm8(4)
Method      | Z0.dinxfp.vneq(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_cmpneq_pd (__m128d a, __m128d b) CMPPD xmm, xmm/m128, imm8(4)
Method      | Z0.dinxfp.vneq(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| __m256 _mm256_cmp_ps (__m256 a, __m256 b, const int imm8) VCMPPS ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vneq(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| __m256d _mm256_cmp_pd (__m256d a, __m256d b, const int imm8) VCMPPD ymm, ymm, ymm/m256, imm8
Method      | Z0.dinxfp.vnlt(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_cmpnlt_pd (__m128d a, __m128d b) CMPPD xmm, xmm/m128, imm8(5)
Method      | Z0.dinxfp.vnlt(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_cmpnlt_ps (__m128 a, __m128 b) CMPPS xmm, xmm/m128, imm8(5)
Method      | Z0.dinxfp.vnonz(System.Runtime.Intrinsics.Vector128{System.Single})   | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.dinxfp.vnonz(System.Runtime.Intrinsics.Vector128{System.Double})   | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.dinxfp.vnonz(System.Runtime.Intrinsics.Vector256{System.Single})   | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.dinxfp.vnonz(System.Runtime.Intrinsics.Vector256{System.Double})   | Returns true if the source vector is nonzero, false otherwise
Method      | Z0.dinxfp.vtestc(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| int _mm_testc_ps (__m128 a, __m128 b) VTESTPS xmm, xmm/m128            Determines whether mask-specified source bits are all on
Method      | Z0.dinxfp.vtestc(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| int _mm_testc_pd (__m128d a, __m128d b) VTESTPD xmm, xmm/m128            Determines whether mask-specified source bits are all on
Method      | Z0.dinxfp.vtestc(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| int _mm256_testc_ps (__m256 a, __m256 b) VTESTPS ymm, ymm/m256            Determines whether mask-specified source bits are all on
Method      | Z0.dinxfp.vtestc(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| int _mm256_testc_pd (__m256d a, __m256d b) VTESTPS ymm, ymm/m256            Determines whether mask-specified source bits are all on
Method      | Z0.dinxfp.vtestz(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| int _mm_testz_ps (__m128 a, __m128 b) VTESTPS xmm, xmm/m128            Determines whether all mask-specified source bits are off
Method      | Z0.dinxfp.vtestz(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| int _mm_testz_pd (__m128d a, __m128d b) VTESTPD xmm, xmm/m128            Determines whether all mask-specified source bits are off
Method      | Z0.dinxfp.vtestz(System.Runtime.Intrinsics.Vector256{System.Single},System.Runtime.Intrinsics.Vector256{System.Single})| int _mm256_testz_ps (__m256 a, __m256 b) VTESTPS ymm, ymm/m256            Determines whether all mask-specified source bits are off
Method      | Z0.dinxfp.vtestz(System.Runtime.Intrinsics.Vector256{System.Double},System.Runtime.Intrinsics.Vector256{System.Double})| int _mm256_testz_pd (__m256d a, __m256d b) VTESTPD ymm, ymm/m256            Determines whether all mask-specified source bits are off
Method      | Z0.dinxfp.vngt(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_cmpngt_ps (__m128 a, __m128 b) CMPPS xmm, xmm/m128, imm8(2)
Method      | Z0.dinxfp.vngt(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_cmpngt_pd (__m128d a, __m128d b) CMPPD xmm, xmm/m128, imm8(2)
Method      | Z0.dinxfp.vngteq(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_cmpnge_ps (__m128 a, __m128 b) CMPPS xmm, xmm/m128, imm8(1)
Method      | Z0.dinxfp.vngteq(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_cmpnge_pd (__m128d a, __m128d b) CMPPD xmm, xmm/m128, imm8(1)
Method      | Z0.dinxfp.convert(System.Runtime.Intrinsics.Vector128{System.Single},Z0.N64,System.Int64)| __int64 _mm_cvtss_si64 (__m128 a) CVTSS2SI r64, xmm/m32            src[0..31] -&gt; r64
Method      | Z0.dinxfp.convert(System.Runtime.Intrinsics.Vector128{System.Single},Z0.N32,System.Int32)| int _mm_cvtss_si32 (__m128 a) CVTSS2SI r32, xmm/m32            src[0..31] -&gt; r32
Method      | Z0.dinxfp.convert(System.Runtime.Intrinsics.Vector128{System.Double},Z0.N64,System.Int64)| __int64 _mm_cvtsd_si64 (__m128d a) CVTSD2SI r64, xmm/m64            src[0..63] -&gt; r64
Method      | Z0.dinxfp.convert(System.Runtime.Intrinsics.Vector128{System.Single},Z0.N128,System.Int32)| __m128i _mm_cvttps_epi32 (__m128 a) CVTTPS2DQ xmm, xmm/m128            Converts a floating-point source vector to an 32-bit integer target vector with a loss of precision
Method      | Z0.dinxfp.convert(System.Runtime.Intrinsics.Vector128{System.Int32},Z0.N128,System.Single)| __m128 _mm_cvtepi32_ps (__m128i a) CVTDQ2PS xmm, xmm/m128            Converts an integer source vector to a floating-point target vector
Method      | Z0.dinxfp.convert(System.Runtime.Intrinsics.Vector128{System.Int32},Z0.N256,System.Double)| __m256d _mm256_cvtepi32_pd (__m128i a)VCVTDQ2PD ymm, xmm/m128            4x32i -&gt;4x64f
Method      | Z0.dinxfp.convert(System.Runtime.Intrinsics.Vector128{System.Double},Z0.N128,System.Single)| __m128 _mm_cvtpd_ps (__m128d a) CVTPD2PS xmm, xmm/m128
Method      | Z0.dinxfp.convert(System.Runtime.Intrinsics.Vector256{System.Int32},Z0.N256,System.Single)| __m256 _mm256_cvtepi32_ps (__m256i a) VCVTDQ2PS ymm, ymm/m256
Method      | Z0.dinxfp.convert(System.Runtime.Intrinsics.Vector128{System.Double},Z0.N128,System.Int32)| __m128i _mm_cvttpd_epi32 (__m128d a) CVTTPD2DQ xmm, xmm/m128
Method      | Z0.dinxfp.convert(System.Runtime.Intrinsics.Vector256{System.Single},Z0.N256,System.Int32)| __m256i _mm256_cvttps_epi32 (__m256 a) VCVTTPS2DQ ymm, ymm/m256
Method      | Z0.dinxfp.convert(System.Runtime.Intrinsics.Vector256{System.Double},Z0.N128,System.Int32)| __m128i _mm256_cvtpd_epi32 (__m256d a) VCVTPD2DQ xmm, ymm/m256
Method      | Z0.dinxfp.convert(System.Runtime.Intrinsics.Vector256{System.Double},Z0.N128,System.Single)| __m128 _mm256_cvtpd_ps (__m256d a)VCVTPD2PS xmm, ymm/m256
Type        | Z0.dinxsfp                                                            | Direct floating-point scalar intrinsics
Method      | Z0.dinxsfp.load(System.Single)                                        | __m128 _mm_load_ss (float const* mem_address) MOVSS xmm, m32
Method      | Z0.dinxsfp.load(System.Double)                                        | __m128d _mm_load_sd (double const* mem_address) MOVSD xmm, m64
Method      | Z0.dinxsfp.store(System.Runtime.Intrinsics.Vector128{System.Single})  | void _mm_store_ss (float* mem_addr, __m128 a) MOVSS m32, xmm
Method      | Z0.dinxsfp.store(System.Runtime.Intrinsics.Vector128{System.Double})  | void _mm_store_sd (double* mem_addr, __m128d a)MOVSD m64, xmm
Method      | Z0.dinxsfp.convert(System.Int32,System.Runtime.Intrinsics.Vector128{System.Double}@)| __m128d _mm_cvtsi32_sd (__m128d a, int b)CVTSI2SD xmm, reg/m32
Method      | Z0.dinxsfp.convert(System.Int32,System.Runtime.Intrinsics.Vector128{System.Single}@)| __m128 _mm_cvtsi32_ss (__m128 a, int b)CVTSI2SS xmm, reg/m32
Method      | Z0.dinxsfp.convert(System.Int64,System.Runtime.Intrinsics.Vector128{System.Single}@)| __m128 _mm_cvtsi64_ss (__m128 a, __int64 b)CVTSI2SS xmm, reg/m64
Method      | Z0.dinxsfp.to32i(System.Single)                                       | int _mm_cvtss_si32 (__m128 a) CVTSS2SI r32, xmm/m32
Method      | Z0.dinxsfp.to32i(System.Double)                                       | int _mm_cvtsd_si32 (__m128d a) CVTSD2SI r32, xmm/m64
Method      | Z0.dinxsfp.to64i(System.Single)                                       | __int64 _mm_cvtss_si64 (__m128 a) CVTSS2SI r64, xmm/m32
Method      | Z0.dinxsfp.to64i(System.Double)                                       | __int64 _mm_cvtsd_si64 (__m128d a) CVTSD2SI r64, xmm/m64
Method      | Z0.dinxsfp.add(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_add_ss (__m128 a, __m128 b)ADDSS xmm, xmm/m32
Method      | Z0.dinxsfp.add(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_add_sd (__m128d a, __m128d b)ADDSD xmm, xmm/m64
Method      | Z0.dinxsfp.mul(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_mul_ss (__m128 a, __m128 b) MULPS xmm, xmm/m32
Method      | Z0.dinxsfp.mul(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_mul_sd (__m128d a, __m128d b) MULSD xmm, xmm/m64
Method      | Z0.dinxsfp.fmadd(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_fmadd_ss (__m128 a, __m128 b, __m128 c) VFMADDSS xmm, xmm, xmm/m32
Method      | Z0.dinxsfp.fmadd(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_fmadd_sd (__m128d a, __m128d b, __m128d c) VFMADDSS xmm, xmm, xmm/m64
Method      | Z0.dinxsfp.fmsub(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_fmsub_ss (__m128 a, __m128 b, __m128 c)VFMSUBSS xmm, xmm, xmm/m32
Method      | Z0.dinxsfp.fmsub(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_fmsub_sd (__m128d a, __m128d b, __m128d c)VFMSUBSD xmm, xmm, xmm/m64
Method      | Z0.dinxsfp.fnmadd(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_fnmadd_ss (__m128 a, __m128 b, __m128 c) VFNMADDSS xmm, xmm, xmm/m32            dst = -(x*y + z)
Method      | Z0.dinxsfp.fnmadd(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_fnmadd_sd (__m128d a, __m128d b, __m128d c) VFNMADDSD xmm, xmm, xmm/m64            dst = -(x*y + z)
Method      | Z0.dinxsfp.div(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_div_ss (__m128 a, __m128 b)DIVSS xmm, xmm/m32
Method      | Z0.dinxsfp.div(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_div_sd (__m128d a, __m128d b)DIVSD xmm, xmm/m64
Method      | Z0.dinxsfp.sub(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_sub_ss (__m128 a, __m128 b) SUBSS xmm, xmm/m32
Method      | Z0.dinxsfp.sub(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_sub_sd (__m128d a, __m128d b) SUBSD xmm, xmm/m64
Method      | Z0.dinxsfp.max(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_max_ss (__m128 a, __m128 b) MAXSS xmm, xmm/m32
Method      | Z0.dinxsfp.max(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_max_sd (__m128d a, __m128d b) MAXSD xmm, xmm/m64
Method      | Z0.dinxsfp.min(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| __m128 _mm_min_ss (__m128 a, __m128 b) MINSS xmm, xmm/m32
Method      | Z0.dinxsfp.min(System.Runtime.Intrinsics.Vector128{System.Double},System.Runtime.Intrinsics.Vector128{System.Double})| __m128d _mm_min_sd (__m128d a, __m128d b) MINSD xmm, xmm/m64
Method      | Z0.dinxsfp.eq(System.Runtime.Intrinsics.Vector128{System.Single},System.Runtime.Intrinsics.Vector128{System.Single})| int _mm_ucomieq_ss (__m128 a, __m128 b)UCOMISS xmm, xmm/m32
