Method      | Z0.Logix.LogicEngine.eval(Z0.Logix.ILogicExpr)                        | Evalutates an untyped expression
Method      | Z0.Logix.ExprX.Var0``1(Z0.Logix.VariedExpr{Z0.N3,``0},Z0.Logix.IExpr{``0})| Returns the source expression variable at index 0, optionally assigned to supplied value
Method      | Z0.Logix.ExprX.Var0``1(Z0.Logix.VariedExpr{Z0.N3,``0},``0)            | Returns the source expression variable at index 0, optionally assigned to supplied value
Method      | Z0.Logix.ExprX.Var1``1(Z0.Logix.VariedExpr{Z0.N3,``0})                | Returns the source expression variable at index 1
Method      | Z0.Logix.ExprX.Var1``1(Z0.Logix.VariedExpr{Z0.N3,``0},Z0.Logix.IExpr{``0})| Returns the source expression variable at index 1, optionally assigned to supplied value
Method      | Z0.Logix.ExprX.Var1``1(Z0.Logix.VariedExpr{Z0.N3,``0},``0)            | Returns the source expression variable at index 1, optionally assigned to supplied value
Method      | Z0.Logix.ExprX.Var2``1(Z0.Logix.VariedExpr{Z0.N3,``0})                | Returns the source expression variable at index 2
Method      | Z0.Logix.ExprX.Var2``1(Z0.Logix.VariedExpr{Z0.N3,``0},Z0.Logix.IExpr{``0})| Returns the source expression variable at index 2, optionally assigned to supplied value
Method      | Z0.Logix.ExprX.Var2``1(Z0.Logix.VariedExpr{Z0.N3,``0},``0)            | Returns the source expression variable at index 2, optionally assigned to supplied value
Method      | Z0.Logix.ExprX.ToLogicSeq(Z0.BitString)                               | Transforms a bitstring into a literal logic sequence
Method      | Z0.Logix.ExprX.ToLogicSeq``1(Z0.BitString,``0)                        | Transforms a bitstring into a literal logic sequence of natural length
Property    | Z0.Logix.LogicIdentities.AndOverOr                                    | Specifies the identity and(a,or(b,c)) == or(and(a,b), and(a,c))
Property    | Z0.Logix.LogicIdentities.AndOverXOr                                   | Specifies the identity and(a,xor(b,c)) == xor(and(a,b), and(a,c))
Property    | Z0.Logix.LogicIdentities.OrOverAnd                                    | Specifies the identity or(a,and(b,c)) == and(or(a,b), or(a,c))
Property    | Z0.Logix.LogicIdentities.NotOverAnd                                   | Specifies the identity not(and(a,b)) == or(not(x),not(y))
Property    | Z0.Logix.LogicIdentities.NotOverXOr                                   | Specifies the identity not(xor(a,b)) == xor(not(x),y)
Method      | Z0.Logix.TypedIdentities.AndOverOr``1                                 | Specifies the identity and(a,or(b,c)) == or(and(a,b), and(a,c))
Method      | Z0.Logix.TypedIdentities.AndOverXOr``1                                | Specifies the identity and(a,xor(b,c)) == xor(and(a,b), and(a,c))
Method      | Z0.Logix.TypedIdentities.OrOverAnd``1                                 | Specifies the identity or(a,and(b,c)) == and(or(a,b), or(a,c))
Method      | Z0.Logix.TypedIdentities.NotOverAnd``1                                | Specifies the identity not(and(a,b)) == or(not(x),not(y))
Method      | Z0.Logix.TypedIdentities.NotOverXOr``1                                | Specifies the identity not(xor(a,b)) == xor(not(x),y)
Method      | Z0.Logix.TypedLogicSpec.true``1                                       | Defines a typed literal where all bits are on
Method      | Z0.Logix.TypedLogicSpec.true``1(Z0.N128)                              | Defines a 128-bit cpu vector where all bits are on
Method      | Z0.Logix.TypedLogicSpec.true``1(Z0.N256)                              | Defines a 128-bit cpu vector where all bits are on
Method      | Z0.Logix.TypedLogicSpec.false``1                                      | Defines a typed literal where all bits are off
Method      | Z0.Logix.TypedLogicSpec.and``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a bitwise and expression
Method      | Z0.Logix.TypedLogicSpec.and``1(``0,``0)                               | Defines a bitwise and expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.or``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a bitwise or expression
Method      | Z0.Logix.TypedLogicSpec.or``1(``0,``0)                                | Defines a bitwise or expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.xor``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a bitwise xor expression
Method      | Z0.Logix.TypedLogicSpec.xor``1(``0,``0)                               | Defines a bitwise xor expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.not``1(Z0.Logix.IExpr{``0})                   | Defines a a bitwise complement expression
Method      | Z0.Logix.TypedLogicSpec.not``1(``0)                                   | Defines a a bitwise complement expression with a literal operand
Method      | Z0.Logix.TypedLogicSpec.nand``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a bitwise NAND expression
Method      | Z0.Logix.TypedLogicSpec.nand``1(``0,``0)                              | Defines a bitwise NAND expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.nor``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a bitwise NOR expression
Method      | Z0.Logix.TypedLogicSpec.nor``1(``0,``0)                               | Defines a bitwise NOR expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.xnor``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a bitwise XNOR expression
Method      | Z0.Logix.TypedLogicSpec.xnor``1(``0,``0)                              | Defines a bitwise XNOR expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.literal``1(``0)                               | Creates a literal expression
Method      | Z0.Logix.TypedLogicSpec.unary``1(Z0.UnaryBitLogic,Z0.Logix.IExpr{``0})| Creates a bitwise unary expression
Method      | Z0.Logix.TypedLogicSpec.binary``1(Z0.BinaryLogicKind,Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Creates a bitwise binary expression
Method      | Z0.Logix.TypedLogicSpec.binary``1(Z0.BinaryComparisonKind,Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Creates a binary comparison expression
Method      | Z0.Logix.TypedLogicSpec.ternary``1(Z0.TernaryBitLogic,Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Creates a bitwise ternary expression
Method      | Z0.Logix.TypedLogicSpec.rangexpr``1(``0,``0,System.Nullable{``0})     | Defines a scalar range expression
Method      | Z0.Logix.TypedLogicSpec.shift``1(Z0.BitShiftKind,Z0.Logix.IExpr{``0},System.Byte)| Creates a shift expression
Method      | Z0.Logix.TypedLogicSpec.shiftx``1(Z0.BitShiftKind,Z0.Logix.IExpr{``0},Z0.Logix.IExpr{System.Byte})| Creates a shift expression
Method      | Z0.Logix.TypedLogicSpec.sll``1(Z0.Logix.IExpr{``0},System.Byte)       | Defines a bitwise sll expression
Method      | Z0.Logix.TypedLogicSpec.sll``1(``0,System.Byte)                       | Defines a bitwise sll expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.srl``1(Z0.Logix.IExpr{``0},System.Byte)       | Defines a bitwise srl expression
Method      | Z0.Logix.TypedLogicSpec.srl``1(``0,System.Byte)                       | Defines a bitwise srl expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.rotr``1(Z0.Logix.IExpr{``0},System.Byte)      | Defines a bitwise rotr expression
Method      | Z0.Logix.TypedLogicSpec.rotr``1(``0,System.Byte)                      | Defines a bitwise rotr expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.rotl``1(Z0.Logix.IExpr{``0},System.Byte)      | Defines a bitwise rotl expression
Method      | Z0.Logix.TypedLogicSpec.rotl``1(``0,System.Byte)                      | Defines a bitwise rotl expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.sll``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{System.Byte})| Defines a bitwise sll expression
Method      | Z0.Logix.TypedLogicSpec.sllx``1(``0,Z0.Logix.IExpr{System.Byte})      | Defines a bitwise sll expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.srl``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{System.Byte})| Defines a bitwise srl expression
Method      | Z0.Logix.TypedLogicSpec.srl``1(``0,Z0.Logix.IExpr{System.Byte})       | Defines a bitwise srl expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.rotr``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{System.Byte})| Defines a bitwise rotr expression
Method      | Z0.Logix.TypedLogicSpec.rotr``1(``0,Z0.Logix.IExpr{System.Byte})      | Defines a bitwise rotr expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.rotl``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{System.Byte})| Defines a bitwise rotl expression
Method      | Z0.Logix.TypedLogicSpec.rotl``1(``0,Z0.Logix.IExpr{System.Byte})      | Defines a bitwise rotl expression with literal operands
Method      | Z0.Logix.TypedLogicSpec.variable``1(System.String,Z0.Logix.IExpr{``0})| Defines a variable expression
Method      | Z0.Logix.TypedLogicSpec.variable``1(System.Char,Z0.Logix.IExpr{``0})  | Defines a variable expression
Method      | Z0.Logix.TypedLogicSpec.variable``1(Z0.AsciLetterLo,Z0.Logix.IExpr{``0})| Defines a variable expression
Method      | Z0.Logix.TypedLogicSpec.variable``1(System.UInt32,Z0.Logix.IExpr{``0})| Defines a bit variable expression where the variable name is defined by an integer
Method      | Z0.Logix.TypedLogicSpec.variable``1(System.String,``0)                | Defines a variable expression with an initial value specified by a literal
Method      | Z0.Logix.TypedLogicSpec.variable``1(System.Char,``0)                  | Defines a variable expression with an initial value specified by a literal
Method      | Z0.Logix.TypedLogicSpec.variable``1(Z0.AsciLetterLo,``0)              | Defines a variable expression with an initial value specified by a literal
Method      | Z0.Logix.TypedLogicSpec.variable``1(System.UInt32,``0)                | Defines a variable expression where the variable name is defined by an integer and             an initial value is specified by a literal
Method      | Z0.Logix.TypedLogicSpec.varied``1(Z0.Logix.IExpr{``0},Z0.Logix.VariableExpr{``0}[])| Creates a varied expression predicated on a typed variable sequence
Method      | Z0.Logix.TypedLogicSpec.varied``2(``0,Z0.Logix.IExpr{``1},Z0.Logix.IVarExpr{``1}[])| Creates a varied expression predicated on a typed variable sequence of natural length
Method      | Z0.Logix.TypedLogicSpec.varied``1(Z0.N1,Z0.Logix.IExpr{``0},Z0.Logix.IVarExpr{``0})| Defines a varied expression of 1 variable
Method      | Z0.Logix.TypedLogicSpec.varied``1(Z0.N2,Z0.Logix.IExpr{``0},Z0.Logix.IVarExpr{``0},Z0.Logix.IVarExpr{``0})| Defines a varied expression of 2 variables
Method      | Z0.Logix.TypedLogicSpec.varied``1(Z0.N3,Z0.Logix.IExpr{``0},Z0.Logix.IVarExpr{``0},Z0.Logix.IVarExpr{``0},Z0.Logix.IVarExpr{``0})| Defines a varied expression of 3 variables
Method      | Z0.Logix.TypedLogicSpec.equals``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0},Z0.Logix.IVarExpr{``0}[])| Defines a typed test expression
Type        | Z0.Logix.TypedComparisonSpec                                          | Constructs type operator comparison expressions
Method      | Z0.Logix.TypedComparisonSpec.compare``1(Z0.BinaryComparisonKind,Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a comparison expression of specified kind over typed expressions
Method      | Z0.Logix.TypedComparisonSpec.compare``1(Z0.BinaryComparisonKind,``0,``0)| Defines a comparison expression of specified kind over literals
Method      | Z0.Logix.TypedComparisonSpec.equals``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines an equals operator expression
Method      | Z0.Logix.TypedComparisonSpec.equals``1(``0,``0)                       | Defines an equals operator expression over literal values
Method      | Z0.Logix.TypedComparisonSpec.neq``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a not equal operator expression
Method      | Z0.Logix.TypedComparisonSpec.neq``1(``0,``0)                          | Defines a not equal operator expression over literal values
Method      | Z0.Logix.TypedComparisonSpec.lt``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a less than operator expression
Method      | Z0.Logix.TypedComparisonSpec.lt``1(``0,``0)                           | Defines an less than operator expression over literal values
Method      | Z0.Logix.TypedComparisonSpec.lteq``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a less than or equal operator expression
Method      | Z0.Logix.TypedComparisonSpec.lteq``1(``0,``0)                         | Defines an less than or equal operator expression over literal values
Method      | Z0.Logix.TypedComparisonSpec.gt``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a greater than operator expression
Method      | Z0.Logix.TypedComparisonSpec.gt``1(``0,``0)                           | Defines greater than operator expression over literal values
Method      | Z0.Logix.TypedComparisonSpec.gteq``1(Z0.Logix.IExpr{``0},Z0.Logix.IExpr{``0})| Defines a greater than or equal operator expression
Method      | Z0.Logix.TypedComparisonSpec.gteq``1(``0,``0)                         | Defines a greater than or equal operator expression over literal values
Type        | Z0.Logix.BinaryArithmeticOpExpr`1                                     | Defines a typed binary arithmetic operator expression
Property    | Z0.Logix.BinaryArithmeticOpExpr`1.OpKind                              | The operator kind
Property    | Z0.Logix.BinaryArithmeticOpExpr`1.LeftArg                             | The left operand
Property    | Z0.Logix.BinaryArithmeticOpExpr`1.RightArg                            | The right operand
Method      | Z0.Logix.BinaryArithmeticOpExpr`1.Format                              | Renders the expression in canonical form
Type        | Z0.Logix.UnaryAritheticOpExpr`1                                       | Defines a typed unary arithmetic operator expression
Property    | Z0.Logix.UnaryAritheticOpExpr`1.OpKind                                | The operator kind
Property    | Z0.Logix.UnaryAritheticOpExpr`1.Arg                                   | The operand
Type        | Z0.Logix.BinaryBitwiseOpExpr`1                                        | Captures a binary bitwise operator along with with its operands
Property    | Z0.Logix.BinaryBitwiseOpExpr`1.OpKind                                 | The operator kind
Property    | Z0.Logix.BinaryBitwiseOpExpr`1.LeftArg                                | The left operand
Property    | Z0.Logix.BinaryBitwiseOpExpr`1.RightArg                               | The right operand
Method      | Z0.Logix.BinaryBitwiseOpExpr`1.Format                                 | Renders the expression in canonical form
Type        | Z0.Logix.ShiftOpExpr`1                                                | Defines a bitwise shift operator expression
Property    | Z0.Logix.ShiftOpExpr`1.OpKind                                         | The operator kind
Property    | Z0.Logix.ShiftOpExpr`1.Subject                                        | The operand
Property    | Z0.Logix.ShiftOpExpr`1.Offset                                         | The magnitude of the shift
Type        | Z0.Logix.TernaryBitwiseOpExpr`1                                       | Defines a typed ternary bitwise operator expression
Property    | Z0.Logix.TernaryBitwiseOpExpr`1.OpKind                                | The operator kind
Property    | Z0.Logix.TernaryBitwiseOpExpr`1.FirstArg                              | The first operand
Property    | Z0.Logix.TernaryBitwiseOpExpr`1.SecondArg                             | The second operand
Property    | Z0.Logix.TernaryBitwiseOpExpr`1.ThirdArg                              | The third operand
Type        | Z0.Logix.UnaryBitwiseOpExpr`1                                         | Defines a unary bitwise operator expression
Property    | Z0.Logix.UnaryBitwiseOpExpr`1.OpKind                                  | The operator kind
Property    | Z0.Logix.UnaryBitwiseOpExpr`1.Arg                                     | The operand
Type        | Z0.Logix.FormulaExpr                                                  | Defines an untyped identified expression, identifier := expression
Property    | Z0.Logix.FormulaExpr.Name                                             | The identifier
Property    | Z0.Logix.FormulaExpr.Encoding                                         | The identified expression
Type        | Z0.Logix.FormulaExpr`1                                                | Defines a typed identified expression, identifier := expression
Property    | Z0.Logix.FormulaExpr`1.Name                                           | The identifier
Property    | Z0.Logix.FormulaExpr`1.Encoding                                       | The identified expression
Method      | Z0.Logix.VarRandom.SetNext``1(Z0.IPolyrand,Z0.Logix.VariableExpr{``0})| Obtains the next primal value from the random source, assigns the            variable to this value and returns the value to the caller
Type        | Z0.Logix.RangeExpr`1                                                  | Defines a stewise-contiguous sequence of scalar values, available on-demand,             that satisfy upper/lower bound constraints
Field       | Z0.Logix.RangeExpr`1.Min                                              | The min value in the range
Field       | Z0.Logix.RangeExpr`1.Max                                              | The max value in the range
Field       | Z0.Logix.RangeExpr`1.Step                                             | The distance between successive range points
Type        | Z0.Logix.LiteralExpr`1                                                | Lifts a literal value to an expression
Property    | Z0.Logix.LiteralExpr`1.Value                                          | The literal value
Method      | Z0.Logix.LiteralExpr`1.op_Implicit(Z0.Logix.LiteralExpr{`0})~`0       | Implicitly converts a literal expression to the underlying value
Method      | Z0.Logix.LiteralExpr`1.op_Implicit(`0)~Z0.Logix.LiteralExpr{`0}       | Implicitly converts a value to a literal expression
Property    | Z0.Logix.VariableExpr`1.Name                                          | The name of the variable
Property    | Z0.Logix.VariableExpr`1.Value                                         | The value of the variable
Method      | Z0.Logix.VariableExpr`1.Set(Z0.Logix.IExpr{`0})                       | Updates the variable's value
Type        | Z0.Logix.VariedExpr`1                                                 | Defines a variable-dependent typed expression
Property    | Z0.Logix.VariedExpr`1.BaseExpr                                        | A variable-dependent expression
Property    | Z0.Logix.VariedExpr`1.Vars                                            | The variables upon which the expression depends
Type        | Z0.Logix.VariedExpr`2                                                 | Defines a typed expression over a variable sequence of natural length
Type        | Z0.Logix.ComparisonExpr                                               | Defines an untyped comparison expression
Property    | Z0.Logix.ComparisonExpr.ComparisonKind                                | The operator kind
Property    | Z0.Logix.ComparisonExpr.Lhs                                           | The left operand
Property    | Z0.Logix.ComparisonExpr.Rhs                                           | The right operand
Property    | Z0.Logix.ComparisonExpr.Vars                                          | The variables upon which the operands depend
Type        | Z0.Logix.ComparisonExpr`1                                             | Defines a typed comparison expression
Property    | Z0.Logix.ComparisonExpr`1.ComparisonKind                              | The operator kind
Property    | Z0.Logix.ComparisonExpr`1.LeftArg                                     | The left expression
Property    | Z0.Logix.ComparisonExpr`1.RightArg                                    | The right expression
Property    | Z0.Logix.ComparisonExpr`1.Vars                                        | The variables upon which the operands depend
Type        | Z0.Logix.ComparisonPredExpr`1                                         | Defines a typed comparison predicate
Property    | Z0.Logix.ComparisonPredExpr`1.ComparisonKind                          | The operator kind
Property    | Z0.Logix.ComparisonPredExpr`1.LeftArg                                 | The left operand
Property    | Z0.Logix.ComparisonPredExpr`1.RightArg                                | The right operand
Property    | Z0.Logix.ComparisonPredExpr`1.Vars                                    | The variables upon which the operands depend
Type        | Z0.Logix.BinaryLogicOpExpr                                            | Definesan untyped binary logical operator expression
Property    | Z0.Logix.BinaryLogicOpExpr.OpKind                                     | The operator kind
Property    | Z0.Logix.BinaryLogicOpExpr.LeftArg                                    | The left operand
Property    | Z0.Logix.BinaryLogicOpExpr.RightArg                                   | The right operand
Type        | Z0.Logix.BinaryLogicOpExpr`1                                          | Defines a typed binary logical operator expression
Property    | Z0.Logix.BinaryLogicOpExpr`1.LeftArg                                  | The left operand
Property    | Z0.Logix.BinaryLogicOpExpr`1.RightArg                                 | The right operand
Property    | Z0.Logix.BinaryLogicOpExpr`1.OpKind                                   | The operator kind
Type        | Z0.Logix.LiteralLogicSeqExpr`1                                        | Defines a natural-length sequence of literal bit values
Type        | Z0.Logix.LiteralLogicExpr                                             | Defines an untyped literal logic expression
Property    | Z0.Logix.LiteralLogicExpr.Value                                       | The literal value
Method      | Z0.Logix.LiteralLogicExpr.op_Implicit(Z0.Logix.LiteralLogicExpr)~Z0.bit| Implicitly converts a literal expression to the underlying value
Method      | Z0.Logix.LiteralLogicExpr.op_Implicit(Z0.bit)~Z0.Logix.LiteralLogicExpr| Implicitly converts a value to a literal expression
Type        | Z0.Logix.LiteralLogicExpr`1                                           | Defines a typed literal logic expression
Property    | Z0.Logix.LiteralLogicExpr`1.Value                                     | The literal value
Type        | Z0.Logix.LiteralLogicSeqExpr                                          | Defines a sequence of literal bit values
Property    | Z0.Logix.LiteralLogicSeqExpr.ExprKind                                 | The expression classifier
Type        | Z0.Logix.LogicVariable                                                | Defines an untyped logic variable
Property    | Z0.Logix.LogicVariable.Name                                           | The variable name
Property    | Z0.Logix.LogicVariable.Value                                          | The varible value
Type        | Z0.Logix.LogicVariable`1                                              | Defines a typed logic variable expression
Property    | Z0.Logix.LogicVariable`1.Name                                         | The variable name
Property    | Z0.Logix.LogicVariable`1.Value                                        | The varible value
Type        | Z0.Logix.TernaryLogicOpExpr                                           | Defines the application of an untyped ternary logic operator
Property    | Z0.Logix.TernaryLogicOpExpr.OpKind                                    | The operator kind
Property    | Z0.Logix.TernaryLogicOpExpr.FirstArg                                  | The first operand
Property    | Z0.Logix.TernaryLogicOpExpr.SecondArg                                 | The second operand
Property    | Z0.Logix.TernaryLogicOpExpr.ThirdArg                                  | The third operand
Type        | Z0.Logix.TernaryLogicOpExpr`1                                         | Defines a typed ternary logic operator expression
Property    | Z0.Logix.TernaryLogicOpExpr`1.OpKind                                  | The operator kind
Property    | Z0.Logix.TernaryLogicOpExpr`1.FirstArg                                | The first operand
Property    | Z0.Logix.TernaryLogicOpExpr`1.SecondArg                               | The second operand
Property    | Z0.Logix.TernaryLogicOpExpr`1.ThirdArg                                | The third operand
Type        | Z0.Logix.UnaryLogicOpExpr                                             | Defines an untyped unary logic operator expression
Property    | Z0.Logix.UnaryLogicOpExpr.OpKind                                      | The operator kind
Property    | Z0.Logix.UnaryLogicOpExpr.Arg                                         | The operand
Type        | Z0.Logix.VariedLogicExpr                                              | Defines an untyped logic expression over one or more variables
Property    | Z0.Logix.VariedLogicExpr.BaseExpr                                     | The variable-dependent expression
Property    | Z0.Logix.VariedLogicExpr.Vars                                         | The variables that parametrize the base expression
Type        | Z0.Logix.VariedLogicExpr`1                                            | Defines a typed logic expression over one or more variables
Property    | Z0.Logix.VariedLogicExpr`1.BaseExpr                                   | The variable-dependent expression
Property    | Z0.Logix.VariedLogicExpr`1.Vars                                       | The variables that parametrize the base expression
Type        | Z0.Logix.Question`1                                                   | Defines a question in the context of a survey
Property    | Z0.Logix.Question`1.Id                                                | Uniquely identifies a question relative to a survey
Property    | Z0.Logix.Question`1.Label                                             | The question statement
Property    | Z0.Logix.Question`1.MaxSelect                                         | The maximum number of choices allowed for a response, between 0 and the number of available choices
Property    | Z0.Logix.Question`1.Choices                                           | The potiential choices/answers
Type        | Z0.Logix.QuestionChoice`1                                             | Defines a choice in the context of a survey question
Property    | Z0.Logix.QuestionChoice`1.Id                                          | Uniquely identifies a choice relative to a question
Property    | Z0.Logix.QuestionChoice`1.Label                                       | The meaning of the choice
Type        | Z0.Logix.QuestionResponse`1                                           | Defines a response to a survey question
Method      | Z0.Logix.Survey.Template``1(System.UInt32,System.String,System.Int32,System.Int32)| Creates a stock survey that contains no meaningful content
Method      | Z0.Logix.Survey.Template``1(System.UInt32,System.String)              | Creates a stock survey with the maximum number of questions/choices supported by the primal type
Method      | Z0.Logix.Survey.Template``1(System.UInt32,System.String,System.Int32) | Creates a stock survey with a specified number of questions, each of which has the maximum number             of choices supported by the primal type
Method      | Z0.Logix.Survey.Choice``1(``0,System.String)                          | Creates a choice for a survey question
Method      | Z0.Logix.Survey.Question``1(System.UInt32,System.String,System.Int32,Z0.Logix.QuestionChoice{``0}[])| Creates a question for a survey
Method      | Z0.Logix.Survey.Response``1(System.UInt32,Z0.Logix.QuestionChoice{``0}[])| Creates a response to a survey question
Method      | Z0.Logix.Survey.Response``1(System.UInt32,Z0.Logix.QuestionResponse{``0}[])| Creates a response to a survey
Method      | Z0.Logix.Survey.CreateSuvey``1(System.UInt32,System.String,Z0.Logix.Question{``0}[])| Creates a survey
Method      | Z0.Logix.Survey.Vector``1(Z0.Logix.Question{``0}@)                    | Creates a bitvector representation of a question
Method      | Z0.Logix.Survey.Vector``1(Z0.Logix.QuestionResponse{``0}@)            | Creates a bitvector representation of a question response
Method      | Z0.Logix.Survey.Matrix``1(Z0.Logix.SurveyResponse{``0}@)              | Creates a bitmatrix representation of a survey response
Method      | Z0.Logix.Survey.Matrix``1(Z0.Logix.Survey{``0}@)                      | Creates a bitmatrix representation of a survey
Property    | Z0.Logix.Survey.ChoiceCodes                                           | The numeric codes for the asci characters 'A' .. 'Z'
Type        | Z0.Logix.Survey`1                                                     | Defines a survey predicated on primal type evaluation
Type        | Z0.Logix.SurveyResponse`1                                             | Defines a response to a survey
Field       | Z0.Logix.SurveyResponse`1.SurveyId                                    | The survey identifier
Field       | Z0.Logix.SurveyResponse`1.Answered                                    | The answered survey questions
Type        | Z0.LogicExprKind                                                      | Classifier for logical expressions
Field       | Z0.LogicExprKind.Variable                                             | Classifies boolean bariables
Field       | Z0.LogicExprKind.Varied                                               | Classifies a boolean expression that depends on one or more variables
Field       | Z0.LogicExprKind.Literal                                              | Classifies a boolean literal expression
Field       | Z0.LogicExprKind.Comparison                                           | Classifies a boolean comparison expression
Field       | Z0.LogicExprKind.UnaryOperator                                        | Classifies a boolean unary operator
Field       | Z0.LogicExprKind.BinaryOperator                                       | Classifies a boolean binary operator
Field       | Z0.LogicExprKind.TernaryOperator                                      | Classifies a boolean ternary operator
Type        | Z0.TimeRelationKind                                                   | Classifies the chronological disposition of one instant in time with respect to another
Field       | Z0.TimeRelationKind.Before                                            | Indicates the subject is antecedent to the comperand
Field       | Z0.TimeRelationKind.Matches                                           | Indicates the subject is identical to the comperand
Field       | Z0.TimeRelationKind.After                                             | Indicates the subject follows the comperand
Field       | Z0.TimeRelationKind.Between                                           | Indicates the subject is inclusively between a start date and an end date
Type        | Z0.TypedExprKind                                                      | Classifies typed expressions
Field       | Z0.TypedExprKind.Variable                                             | Classifies a variable
Field       | Z0.TypedExprKind.Varied                                               | Classifies an expression that depends on one or more variables
Field       | Z0.TypedExprKind.Literal                                              | Classifies a literal expression
Field       | Z0.TypedExprKind.Comparison                                           | Classifies a comparison expression
Field       | Z0.TypedExprKind.UnaryOperator                                        | Classifies a unary operator
Field       | Z0.TypedExprKind.BinaryOperator                                       | Classifies a binary operator
Field       | Z0.TypedExprKind.TernaryOperator                                      | Classifies a ternary operator
Field       | Z0.TypedExprKind.ShiftExpr                                            | Classifies a shift expression
Type        | Z0.Choice16                                                           | Reprsents a subset of 16 distinct choices, including the empty set
Type        | Z0.Choice32                                                           | Reprsents a subset of 32 distinct choices, including the empty set
Type        | Z0.Choice8                                                            | Reprsents a subset of 8 distinct choices, including the empty set
