Method      | Z0.BitMatrixA.cimpl``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)         | Computes the converse implication for generic bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.impl(Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@)    | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.impl(Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@)    | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.impl(Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@)    | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.init``2(Z0.BitBlock{``0,``1}@)                           | Creates a new generic bitmatrix where each row is initialized to a common source vector
Method      | Z0.BitMatrix.init``3(Z0.BitBlock{``1,``2}@,``0)                       | Creates a new generic bitmatrix where each row is initialized to a common row
Method      | Z0.BitMatrix.init(Z0.BitVector8)                                      | Creates a new primal bitmatrix where each row is initialized to a common source vector
Method      | Z0.BitMatrix.init(Z0.BitVector16)                                     | Creates a new primal bitmatrix where each row is initialized to a common source vector
Method      | Z0.BitMatrix.init(Z0.BitVector32)                                     | Creates a new primal bitmatrix where each row is initialized to a common source vector
Method      | Z0.BitMatrix.init(Z0.BitVector64)                                     | Creates a new primal bitmatrix where each row is initialized to a common source vector
Method      | Z0.BitMatrix.load``1(System.Span{``0})                                | Loads a generic bitmatrix from a span
Method      | Z0.BitMatrix.load``2(``0,System.Span{``1})                            | Loads a square bitmatrix of natural order from an span
Method      | Z0.BitMatrix.load``2(System.Span{``1})                                | Loads a square bitmatrix of natural order from an span
Method      | Z0.BitMatrix.load``3(``0,``1,System.Span{``2})                        | Loads an MxN natural bitmatrix from an array
Method      | Z0.BitMatrix.load``3(System.Span{``2})                                | Loads an MxN natural bitmatrix from an array
Method      | Z0.BitMatrix.mul``1(Z0.BitMatrix{``0}@,Z0.BitVector{``0}@)            | Applies a bitmatrix to a bitvector to yield a transformed bitvector
Method      | Z0.BitMatrix.mul(Z0.BitMatrix4,Z0.BitVector4)                         | Applies a bitmatrix to a bitvector to yield a transformed bitvector
Method      | Z0.BitMatrix.mul(Z0.BitMatrix8@,Z0.BitVector8@)                       | Applies a bitmatrix to a bitvector to yield a transformed bitvector
Method      | Z0.BitMatrix.mul(Z0.BitMatrix4@,Z0.BitMatrix4@,Z0.BitMatrix4@)        | Multiplies two primal bitmatrices of order 4, writing the result to a caller-supplied target
Method      | Z0.BitMatrix.mul(Z0.BitMatrix4@,Z0.BitMatrix4@)                       | Multiplies two primal bitmatrices of order 8, returning the allocated result
Method      | Z0.BitMatrix.mul(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)        | Multiplies two primal bitmatrices of order 8, writing the result to a caller-supplied target
Method      | Z0.BitMatrix.mul(Z0.BitMatrix8@,Z0.BitMatrix8@)                       | Multiplies two primal bitmatrices of order 8, returning the allocated result
Method      | Z0.BitMatrix.mul``4(Z0.BitMatrix{``0,``1,``3}@,Z0.BitMatrix{``1,``2,``3}@,Z0.BitMatrix{``0,``2,``3}@)| Computes the product of bitmatrices of comparible natural dimensions and stores the            result to a caller-supplied target matrix
Method      | Z0.BitMatrix.mul``2(Z0.BitMatrix{``0,``1}@,Z0.BitMatrix{``0,``1}@,Z0.BitMatrix{``0,``1}@)| Computes the product of square bitmatrices of common natural order and stores the result to a caller-supplied target matrix
Method      | Z0.BitMatrix.mul``2(Z0.BitMatrix{``0,``1}@,Z0.BitMatrix{``0,``1}@)    | Computes the product of square bitmatrices of common natural order and returns the allocated result
Method      | Z0.BitMatrix.nand``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the converse implication for generic bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.nand(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)       | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.nand(Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@)    | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.nand(Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@)    | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.nand(Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@)    | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.natural(Z0.BitMatrix8@)                                  | Projects, without allocation, a primal bitmatrix onto a generic bitmatrix of natural order
Method      | Z0.BitMatrix.natural(Z0.BitMatrix16@)                                 | Projects, without allocation, a primal bitmatrix onto a generic bitmatrix of natural order
Method      | Z0.BitMatrix.natural(Z0.BitMatrix32@)                                 | Projects, without allocation, a primal bitmatrix onto a generic bitmatrix of natural order
Method      | Z0.BitMatrix.natural(Z0.BitMatrix64@)                                 | Projects, without allocation, a primal bitmatrix onto a generic bitmatrix of natural order
Method      | Z0.BitMatrix.natural``2(``1,``0)                                      | Creates a square bitmatrix of natural order from a single cell
Method      | Z0.BitMatrix.natural``2(System.Span{``1},``0)                         | Creates a square bitmatrix of natural order from a span
Method      | Z0.BitMatrix.natural``3(``2,``0,``1)                                  | Creates a bitmatrix of natural dimensions from a single cell
Method      | Z0.BitMatrix.natural``3(System.Span{``2},``0,``1)                     | Creates a bitmatrix of natural dimensions from a span
Method      | Z0.BitMatrix.nonimpl``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the converse implication for generic bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.nonimpl(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)    | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.nonimpl(Z0.BitMatrix8@,Z0.BitMatrix8@)                   | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.nonimpl(Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@) | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.nonimpl(Z0.BitMatrix16@,Z0.BitMatrix16@)                 | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.nonimpl(Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@) | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.nonimpl(Z0.BitMatrix32@,Z0.BitMatrix32@)                 | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.nonimpl(Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@) | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.nonimpl(Z0.BitMatrix64@,Z0.BitMatrix64@)                 | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.nor``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the converse implication for generic bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.nor(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)        | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.nor(Z0.BitMatrix4@,Z0.BitMatrix4@)                       | Computes the logical Nor between two bitmatrices and returns the allocated result to the caller
Method      | Z0.BitMatrix.nor(Z0.BitMatrix8@,Z0.BitMatrix8@)                       | Computes the logical Nor between two bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.nor(Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@)     | Computes the logical Nor between bitmatrices and deposits the result to a caller-supplied target
Method      | Z0.BitMatrix.nor(Z0.BitMatrix16@,Z0.BitMatrix16@)                     | Computes the logical Nor between two bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.nor(Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@)     | Computes the logical Nor between bitmatrices and deposits the result to a caller-supplied target
Method      | Z0.BitMatrix.nor(Z0.BitMatrix32@,Z0.BitMatrix32@)                     | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.nor(Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@)     | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.nor(Z0.BitMatrix64@,Z0.BitMatrix64@)                     | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.not``1(Z0.BitMatrix{``0}@)                               | Computes the logical negation of a generic bitmatrix, returning the allocated result to the caller
Method      | Z0.BitMatrix.not``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)            | Computes the logical negation of a generic bitmatrix, depositing the result to the caller-supplied target
Method      | Z0.BitMatrix.not(Z0.BitMatrix4@)                                      | Computes the logical negation of the source matrix, returning the allocated result to the caller
Method      | Z0.BitMatrix.not(Z0.BitMatrix8@)                                      | Computes the logical negation of a primal bitmatrix, returning the allocated result to the caller
Method      | Z0.BitMatrix.not(Z0.BitMatrix8@,Z0.BitMatrix8@)                       | Computes the logical negation of a primal bitmatrix, depositing the result to the caller-supplied target
Method      | Z0.BitMatrix.not(Z0.BitMatrix16@)                                     | Computes the logical negation of a primal bitmatrix, returning the allocated result to the caller
Method      | Z0.BitMatrix.not(Z0.BitMatrix16@,Z0.BitMatrix16@)                     | Computes the logical negation of a primal bitmatrix, depositing the result to the caller-supplied target
Method      | Z0.BitMatrix.not(Z0.BitMatrix32@)                                     | Computes the logical negation of a primal bitmatrix, returning the allocated result to the caller
Method      | Z0.BitMatrix.not(Z0.BitMatrix32@,Z0.BitMatrix32@)                     | Computes the logical negation of a primal bitmatrix, depositing the result to the caller-supplied target
Method      | Z0.BitMatrix.not(Z0.BitMatrix64@)                                     | Computes the logical negation of a primal bitmatrix, returning the allocated result to the caller
Method      | Z0.BitMatrix.not(Z0.BitMatrix64@,Z0.BitMatrix64@)                     | Computes the logical negation of a primal bitmatrix, depositing the result to the caller-supplied target
Method      | Z0.BitMatrix.oprod(Z0.BitVector32,Z0.BitVector32)                     | Computes the outer product of two bitvectors and returns the allocated result
Method      | Z0.BitMatrix.oprod``1(Z0.BitVector{``0},Z0.BitVector{``0},Z0.BitMatrix{``0}@)| Computes the outer product of two bitvectors and stores the result in a caller-supplied target
Method      | Z0.BitMatrix.oprod``1(Z0.BitVector{``0},Z0.BitVector{``0})            | Computes the outer product of two bitvectors and returns the allocated result
Method      | Z0.BitMatrix.or``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the converse implication for generic bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.or(Z0.BitMatrix4@,Z0.BitMatrix4@)                        | Computes the logical Or between two bitmatrices and returns the allocated result to the caller
Method      | Z0.BitMatrix.or(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)         | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.or(Z0.BitMatrix8@,Z0.BitMatrix8@)                        | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.or(Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@)      | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.or(Z0.BitMatrix16@,Z0.BitMatrix16@)                      | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.or(Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@)      | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.or(Z0.BitMatrix32@,Z0.BitMatrix32@)                      | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.or(Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@)      | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.or(Z0.BitMatrix64@,Z0.BitMatrix64@)                      | Computes the converse implication for primal bitmatrices, returning the allocated result
Method      | Z0.BitMatrix.permute``1(Z0.Perm,Z0.BitMatrix{``0}@)                   | Permutes the rows of a matrix in-place according to a permutation
Method      | Z0.BitMatrix.permute(Z0.NatPerm{Z0.N8}@,Z0.BitMatrix8@)               | Permutes the rows of a matrix in-place according to a permutation
Method      | Z0.BitMatrix.permute(Z0.NatPerm{Z0.N16}@,Z0.BitMatrix16@)             | Permutes the rows of a matrix in-place according to a specified permutation
Method      | Z0.BitMatrix.permute(Z0.NatPerm{Z0.N32}@,Z0.BitMatrix32@)             | Permutes the rows of a matrix in-place according to a permutation
Method      | Z0.BitMatrix.permute(Z0.NatPerm{Z0.N64}@,Z0.BitMatrix64@)             | Permutes the rows of a matrix in-place according to a permutation
Method      | Z0.BitMatrix.permute(Z0.NatPerm{Z0.N64})                              | Creates a canonical permutation matrix by swapping matrix rows of the identity matrix as specified by a permutation
Method      | Z0.BitMatrix.pop(Z0.BitMatrix8@)                                      | Counts the number of enabled bits in the matrix
Method      | Z0.BitMatrix.pop(Z0.BitMatrix16@)                                     | Counts the number of enabled bits in the matrix
Method      | Z0.BitMatrix.pop(Z0.BitMatrix32@)                                     | Counts the number of enabled bits in the matrix
Method      | Z0.BitMatrix.pop(Z0.BitMatrix64@)                                     | Counts the number of enabled bits in the matrix
Method      | Z0.BitMatrix.premul(Z0.NatPerm{Z0.N8}@,Z0.BitMatrix8@)                | Permutes the rows of a target matrix via premultiplication by a permutation-identified permutation matrix
Method      | Z0.BitMatrix.premul(Z0.NatPerm{Z0.N16}@,Z0.BitMatrix16)               | Permutes the rows of a target matrix via premultiplication by a permutation-identified permutation matrix
Method      | Z0.BitMatrix.premul(Z0.NatPerm{Z0.N32}@,Z0.BitMatrix32@)              | Permutes the rows of a target matrix via premultiplication by a permutation-identified permutation matrix
Method      | Z0.BitMatrix.premul(Z0.NatPerm{Z0.N64}@,Z0.BitMatrix64@)              | Permutes the rows of a target matrix via premultiplication by a permutation-identified permutation matrix
Method      | Z0.BitMatrix.primal(Z0.N4,System.UInt16)                              | Defines a primal bitmatrix of order 4
Method      | Z0.BitMatrix.primal(Z0.N4,Z0.BitVector4[])                            | Defines a primal bitmatrix of order 4
Method      | Z0.BitMatrix.primal(Z0.N8,System.Span{System.Byte})                   | Defines a primal bitmatrix of order 8
Method      | Z0.BitMatrix.primal(Z0.N8,System.ReadOnlySpan{System.Byte})           | Defines a primal bitmatrix of order 8
Method      | Z0.BitMatrix.primal(Z0.N8,System.UInt32,System.UInt32)                | Defifines a matrix from two 32-bit unsigned integers; the upper value contains            the data for rows 0...3 and the lower value contains the dat for rows [4 ... 7]
Method      | Z0.BitMatrix.primal(Z0.N16,System.Span{System.UInt16})                | Defines a primal bitmatrix of order 16
Method      | Z0.BitMatrix.primal(Z0.N16,System.ReadOnlySpan{System.Byte})          | Defines a primal bitmatrix of order 16
Method      | Z0.BitMatrix.primal(Z0.N32,System.Span{System.UInt32})                | Defines a primal bitmatrix of order 32
Method      | Z0.BitMatrix.primal(Z0.N32,System.ReadOnlySpan{System.Byte})          | Defines a primal bitmatrix of order 32
Method      | Z0.BitMatrix.primal(Z0.N64,System.Span{System.UInt64})                | Defines a primal bitmatrix of order 64
Method      | Z0.BitMatrix.primal(Z0.N64,System.ReadOnlySpan{System.Byte})          | Defines a primal bitmatrix of order 64
Method      | Z0.BitMatrix.same``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)           | Determines whether two generic bitmatrices are identical, returning an enabled bit if so and a disabled bit otherwise
Method      | Z0.BitMatrix.same(Z0.BitMatrix4,Z0.BitMatrix4)                        | Determines whether two primal bitmatrices are identical, returning an enabled bit if so and a disabled bit otherwise
Method      | Z0.BitMatrix.same(Z0.BitMatrix8@,Z0.BitMatrix8@)                      | Determines whether two primal bitmatrices are identical, returning an enabled bit if so and a disabled bit otherwise
Method      | Z0.BitMatrix.same(Z0.BitMatrix16@,Z0.BitMatrix16@)                    | Determines whether two primal bitmatrices are identical, returning an enabled bit if so and a disabled bit otherwise
Method      | Z0.BitMatrix.same(Z0.BitMatrix32@,Z0.BitMatrix32@)                    | Determines whether two primal bitmatrices are identical, returning an enabled bit if so and a disabled bit otherwise
Method      | Z0.BitMatrix.same(Z0.BitMatrix64@,Z0.BitMatrix64@)                    | Determines whether two primal bitmatrices are identical, returning an enabled bit if so and a disabled bit otherwise
Method      | Z0.BitMatrix.select``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Applies the ternary select operator to generic source matrices, writing the result to a caller-supplied target
Method      | Z0.BitMatrix.select(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)| Applies the ternary select operator to primal source matrices, writing the result to a caller-supplied target
Method      | Z0.BitMatrix.select(Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@)| Applies the ternary select operator to primal source matrices, writing the result to a caller-supplied target
Method      | Z0.BitMatrix.select(Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@)| Applies the ternary select operator to primal source matrices, writing the result to a caller-supplied target
Method      | Z0.BitMatrix.select(Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@)| Applies the ternary select operator to primal source matrices, writing the result to a caller-supplied target
Method      | Z0.BitMatrix.testc``1(Z0.BitMatrix{``0}@)                             | Returns true if all bits in a source matrix are enabled, false otherwise
Method      | Z0.BitMatrix.testc``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)          | Returns true if all bits in a matrix are enabled, false otherwise
Method      | Z0.BitMatrix.testc(Z0.BitMatrix8@)                                    | Returns true if all bits in a matrix are enabled, false otherwise
Method      | Z0.BitMatrix.testc(Z0.BitMatrix8@,Z0.BitMatrix8@)                     | Returns true if all mask-identified bits in a matrix are enabled, false otherwise
Method      | Z0.BitMatrix.testc(Z0.BitMatrix16@)                                   | Returns true if all bits in a matrix are enabled, false otherwise
Method      | Z0.BitMatrix.testc(Z0.BitMatrix16@,Z0.BitMatrix16@)                   | Returns true if all mask-identified bits in a matrix are enabled, false otherwise
Method      | Z0.BitMatrix.testc(Z0.BitMatrix32@)                                   | Returns true if all bits in a matrix are enabled, false otherwise
Method      | Z0.BitMatrix.testc(Z0.BitMatrix32@,Z0.BitMatrix32@)                   | Returns true if all mask-identified bits in a matrix are enabled, false otherwise
Method      | Z0.BitMatrix.testc(Z0.BitMatrix64@)                                   | Returns true if all bits in a matrix are enabled, false otherwise
Method      | Z0.BitMatrix.testc(Z0.BitMatrix64@,Z0.BitMatrix64@)                   | Returns true if all mask-identified bits in a matrix are enabled, false otherwise
Method      | Z0.BitMatrix.testz``1(Z0.BitMatrix{``0}@)                             | Returns true if all bits in a matrix are disabled, false otherwise
Method      | Z0.BitMatrix.testz``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)          | Returns true if all mask-identified bits in a matrix are disabled, false otherwise
Method      | Z0.BitMatrix.testz(Z0.BitMatrix8@)                                    | Returns true if all bits in a matrix are disabled, false otherwise
Method      | Z0.BitMatrix.testz(Z0.BitMatrix8@,Z0.BitMatrix8@)                     | Returns true if all mask-identified bits in a matrix are disabled, false otherwise
Method      | Z0.BitMatrix.testz(Z0.BitMatrix16@)                                   | Returns true if all bits in a matrix are disabled, false otherwise
Method      | Z0.BitMatrix.testz(Z0.BitMatrix16@,Z0.BitMatrix16@)                   | Returns true if all mask-identified bits in a matrix are disabled, false otherwise
Method      | Z0.BitMatrix.testz(Z0.BitMatrix32@)                                   | Returns true if all bits in a matrix are disabled, false otherwise
Method      | Z0.BitMatrix.testz(Z0.BitMatrix32@,Z0.BitMatrix32@)                   | Returns true if all mask-identified bits in a matrix are disabled, false otherwise
Method      | Z0.BitMatrix.testz(Z0.BitMatrix64@)                                   | Returns true if all bits in a matrix are disabled, false otherwise
Method      | Z0.BitMatrix.testz(Z0.BitMatrix64@,Z0.BitMatrix64@)                   | Returns true if all mask-identified bits in a matrix are disabled, false otherwise
Method      | Z0.BitMatrix.transpose(Z0.BitMatrix4@)                                | Transposes a copy of the matrix
Method      | Z0.BitMatrix.transpose_v4(Z0.BitMatrix8@,Z0.BitMatrix8@)              | Transposes an 8x8 bitmatrix
Property    | Z0.BitMatrix.Tr8x16MaskBytes                                          | When used as a mask for _mm_shuffle_epi8, transposes a 8x16 bitmatrix
Method      | Z0.BitMatrix.unpack``1(Z0.BitMatrix16@,Z0.Matrix{Z0.N16,``0}@)        | Projects the bits of a fixed primal bitmatrix into a generic target matrix of the same order
Method      | Z0.BitMatrix.unpack``1(Z0.BitMatrix8@,Z0.Matrix{Z0.N8,``0}@)          | Projects the bits of a fixed primal bitmatrix into a generic target matrix of the same order
Method      | Z0.BitMatrix.unpack``1(Z0.BitMatrix32@,Z0.Matrix{Z0.N32,``0}@)        | Projects the bits of a fixed primal bitmatrix into a generic target matrix of the same order
Method      | Z0.BitMatrix.unpack``1(Z0.BitMatrix64@,Z0.Matrix{Z0.N64,``0}@)        | Projects the bits of a fixed primal bitmatrix into a generic target matrix of the same order
Method      | Z0.BitMatrix.unpack``3(Z0.BitMatrix{``1}@,Z0.Matrix{``0,``2}@)        | Projects the bits in the source matrix onto cells of a conventional matrix
Method      | Z0.BitMatrix.unpack``3(Z0.BitMatrix{``0,``1}@,Z0.Matrix{``0,``2}@)    | Projects the bits of a generic sqare bitmatix of natural order into a generic target matrix of the same order
Method      | Z0.BitMatrix.unpack``4(Z0.BitMatrix{``0,``1,``2}@,Z0.Matrix{``0,``1,``3}@)| Projects the bits of a generic bitmatix of natural dimensions into a generic matrix of the same dimensions
Method      | Z0.BitMatrix.unpack``3(Z0.BitMatrix{``0,``1}@,Z0.Matrix256{``0,``2}@) | Projects the bits of a square generic bitmatix of natural order into a generic block matrix of the same order
Method      | Z0.BitMatrix.unpack``4(Z0.BitMatrix{``0,``1,``2}@,Z0.Matrix256{``0,``1,``3}@)| Projects the bits of a generic bitmatix of natural dimensions into a generic block matrix of the same dimensions
Method      | Z0.BitMatrix.unpack(Z0.BitMatrix8@,Z0.Matrix{Z0.N8,Z0.bit}@)          | Projects each bit value in the source matrix to a cell in a caller-supplied conventional matrix
Method      | Z0.BitMatrix.unpack(Z0.BitMatrix{System.Byte}@,Z0.Matrix{Z0.N8,Z0.bit}@)| Projects each bit value in the source matrix to a cell in a caller-supplied conventional matrix
Method      | Z0.BitMatrix.unpack(Z0.BitMatrix16@,Z0.Matrix{Z0.N16,Z0.bit}@)        | Projects each bit value in the source matrix to a cell in a caller-supplied conventional matrix
Method      | Z0.BitMatrix.unpack(Z0.BitMatrix{System.UInt16}@,Z0.Matrix{Z0.N16,Z0.bit}@)| Projects each bit value in the source matrix to a cell in a caller-supplied conventional matrix
Method      | Z0.BitMatrix.unpack(Z0.BitMatrix32@,Z0.Matrix{Z0.N32,Z0.bit}@)        | Projects each bit value in the source matrix to a cell in a caller-supplied conventional matrix
Method      | Z0.BitMatrix.unpack(Z0.BitMatrix{System.UInt32}@,Z0.Matrix{Z0.N32,Z0.bit}@)| Projects each bit value in the source matrix to a cell in a caller-supplied conventional matrix
Method      | Z0.BitMatrix.unpack(Z0.BitMatrix64@,Z0.Matrix{Z0.N64,Z0.bit}@)        | Projects each bit value in the source matrix to a cell in a caller-supplied conventional matrix
Method      | Z0.BitMatrix.unpack(Z0.BitMatrix{System.UInt64}@,Z0.Matrix{Z0.N64,Z0.bit}@)| Projects each bit value in the source matrix to a cell in a caller-supplied conventional matrix
Method      | Z0.BitMatrix.vload(Z0.BitMatrix8@)                                    | Loads the lower half of a 128-bit cpu vector from matrix data
Method      | Z0.BitMatrix.vload(Z0.BitMatrix16@)                                   | Loads a 256-bit cpu vector from matrix data
Method      | Z0.BitMatrix.vload(Z0.BitMatrix32@,System.Int32)                      | Loads a 256-bit cpu vector from matrix data beginning at a specified offset
Method      | Z0.BitMatrix.vload(Z0.BitMatrix64@,System.Int32)                      | Loads a 256-bit cpu vector from matrix data beginning at a specified offset
Method      | Z0.BitMatrix.xnor``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the converse implication for generic bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.xnor(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)       | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.xnor(Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@)    | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.xnor(Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@)    | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.xnor(Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@)    | Computes the converse implication for primal bitmatrices, depositing the result to a caller-supplied target
Method      | Z0.BitMatrix.xor``1(Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@,Z0.BitMatrix{``0}@)| Computes the logical Xor btween two generic bitmatrices, depositing the result to a caller-allocated target
Method      | Z0.BitMatrix.xor(Z0.BitMatrix4@,Z0.BitMatrix4@)                       | Computes the logical Xor between two bitmatrices and returns the allocated result to the caller
Method      | Z0.BitMatrix.xor(Z0.BitMatrix8@,Z0.BitMatrix8@,Z0.BitMatrix8@)        | Computes the logical Xor btween two primal bitmatrices, depositing the result to a caller-allocated target
Method      | Z0.BitMatrix.xor(Z0.BitMatrix16@,Z0.BitMatrix16@,Z0.BitMatrix16@)     | Computes the logical Xor btween two primal bitmatrices, depositing the result to a caller-allocated target
Method      | Z0.BitMatrix.xor(Z0.BitMatrix32@,Z0.BitMatrix32@,Z0.BitMatrix32@)     | Computes the logical Xor btween two primal bitmatrices, depositing the result to a caller-allocated target
Method      | Z0.BitMatrix.xor(Z0.BitMatrix64@,Z0.BitMatrix64@,Z0.BitMatrix64@)     | Computes the logical Xor btween two primal bitmatrices, depositing the result to a caller-allocated target
Type        | Z0.RowBits                                                            | Defines primary api surface for rowbit manipulation
Method      | Z0.RowBits.alloc``1(System.Int32)                                     | xllocates a specified number of rows
Method      | Z0.RowBits.load``1(System.Span{System.Byte})                          | Loads loads rows from a bytespan
Method      | Z0.RowBits.load``1(System.Span{``0})                                  | Loads loads rows from a span
Method      | Z0.RowBits.load``1(``0[])                                             | Loads rows from an array
Method      | Z0.BitMatrix16x.ToCells(Z0.BitMatrix16)                               | Converts the matrix to a bitvector
Method      | Z0.BitMatrix16x.ToBitMatrix(Z0.NatPerm{Z0.N16})                       | Creates the matrix determined by a permutation
Method      | Z0.BitMatrix16x.ToGeneric(Z0.BitMatrix16)                             | Creates a generic matrix from the primal source data
Method      | Z0.BitMatrix16x.ToNatural(Z0.BitMatrix16)                             | Converts the source matrix to a square matrix of natural order
Method      | Z0.BitMatrix16x.ToNatural(Z0.BitMatrix{System.UInt16})                | Converts the source matrix to a square matrix of natural order
Method      | Z0.BitMatrix16x.IsZero(Z0.BitMatrix16)                                | Determines whether this matrix is equivalent to the canonical 0 matrix
