Method      | Z0.Blocks.aligned``1(Z0.W8,System.Int32)                              | Determines whether a specified number of elements can be evenly covered by 8-bit blocks
Method      | Z0.XBlocks.BlockRef``1(Z0.Block16{``0}@,System.Int32)                 | Returns a reference to the leading cell of an index-identified block
Method      | Z0.XBlocks.BlockRef``1(Z0.Block32{``0}@,System.Int32)                 | Returns a reference to the leading cell of an index-identified block
Method      | Z0.XBlocks.BlockRef``1(Z0.Block64{``0}@,System.Int32)                 | Returns a reference to the leading cell of an index-identified block
Method      | Z0.XBlocks.BlockRef``1(Z0.Block128{``0}@,System.Int32)                | Returns a reference to the leading cell of an index-identified block
Method      | Z0.XBlocks.BlockRef``1(Z0.Block256{``0}@,System.Int32)                | Returns a reference to the leading cell of an index-identified block
Method      | Z0.XBlocks.BlockRef``1(Z0.Block512{``0}@,System.Int32)                | Returns a reference to the leading cell of an index-identified block
Method      | Z0.XBlocks.FormatHex``1(Z0.Block8{``0},System.Char,System.Boolean)    | Formats blocked content as a sequence of hex values
Method      | Z0.XBlocks.FormatHex``1(Z0.Block16{``0},System.Char,System.Boolean)   | Formats blocked content as a sequence of hex values
Method      | Z0.XBlocks.FormatHex``1(Z0.Block32{``0},System.Char,System.Boolean)   | Formats blocked content as a sequence of hex values
Method      | Z0.XBlocks.FormatHex``1(Z0.Block64{``0},System.Char,System.Boolean)   | Formats blocked content as a sequence of hex values
Method      | Z0.XBlocks.FormatHex``1(Z0.Block128{``0},System.Char,System.Boolean)  | Formats blocked content as a sequence of hex values
Method      | Z0.XBlocks.FormatHex``1(Z0.Block256{``0},System.Char,System.Boolean)  | Formats blocked content as a sequence of hex values
Method      | Z0.XBlocks.FormatHex``1(Z0.Block512{``0},System.Char,System.Boolean)  | Formats blocked content as a sequence of hex values
Method      | Z0.XBlocks.HiBlock``1(Z0.Block128{``0}@,System.Int32)                 | Extracts the upper half of an index-identified block
Method      | Z0.XBlocks.LoBlock``1(Z0.Block128{``0}@,System.Int32)                 | Extracts the lower half of an index-identified block
Method      | Z0.XBlocks.Reblock``1(Z0.Block32{``0}@,Z0.W16)                        | Converts 64-bit blocks to 32-bit blocks without allocation
Method      | Z0.XBlocks.Reblock``1(Z0.Block64{``0}@,Z0.W32)                        | Converts 64-bit blocks to 32-bit blocks without allocation
Method      | Z0.XBlocks.Reblock``1(Z0.Block128{``0}@,Z0.W16)                       | Converts 128-bit blocks to 16-bit blocks without allocation
Method      | Z0.XBlocks.Reblock``1(Z0.Block128{``0}@,Z0.W32)                       | Converts 128-bit blocks to 32-bit blocks without allocation
Method      | Z0.XBlocks.Reblock``1(Z0.Block128{``0}@,Z0.W64)                       | Converts 128-bit blocks to 64-bit blocks without allocation
Method      | Z0.XBlocks.Reblock``1(Z0.Block256{``0}@,Z0.W16)                       | Converts 256-bit blocks to 16-bit blocks without allocation
Method      | Z0.XBlocks.Reblock``1(Z0.Block256{``0}@,Z0.W32)                       | Converts 256-bit blocks to 32-bit blocks without allocation
Method      | Z0.XBlocks.Reblock``1(Z0.Block256{``0}@,Z0.W64)                       | Converts 256-bit blocks to 64-bit blocks without allocation
Method      | Z0.XBlocks.Reblock``1(Z0.Block256{``0}@,Z0.W128)                      | Converts 256-bit blocks to 64-bit blocks without allocation
Method      | Z0.XBlocks.Replicate``1(Z0.Block8{``0}@)                              | Clones a 32-bit blocked container
Method      | Z0.XBlocks.Replicate``1(Z0.Block16{``0}@)                             | Clones a 32-bit blocked container
Method      | Z0.XBlocks.Replicate``1(Z0.Block32{``0}@)                             | Clones a 32-bit blocked container
Method      | Z0.XBlocks.Replicate``1(Z0.Block64{``0}@)                             | Clones a blocked span
Method      | Z0.XBlocks.Replicate``1(Z0.Block128{``0}@)                            | Clones a blocked span
Method      | Z0.XBlocks.Replicate``1(Z0.Block256{``0}@)                            | Clones a 256-bit data block
Method      | Z0.XBlocks.Replicate``1(Z0.Block512{``0}@)                            | Clones a 512-bit data block
Method      | Z0.XBlocks.Slice``1(Z0.Block8{``0}@,System.Int32)                     | Slices a blocked data source at the cellular level
Method      | Z0.XBlocks.Slice``1(Z0.Block8{``0}@,System.Int32,System.Int32)        | Slices a blocked data source at the cellular level
Method      | Z0.XBlocks.Slice``1(Z0.Block16{``0}@,System.Int32)                    | Slices a blocked data source at the cellular level
Method      | Z0.XBlocks.Slice``1(Z0.Block16{``0}@,System.Int32,System.Int32)       | Slices a blocked data source at the cellular level
Method      | Z0.XBlocks.Slice``1(Z0.Block32{``0}@,System.Int32)                    | Slices a blocked data source at the cellular level
Method      | Z0.XBlocks.Slice``1(Z0.Block32{``0}@,System.Int32,System.Int32)       | Slices a blocked data source at the cellular level
Method      | Z0.XBlocks.Slice``1(Z0.Block64{``0}@,System.Int32)                    | Slices a blocked data source at the cellular level
Method      | Z0.XBlocks.Slice``1(Z0.Block64{``0}@,System.Int32,System.Int32)       | Slices a blocked data source at the cellular level
Method      | Z0.XBlocks.Slice``1(Z0.Block128{``0}@,System.Int32)                   | Slices a blocked data source at the cellular level
Method      | Z0.XBlocks.Slice``1(Z0.Block128{``0}@,System.Int32,System.Int32)      | Slices a blocked data source at the cellular level
Method      | Z0.XBlocks.Slice``1(Z0.Block256{``0}@,System.Int32)                   | Slices a blocked data source at the cellular level
Method      | Z0.XBlocks.Slice``1(Z0.Block256{``0}@,System.Int32,System.Int32)      | Slices a blocked data source at the cellular level
Method      | Z0.XBlocks.Slice``1(Z0.Block512{``0}@,System.Int32,System.Int32)      | Slices a blocked data source at the cellular level
Method      | Z0.XTend.FormatHex``2(Z0.NatSpan{``0,``1},System.Char,System.Boolean) | Formats a span of natural length and integral type as a sequence of hex values
Method      | Z0.XTend.FormatList``2(Z0.NatSpan{``0,``1},System.Char,System.Int32,System.Int32)| Formats a span of natural length as a delimited list
Method      | Z0.XTend.Format``1(Z0.Block8{``0},System.Char,System.Int32)           | Formats blocked content
Method      | Z0.XTend.Format``1(Z0.Block16{``0},System.Char,System.Int32)          | Formats blocked content
Method      | Z0.XTend.Format``1(Z0.Block32{``0},System.Char,System.Int32)          | Formats blocked content
Method      | Z0.XTend.Format``1(Z0.Block64{``0},System.Char,System.Int32)          | Formats blocked content
Method      | Z0.XTend.Format``1(Z0.Block128{``0},System.Char,System.Int32)         | Formats blocked content
Method      | Z0.XTend.Format``1(Z0.Block256{``0},System.Char,System.Int32)         | Formats blocked content
Method      | Z0.XTend.Format``1(Z0.Block512{``0},System.Char,System.Int32)         | Formats blocked content
Type        | Z0.BlockStats                                                         | Captures memory block statistics
Field       | Z0.BlockStats.BlockCount                                              | The number of blocks being described
Field       | Z0.BlockStats.BlockWidth                                              | The bit-width of a block
Field       | Z0.BlockStats.CellWidth                                               | The bit-width of a cell
Field       | Z0.BlockStats.BlockLength                                             | The number of cells in a block
Field       | Z0.BlockStats.CellCount                                               | The total number of covered cells
Property    | Z0.BlockStats.BitCount                                                | The total number of covered bits
Type        | Z0.BlockStats`1                                                       | Captures statistics for memory blocks over generic T-cells
Field       | Z0.BlockStats`1.BlockCount                                            | The number of blocks being described
Field       | Z0.BlockStats`1.BlockWidth                                            | The bit-width of a block
Field       | Z0.BlockStats`1.CellWidth                                             | The bit-width of a cell
Field       | Z0.BlockStats`1.BlockLength                                           | The number of cells in a block
Field       | Z0.BlockStats`1.CellCount                                             | The total number of covered cells
Property    | Z0.BlockStats`1.BitCount                                              | The total number of covered bits
Type        | Z0.BlockStats`2                                                       | Captures memory block statistics for blocks of natural width N over generic T-cells
Field       | Z0.BlockStats`2.BlockCount                                            | The number of blocks being described
Field       | Z0.BlockStats`2.BlockWidth                                            | The bit-width of a block
Field       | Z0.BlockStats`2.CellWidth                                             | The bit-width of a cell
Field       | Z0.BlockStats`2.BlockLength                                           | The number of cells in a block
Field       | Z0.BlockStats`2.CellCount                                             | The total number of covered cells
Property    | Z0.BlockStats`2.BitCount                                              | The total number of covered bits
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W8,``0)                      | Allocates and fills a single 16-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W16,``0)                     | Allocates and fills a single 16-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W16)                         | Allocates and fills a single 16-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W32,``0)                     | Allocates and fills a single 32-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W64,``0)                     | Allocates and fills a single 64-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W128,``0)                    | Allocates and fills a single 128-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W256,``0)                    | Allocates and fills a single 256-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W512,``0)                    | Allocates and fills a single 256-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W16,``0,``0)                 | Allocates and fills a single 16-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W32,``0,``0)                 | Allocates and fills a single 32-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W64,``0,``0)                 | Allocates and fills a single 64-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W128,``0,``0)                | Allocates and fills a single 128-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W256,``0,``0)                | Allocates and fills a single 256-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W512,``0,``0)                | Allocates and fills a single 256-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.Block16{``0}@,System.Int32)  | Fills a single caller-allocated 16-bit block with random values
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.Block32{``0}@,System.Int32)  | Fills a single caller-allocated 32-bit block with random values
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.Block64{``0}@,System.Int32)  | Fills a single caller-allocated 64-bit block with random values
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.Block128{``0}@,System.Int32) | Fills a single caller-allocated 128-bit block with random values
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.Block256{``0}@,System.Int32) | Fills a single caller-allocated 256-bit block with random values
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.Block512{``0}@,System.Int32) | Fills a single caller-allocated 512-bit block with random values
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,``0,``0,Z0.Block16{``0}@,System.Int32)| Fills a single caller-allocated 16-bit block with random values
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,``0,``0,Z0.Block32{``0}@,System.Int32)| Fills a single caller-allocated 32-bit block with random values
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,``0,``0,Z0.Block64{``0}@,System.Int32)| Fills a single caller-allocated 64-bit block with random values
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,``0,``0,Z0.Block128{``0}@,System.Int32)| Fills a single caller-allocated 128-bit block with random values
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,``0,``0,Z0.Block256{``0}@,System.Int32)| Fills a single caller-allocated 256-bit block with random values
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,``0,``0,Z0.Block512{``0}@,System.Int32)| Fills a single caller-allocated 512-bit block with random values
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W16,Z0.Interval{``0},System.Func{``0,System.Boolean})| Allocates and fills a single 16-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W32,Z0.Interval{``0},System.Func{``0,System.Boolean})| Allocates and fills a single 32-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W64,Z0.Interval{``0},System.Func{``0,System.Boolean})| Allocates and fills a single 64-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W128,Z0.Interval{``0},System.Func{``0,System.Boolean})| Allocates and fills a single 128-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W256,Z0.Interval{``0},System.Func{``0,System.Boolean})| Allocates and fills a single 256-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W512,Z0.Interval{``0},System.Func{``0,System.Boolean})| Allocates and fills a single 512-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W16,Z0.Interval{``0})        | Allocates and fills a single 16-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W32,Z0.Interval{``0})        | Allocates and fills a single 32-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W64,Z0.Interval{``0})        | Allocates and fills a single 64-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W128,Z0.Interval{``0})       | Allocates and fills a single 128-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W256,Z0.Interval{``0})       | Allocates and fills a single 256-bit block
Method      | Z0.RandomBlocks.Block``1(Z0.IPolyrand,Z0.W512,Z0.Interval{``0})       | Allocates and fills a single 512-bit block
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W8,System.Int32,Z0.Interval{``0},System.Func{``0,System.Boolean})| Allocates and fills specified number of 8-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W8,System.Int32,``0,``0)    | Allocates and fills specified number of 8-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W8,System.Int32,``0)        | Allocates and fills a specified number of 16-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W16,System.Int32,Z0.Interval{``0},System.Func{``0,System.Boolean})| Allocates and fills specified number of 16-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W16,System.Int32,``0,``0)   | Allocates and fills specified number of 16-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W16,System.Int32,``0)       | Allocates and fills a specified number of 16-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W32,System.Int32)           | Allocates and fills specified number of 32-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W32,Z0.Interval{``0},System.Int32,System.Func{``0,System.Boolean})| Allocates and fills specified number of 32-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W32,``0,``0,System.Int32,System.Func{``0,System.Boolean})| Allocates and fills specified number of 32-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W32,System.Int32,``0)       | Allocates and fills a specified number of 32-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W64,System.Int32)           | Allocates and fills specified number of 64-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W64,Z0.Interval{``0},System.Int32,System.Func{``0,System.Boolean})| Allocates and fills specified number of 64-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W64,``0,``0,System.Int32,System.Func{``0,System.Boolean})| Allocates and fills specified number of 64-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W64,System.Int32,``0)       | Allocates and fills a specified number of 64-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W128,System.Int32)          | Allocates and fills specified number of 128-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W128,Z0.Interval{``0},System.Int32,System.Func{``0,System.Boolean})| Allocates and fills specified number of 128-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W128,``0,``0,System.Int32,System.Func{``0,System.Boolean})| Allocates and fills specified number of 128-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W128,System.Int32,``0)      | Allocates and fills a specified number of 128-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W256,System.Int32)          | Allocates and fills specified number of 256-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W256,Z0.Interval{``0},System.Int32,System.Func{``0,System.Boolean})| Allocates and fills specified number of 256-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W256,``0,``0,System.Int32,System.Func{``0,System.Boolean})| Allocates and fills specified number of 256-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W256,System.Int32,``0)      | Allocates and fills a specified number of 256-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W512,System.Int32)          | Allocates and fills specified number of 512-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W512,Z0.Interval{``0},System.Int32,System.Func{``0,System.Boolean})| Allocates and fills specified number of 512-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W512,``0,``0,System.Int32,System.Func{``0,System.Boolean})| Allocates and fills specified number of 512-bit blocks
Method      | Z0.RandomBlocks.Blocks``1(Z0.IPolyrand,Z0.W512,System.Int32,``0)      | Allocates and fills a specified number of 512-bit blocks
Method      | Z0.RandomBlocks.Fill``1(Z0.IPolyrand,Z0.Block8{``0}@)                 | Fills caller-allocated block storage with random values
Method      | Z0.RandomBlocks.Fill``1(Z0.IPolyrand,Z0.Block16{``0}@)                | Fills caller-allocated block storage with random values
Method      | Z0.RandomBlocks.Fill``1(Z0.IPolyrand,Z0.Block32{``0}@)                | Fills caller-allocated block storage with random values
Method      | Z0.RandomBlocks.Fill``1(Z0.IPolyrand,Z0.Block64{``0}@)                | Fills caller-allocated block storage with random values
Method      | Z0.RandomBlocks.Fill``1(Z0.IPolyrand,Z0.Block128{``0}@)               | Fills caller-allocated block storage with random values
Method      | Z0.RandomBlocks.Fill``1(Z0.IPolyrand,Z0.Block256{``0}@)               | Fills caller-allocated block storage with random values
Method      | Z0.RandomBlocks.Fill``1(Z0.IPolyrand,Z0.Block512{``0}@)               | Fills caller-allocated block storage with random values
Method      | Z0.RandomBlocks.Fill``1(Z0.IPolyrand,``0,``0,Z0.Block16{``0}@)        | Fills caller-allocated block storage with random values
Method      | Z0.RandomBlocks.Fill``1(Z0.IPolyrand,``0,``0,Z0.Block32{``0}@)        | Fills caller-allocated block storage with random values
Method      | Z0.RandomBlocks.Fill``1(Z0.IPolyrand,``0,``0,Z0.Block64{``0}@)        | Fills caller-allocated block storage with random values
Method      | Z0.RandomBlocks.Fill``1(Z0.IPolyrand,``0,``0,Z0.Block128{``0}@)       | Fills caller-allocated block storage with random values
Method      | Z0.RandomBlocks.Fill``1(Z0.IPolyrand,``0,``0,Z0.Block256{``0}@)       | Fills caller-allocated block storage with random values
Method      | Z0.RandomBlocks.Fill``1(Z0.IPolyrand,``0,``0,Z0.Block512{``0}@)       | Fills caller-allocated block storage with random values
Type        | Z0.IBlockedFunc                                                       | Characterizes structed blocked functions
Type        | Z0.IBlockedFunc`1                                                     | Characterizes identified SBF operations that are width-parametric, homoenously so
Type        | Z0.IBlockedFunc`2                                                     | Characterizes identified SBF operations that are cell and width-parametric, homoenously both
Type        | Z0.Block128`1                                                         | Defines a span of contiguous memory that can be evenly partitioned into 8, 16, 32, 64 and 128-bit segments
Property    | Z0.Block128`1.Data                                                    | The backing storage
Property    | Z0.Block128`1.Head                                                    | The leading storage cell
Property    | Z0.Block128`1.IsEmpty                                                 | True if no capacity exists, false otherwise
Property    | Z0.Block128`1.CellCount                                               | The number of allocated cells
Property    | Z0.Block128`1.BlockLength                                             | The number of cells in a block
Property    | Z0.Block128`1.BlockCount                                              | The number of covered blocks
Property    | Z0.Block128`1.BitCount                                                | The number of covered bits
Property    | Z0.Block128`1.Item(System.Int32)                                      | Mediates access to the underlying storage cells via linear index
Property    | Z0.Block128`1.Item(System.Int32,System.Int32)                         | Mediates access to the the underlying storage cells via block index and block-relative cell index
Property    | Z0.Block128`1.Bytes                                                   | Presents the source data as bytespan
Method      | Z0.Block128`1.Cell(System.Int32,System.Int32)                         | Mediates access to the the underlying storage cells via block index and block-relative cell index
Method      | Z0.Block128`1.Block(System.Int32)                                     | Retrieves an index-identified data block
Method      | Z0.Block128`1.Extract(System.Int32)                                   | Extracts an index-identified block (non-allocating, but not free due to the price of creating a new wrapper)
Method      | Z0.Block128`1.Fill(`0)                                                | Broadcasts a value to all blocked cells
Method      | Z0.Block128`1.Clear                                                   | Zero-fills all blocked cells
Method      | Z0.Block128`1.CopyTo(System.Span{`0})                                 | Copies blocked content to a target span
Method      | Z0.Block128`1.As``1                                                   | Reinterprets the storage cell type
Type        | Z0.Block16`1                                                          | Defines a span of contiguous memory that can be evenly partitioned into 8 and 16-bit segments
Property    | Z0.Block16`1.Data                                                     | The backing storage
Property    | Z0.Block16`1.Head                                                     | The leading storage cell
Property    | Z0.Block16`1.CellCount                                                | The number of allocated cells
Property    | Z0.Block16`1.BlockLength                                              | The number of cells in a block
Property    | Z0.Block16`1.BlockCount                                               | The number of covered blocks
Property    | Z0.Block16`1.BitCount                                                 | The number of covered bits
Property    | Z0.Block16`1.Item(System.Int32)                                       | Mediates access to the underlying storage cells via linear index
Property    | Z0.Block16`1.Item(System.Int32,System.Int32)                          | Mediates access to the the underlying storage cells via block index and block-relative cell index
Property    | Z0.Block16`1.Bytes                                                    | Presents the source data as bytespan
Method      | Z0.Block16`1.Cell(System.Int32,System.Int32)                          | Mediates access to the the underlying storage cells via block index and block-relative cell index
Method      | Z0.Block16`1.Block(System.Int32)                                      | Retrieves an index-identified data block
Method      | Z0.Block16`1.Extract(System.Int32)                                    | Extracts an index-identified block (non-allocating, but not free due to the price of creating a new wrapper)
Method      | Z0.Block16`1.Fill(`0)                                                 | Broadcasts a value to all blocked cells
Method      | Z0.Block16`1.Clear                                                    | Zero-fills all blocked cells
Method      | Z0.Block16`1.CopyTo(System.Span{`0})                                  | Copies blocked content to a target span
Method      | Z0.Block16`1.As``1                                                    | Reinterprets the storage cell type
Type        | Z0.Block256`1                                                         | Defines a span of contiguous memory that can be evenly partitioned into 8, 16, 32, 64, 128 and 256-bit segments
Property    | Z0.Block256`1.Data                                                    | The unblocked storage cells
Property    | Z0.Block256`1.Head                                                    | The leading storage cell
Property    | Z0.Block256`1.IsEmpty                                                 | True if no capacity exists, false otherwise
Property    | Z0.Block256`1.CellCount                                               | The number of covered cells
Property    | Z0.Block256`1.BlockLength                                             | The number of cells in a block
Property    | Z0.Block256`1.BlockCount                                              | The number of covered blocks
Property    | Z0.Block256`1.BitCount                                                | The number of covered bits
Property    | Z0.Block256`1.Item(System.Int32)                                      | Mediates access to the underlying storage cells via linear index
Property    | Z0.Block256`1.Item(System.Int32,System.Int32)                         | Mediates access to the the underlying storage cells via block index and block-relative cell index
Property    | Z0.Block256`1.Bytes                                                   | Presents the source data as bytespan
Method      | Z0.Block256`1.Cell(System.Int32,System.Int32)                         | Mediates access to the the underlying storage cells via block index and block-relative cell index
Method      | Z0.Block256`1.Block(System.Int32)                                     | Retrieves an index-identified data block
Method      | Z0.Block256`1.Extract(System.Int32)                                   | Extracts an index-identified block (non-allocating, but not free due to the price of creating a new wrapper)
Method      | Z0.Block256`1.Fill(`0)                                                | Broadcasts a value to all blocked cells
Method      | Z0.Block256`1.Clear                                                   | Zero-fills all blocked cells
Method      | Z0.Block256`1.CopyTo(System.Span{`0})                                 | Copies blocked content to a target span
Method      | Z0.Block256`1.As``1                                                   | Reinterprets the storage cell type
Type        | Z0.Block32`1                                                          | Defines a span of contiguous memory that can be evenly partitioned into 8, 16 and 32-bit segments
Property    | Z0.Block32`1.Data                                                     | The backing storage
Property    | Z0.Block32`1.Head                                                     | The leading storage cell
Property    | Z0.Block32`1.CellCount                                                | The number of allocated cells
Property    | Z0.Block32`1.BlockLength                                              | The number of cells in a block
Property    | Z0.Block32`1.BlockCount                                               | The number of covered blocks
Property    | Z0.Block32`1.BitCount                                                 | The number of covered bits
Property    | Z0.Block32`1.Item(System.Int32)                                       | Mediates access to the underlying storage cells via linear index
Property    | Z0.Block32`1.Item(System.Int32,System.Int32)                          | Mediates access to the the underlying storage cells via block index and block-relative cell index
Property    | Z0.Block32`1.Bytes                                                    | Presents the source data as bytespan
Method      | Z0.Block32`1.Cell(System.Int32,System.Int32)                          | Mediates access to the the underlying storage cells via block index and block-relative cell index
Method      | Z0.Block32`1.Block(System.Int32)                                      | Retrieves an index-identified data block
Method      | Z0.Block32`1.Extract(System.Int32)                                    | Extracts an index-identified block (non-allocating, but not free due to the price of creating a new wrapper)
Method      | Z0.Block32`1.Clear                                                    | Zero-fills all blocked cells
Method      | Z0.Block32`1.CopyTo(System.Span{`0})                                  | Copies blocked content to a target span
Method      | Z0.Block32`1.As``1                                                    | Reinterprets the storage cell type
Type        | Z0.Block512`1                                                         | Defines a span of contiguous memory that can be evenly partitioned into 8, 16, 32, 64, 128, 256 and 512-bit segments
Property    | Z0.Block512`1.Data                                                    | The unblocked storage cells
Property    | Z0.Block512`1.Head                                                    | The leading storage cell
Property    | Z0.Block512`1.IsEmpty                                                 | True if no capacity exists, false otherwise
Property    | Z0.Block512`1.CellCount                                               | The number of allocated cells
Property    | Z0.Block512`1.BlockLength                                             | The number of cells in a block
Property    | Z0.Block512`1.BlockCount                                              | The number of covered blocks
Property    | Z0.Block512`1.BitCount                                                | The number of covered bits
Property    | Z0.Block512`1.Item(System.Int32)                                      | Mediates access to the underlying storage cells via linear index
Property    | Z0.Block512`1.Item(System.Int32,System.Int32)                         | Mediates access to the the underlying storage cells via block index and block-relative cell index
Property    | Z0.Block512`1.Bytes                                                   | Presents the source data as bytespan
Method      | Z0.Block512`1.Cell(System.Int32,System.Int32)                         | Mediates access to the the underlying storage cells via block index and block-relative cell index
Method      | Z0.Block512`1.Block(System.Int32)                                     | Retrieves an index-identified data block
Method      | Z0.Block512`1.Extract(System.Int32)                                   | Extracts an index-identified block (non-allocating, but not free due to the price of creating a new wrapper)
Method      | Z0.Block512`1.LoBlock(System.Int32)                                   | Retrieves the lower 256 bits of an index-identified block
Method      | Z0.Block512`1.HiBlock(System.Int32)                                   | Retrieves the upper 256 bits of an index-identified block
Method      | Z0.Block512`1.Fill(`0)                                                | Broadcasts a value to all blocked cells
Method      | Z0.Block512`1.Clear                                                   | Zero-fills all blocked cells
Method      | Z0.Block512`1.CopyTo(System.Span{`0})                                 | Copies blocked content to a target span
Method      | Z0.Block512`1.As``1                                                   | Reinterprets the storage cell type
Type        | Z0.Block64`1                                                          | Defines a span of contiguous memory that can be evenly partitioned into 8, 16, 32 and 64-bit segments
Property    | Z0.Block64`1.Data                                                     | The unblocked storage cells
Property    | Z0.Block64`1.Head                                                     | The leading storage cell
Property    | Z0.Block64`1.CellCount                                                | The number of allocated cells
Property    | Z0.Block64`1.BlockLength                                              | The number of cells in a block
Property    | Z0.Block64`1.BlockCount                                               | The number of covered blocks
Property    | Z0.Block64`1.BitCount                                                 | The number of covered bits
Property    | Z0.Block64`1.Item(System.Int32)                                       | Mediates access to the underlying storage cells via linear index
Property    | Z0.Block64`1.Item(System.Int32,System.Int32)                          | Mediates access to the the underlying storage cells via block index and block-relative cell index
Property    | Z0.Block64`1.Bytes                                                    | Presents the source data as bytespan
Method      | Z0.Block64`1.Cell(System.Int32,System.Int32)                          | Mediates access to the the underlying storage cells via block index and block-relative cell index
Method      | Z0.Block64`1.Block(System.Int32)                                      | Produces a span that covers the cells of an index-identified block
