| Sequence  | Id                                                | CodeBytes       | Prefix  | Table   | Group   | Op1                 | Op2                 | Op3                 | Op4                 | OpSize    | AddressSize   | Flags     
| 1223      | VEX_Kandnb_k_k_k                                  | 42 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| 1224      | VEX_Kandnd_k_k_k                                  | 42 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| 1225      | VEX_Knotw_k_k                                     | 44 00 00 00     | PNP     | T0F     |         | k_reg               | k_rm                |                     |                     |           |               | Mode16, Mode32, Mode64
| 1226      | VEX_Knotq_k_k                                     | 44 00 00 00     | PNP     | T0F     |         | k_reg               | k_rm                |                     |                     |           |               | Mode16, Mode32, Mode64, W
| 1227      | VEX_Knotb_k_k                                     | 44 00 00 00     | P66     | T0F     |         | k_reg               | k_rm                |                     |                     |           |               | Mode16, Mode32, Mode64
| 1228      | VEX_Knotd_k_k                                     | 44 00 00 00     | P66     | T0F     |         | k_reg               | k_rm                |                     |                     |           |               | Mode16, Mode32, Mode64, W
| 1229      | VEX_Korw_k_k_k                                    | 45 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| 1230      | VEX_Korq_k_k_k                                    | 45 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| 1231      | VEX_Korb_k_k_k                                    | 45 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| 1232      | VEX_Kord_k_k_k                                    | 45 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| 1233      | VEX_Kxnorw_k_k_k                                  | 46 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| 1234      | VEX_Kxnorq_k_k_k                                  | 46 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| 1235      | VEX_Kxnorb_k_k_k                                  | 46 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| 1236      | VEX_Kxnord_k_k_k                                  | 46 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| 1237      | VEX_Kxorw_k_k_k                                   | 47 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| 1238      | VEX_Kxorq_k_k_k                                   | 47 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| 1239      | VEX_Kxorb_k_k_k                                   | 47 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| 1240      | VEX_Kxord_k_k_k                                   | 47 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| 1241      | VEX_Kaddw_k_k_k                                   | 4a 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| 1242      | VEX_Kaddq_k_k_k                                   | 4a 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| 1243      | VEX_Kaddb_k_k_k                                   | 4a 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| 1244      | VEX_Kaddd_k_k_k                                   | 4a 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| 1245      | VEX_Kunpckwd_k_k_k                                | 4b 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| 1246      | VEX_Kunpckdq_k_k_k                                | 4b 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| 1247      | VEX_Kunpckbw_k_k_k                                | 4b 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| 1248      | Movmskps_r32_xmm                                  | 50 00 00 00     | PNP     | T0F     |         | r32_reg             | xmm_rm              |                     |                     |           |               | Mode16, Mode32, Mode64
| 1249      | Movmskps_r64_xmm                                  | 50 00 00 00     | PNP     | T0F     |         | r64_reg             | xmm_rm              |                     |                     | Size64    |               | Mode64    
| 1250      | VEX_Vmovmskps_r32_xmm                             | 50 00 00 00     | PNP     | T0F     |         | r32_reg             | xmm_rm              |                     |                     |           |               | Mode16, Mode32, Mode64, WIG32
| 1251      | VEX_Vmovmskps_r64_xmm                             | 50 00 00 00     | PNP     | T0F     |         | r64_reg             | xmm_rm              |                     |                     |           |               | Mode64, W 
| 1252      | VEX_Vmovmskps_r32_ymm                             | 50 00 00 00     | PNP     | T0F     |         | r32_reg             | ymm_rm              |                     |                     |           |               | Mode16, Mode32, Mode64, WIG32
| 1253      | VEX_Vmovmskps_r64_ymm                             | 50 00 00 00     | PNP     | T0F     |         | r64_reg             | ymm_rm              |                     |                     |           |               | Mode64, W 
| 1254      | Movmskpd_r32_xmm                                  | 50 00 00 00     | P66     | T0F     |         | r32_reg             | xmm_rm              |                     |                     |           |               | Mode16, Mode32, Mode64
| 1255      | Movmskpd_r64_xmm                                  | 50 00 00 00     | P66     | T0F     |         | r64_reg             | xmm_rm              |                     |                     | Size64    |               | Mode64    
| 1256      | VEX_Vmovmskpd_r32_xmm                             | 50 00 00 00     | P66     | T0F     |         | r32_reg             | xmm_rm              |                     |                     |           |               | Mode16, Mode32, Mode64, WIG32
| 1257      | VEX_Vmovmskpd_r64_xmm                             | 50 00 00 00     | P66     | T0F     |         | r64_reg             | xmm_rm              |                     |                     |           |               | Mode64, W 
| 1258      | VEX_Vmovmskpd_r32_ymm                             | 50 00 00 00     | P66     | T0F     |         | r32_reg             | ymm_rm              |                     |                     |           |               | Mode16, Mode32, Mode64, WIG32
| 1259      | VEX_Vmovmskpd_r64_ymm                             | 50 00 00 00     | P66     | T0F     |         | r64_reg             | ymm_rm              |                     |                     |           |               | Mode64, W 
| 1260      | Sqrtps_xmm_xmmm128                                | 51 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1261      | VEX_Vsqrtps_xmm_xmmm128                           | 51 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1262      | VEX_Vsqrtps_ymm_ymmm256                           | 51 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1263      | EVEX_Vsqrtps_xmm_k1z_xmmm128b32                   | 51 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1264      | EVEX_Vsqrtps_ymm_k1z_ymmm256b32                   | 51 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1265      | EVEX_Vsqrtps_zmm_k1z_zmmm512b32_er                | 51 00 00 00     | PNP     | T0F     |         | zmm_reg             | zmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 1266      | Sqrtpd_xmm_xmmm128                                | 51 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1267      | VEX_Vsqrtpd_xmm_xmmm128                           | 51 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1268      | VEX_Vsqrtpd_ymm_ymmm256                           | 51 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1269      | EVEX_Vsqrtpd_xmm_k1z_xmmm128b64                   | 51 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1270      | EVEX_Vsqrtpd_ymm_k1z_ymmm256b64                   | 51 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1271      | EVEX_Vsqrtpd_zmm_k1z_zmmm512b64_er                | 51 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 1272      | Sqrtss_xmm_xmmm32                                 | 51 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1273      | VEX_Vsqrtss_xmm_xmm_xmmm32                        | 51 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
| 1274      | EVEX_Vsqrtss_xmm_k1z_xmm_xmmm32_er                | 51 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, RoundingControl, OpMaskRegister, ZeroingMasking
| 1275      | Sqrtsd_xmm_xmmm64                                 | 51 00 00 00     | PF2     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1276      | VEX_Vsqrtsd_xmm_xmm_xmmm64                        | 51 00 00 00     | PF2     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
| 1277      | EVEX_Vsqrtsd_xmm_k1z_xmm_xmmm64_er                | 51 00 00 00     | PF2     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, W, RoundingControl, OpMaskRegister, ZeroingMasking
| 1278      | Rsqrtps_xmm_xmmm128                               | 52 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1279      | VEX_Vrsqrtps_xmm_xmmm128                          | 52 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1280      | VEX_Vrsqrtps_ymm_ymmm256                          | 52 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1281      | Rsqrtss_xmm_xmmm32                                | 52 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1282      | VEX_Vrsqrtss_xmm_xmm_xmmm32                       | 52 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
| 1283      | Rcpps_xmm_xmmm128                                 | 53 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1284      | VEX_Vrcpps_xmm_xmmm128                            | 53 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1285      | VEX_Vrcpps_ymm_ymmm256                            | 53 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1286      | Rcpss_xmm_xmmm32                                  | 53 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1287      | VEX_Vrcpss_xmm_xmm_xmmm32                         | 53 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
| 1288      | Andps_xmm_xmmm128                                 | 54 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1289      | VEX_Vandps_xmm_xmm_xmmm128                        | 54 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1290      | VEX_Vandps_ymm_ymm_ymmm256                        | 54 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1291      | EVEX_Vandps_xmm_k1z_xmm_xmmm128b32                | 54 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1292      | EVEX_Vandps_ymm_k1z_ymm_ymmm256b32                | 54 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1293      | EVEX_Vandps_zmm_k1z_zmm_zmmm512b32                | 54 00 00 00     | PNP     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1294      | Andpd_xmm_xmmm128                                 | 54 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1295      | VEX_Vandpd_xmm_xmm_xmmm128                        | 54 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1296      | VEX_Vandpd_ymm_ymm_ymmm256                        | 54 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1297      | EVEX_Vandpd_xmm_k1z_xmm_xmmm128b64                | 54 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1298      | EVEX_Vandpd_ymm_k1z_ymm_ymmm256b64                | 54 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1299      | EVEX_Vandpd_zmm_k1z_zmm_zmmm512b64                | 54 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1300      | Andnps_xmm_xmmm128                                | 55 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1301      | VEX_Vandnps_xmm_xmm_xmmm128                       | 55 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1302      | VEX_Vandnps_ymm_ymm_ymmm256                       | 55 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1303      | EVEX_Vandnps_xmm_k1z_xmm_xmmm128b32               | 55 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1304      | EVEX_Vandnps_ymm_k1z_ymm_ymmm256b32               | 55 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1305      | EVEX_Vandnps_zmm_k1z_zmm_zmmm512b32               | 55 00 00 00     | PNP     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1306      | Andnpd_xmm_xmmm128                                | 55 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1307      | VEX_Vandnpd_xmm_xmm_xmmm128                       | 55 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1308      | VEX_Vandnpd_ymm_ymm_ymmm256                       | 55 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1309      | EVEX_Vandnpd_xmm_k1z_xmm_xmmm128b64               | 55 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1310      | EVEX_Vandnpd_ymm_k1z_ymm_ymmm256b64               | 55 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1311      | EVEX_Vandnpd_zmm_k1z_zmm_zmmm512b64               | 55 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1312      | Orps_xmm_xmmm128                                  | 56 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1313      | VEX_Vorps_xmm_xmm_xmmm128                         | 56 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1314      | VEX_Vorps_ymm_ymm_ymmm256                         | 56 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1315      | EVEX_Vorps_xmm_k1z_xmm_xmmm128b32                 | 56 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1316      | EVEX_Vorps_ymm_k1z_ymm_ymmm256b32                 | 56 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1317      | EVEX_Vorps_zmm_k1z_zmm_zmmm512b32                 | 56 00 00 00     | PNP     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1318      | Orpd_xmm_xmmm128                                  | 56 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1319      | VEX_Vorpd_xmm_xmm_xmmm128                         | 56 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1320      | VEX_Vorpd_ymm_ymm_ymmm256                         | 56 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1321      | EVEX_Vorpd_xmm_k1z_xmm_xmmm128b64                 | 56 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1322      | EVEX_Vorpd_ymm_k1z_ymm_ymmm256b64                 | 56 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1323      | EVEX_Vorpd_zmm_k1z_zmm_zmmm512b64                 | 56 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1324      | Xorps_xmm_xmmm128                                 | 57 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1325      | VEX_Vxorps_xmm_xmm_xmmm128                        | 57 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1326      | VEX_Vxorps_ymm_ymm_ymmm256                        | 57 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1327      | EVEX_Vxorps_xmm_k1z_xmm_xmmm128b32                | 57 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1328      | EVEX_Vxorps_ymm_k1z_ymm_ymmm256b32                | 57 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1329      | EVEX_Vxorps_zmm_k1z_zmm_zmmm512b32                | 57 00 00 00     | PNP     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1330      | Xorpd_xmm_xmmm128                                 | 57 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1331      | VEX_Vxorpd_xmm_xmm_xmmm128                        | 57 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1332      | VEX_Vxorpd_ymm_ymm_ymmm256                        | 57 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1333      | EVEX_Vxorpd_xmm_k1z_xmm_xmmm128b64                | 57 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1334      | EVEX_Vxorpd_ymm_k1z_ymm_ymmm256b64                | 57 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1335      | EVEX_Vxorpd_zmm_k1z_zmm_zmmm512b64                | 57 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1336      | Addps_xmm_xmmm128                                 | 58 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1337      | VEX_Vaddps_xmm_xmm_xmmm128                        | 58 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1338      | VEX_Vaddps_ymm_ymm_ymmm256                        | 58 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1339      | EVEX_Vaddps_xmm_k1z_xmm_xmmm128b32                | 58 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1340      | EVEX_Vaddps_ymm_k1z_ymm_ymmm256b32                | 58 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| 1341      | EVEX_Vaddps_zmm_k1z_zmm_zmmm512b32_er             | 58 00 00 00     | PNP     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 1342      | Addpd_xmm_xmmm128                                 | 58 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1343      | VEX_Vaddpd_xmm_xmm_xmmm128                        | 58 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1344      | VEX_Vaddpd_ymm_ymm_ymmm256                        | 58 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| 1345      | EVEX_Vaddpd_xmm_k1z_xmm_xmmm128b64                | 58 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1346      | EVEX_Vaddpd_ymm_k1z_ymm_ymmm256b64                | 58 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| 1347      | EVEX_Vaddpd_zmm_k1z_zmm_zmmm512b64_er             | 58 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| 1348      | Addss_xmm_xmmm32                                  | 58 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1349      | VEX_Vaddss_xmm_xmm_xmmm32                         | 58 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
| 1350      | EVEX_Vaddss_xmm_k1z_xmm_xmmm32_er                 | 58 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, RoundingControl, OpMaskRegister, ZeroingMasking
| 1351      | Addsd_xmm_xmmm64                                  | 58 00 00 00     | PF2     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| 1352      | VEX_Vaddsd_xmm_xmm_xmmm64                         | 58 00 00 00     | PF2     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
