Mnemonic         | Expression                     | Instruction                              | Modes            | CpuId      | OpCodeId  
MOVSX            | REX.W 0F BE /r                 | MOVSX r64, r/m8                          | 64-bit           | X64        | Movsx_r64_rm8
MOVSX            | 0F BF /r                       | MOVSX r16, r/m16                         | 16/32/64-bit     | 386+       | Movsx_r16_rm16
MOVSX            | 0F BF /r                       | MOVSX r32, r/m16                         | 16/32/64-bit     | 386+       | Movsx_r32_rm16
MOVSX            | REX.W 0F BF /r                 | MOVSX r64, r/m16                         | 64-bit           | X64        | Movsx_r64_rm16
MOVSXD           | 63 /r                          | MOVSXD r16, r/m16                        | 64-bit           | X64        | Movsxd_r16_rm16
MOVSXD           | 63 /r                          | MOVSXD r32, r/m32                        | 64-bit           | X64        | Movsxd_r32_rm32
MOVSXD           | REX.W 63 /r                    | MOVSXD r64, r/m32                        | 64-bit           | X64        | Movsxd_r64_rm32
MOVUPD           | 66 0F 10 /r                    | MOVUPD xmm1, xmm2/m128                   | 16/32/64-bit     | SSE2       | Movupd_xmm_xmmm128
MOVUPD           | 66 0F 11 /r                    | MOVUPD xmm2/m128, xmm1                   | 16/32/64-bit     | SSE2       | Movupd_xmmm128_xmm
MOVUPS           | NP 0F 10 /r                    | MOVUPS xmm1, xmm2/m128                   | 16/32/64-bit     | SSE        | Movups_xmm_xmmm128
MOVUPS           | NP 0F 11 /r                    | MOVUPS xmm2/m128, xmm1                   | 16/32/64-bit     | SSE        | Movups_xmmm128_xmm
MOVZX            | 0F B6 /r                       | MOVZX r16, r/m8                          | 16/32/64-bit     | 386+       | Movzx_r16_rm8
MOVZX            | 0F B6 /r                       | MOVZX r32, r/m8                          | 16/32/64-bit     | 386+       | Movzx_r32_rm8
MOVZX            | REX.W 0F B6 /r                 | MOVZX r64, r/m8                          | 64-bit           | X64        | Movzx_r64_rm8
MOVZX            | 0F B7 /r                       | MOVZX r16, r/m16                         | 16/32/64-bit     | 386+       | Movzx_r16_rm16
MOVZX            | 0F B7 /r                       | MOVZX r32, r/m16                         | 16/32/64-bit     | 386+       | Movzx_r32_rm16
MOVZX            | REX.W 0F B7 /r                 | MOVZX r64, r/m16                         | 64-bit           | X64        | Movzx_r64_rm16
MPSADBW          | 66 0F 3A 42 /r ib              | MPSADBW xmm1, xmm2/m128, imm8            | 16/32/64-bit     | SSE4.1     | Mpsadbw_xmm_xmmm128_imm8
MUL              | F6 /4                          | MUL r/m8                                 | 16/32/64-bit     | 8086+      | Mul_rm8   
MUL              | F7 /4                          | MUL r/m16                                | 16/32/64-bit     | 8086+      | Mul_rm16  
MUL              | F7 /4                          | MUL r/m32                                | 16/32/64-bit     | 386+       | Mul_rm32  
MUL              | REX.W F7 /4                    | MUL r/m64                                | 64-bit           | X64        | Mul_rm64  
MULPD            | 66 0F 59 /r                    | MULPD xmm1, xmm2/m128                    | 16/32/64-bit     | SSE2       | Mulpd_xmm_xmmm128
MULPS            | NP 0F 59 /r                    | MULPS xmm1, xmm2/m128                    | 16/32/64-bit     | SSE        | Mulps_xmm_xmmm128
MULSD            | F2 0F 59 /r                    | MULSD xmm1, xmm2/m64                     | 16/32/64-bit     | SSE2       | Mulsd_xmm_xmmm64
MULSS            | F3 0F 59 /r                    | MULSS xmm1, xmm2/m32                     | 16/32/64-bit     | SSE        | Mulss_xmm_xmmm32
MULX             | VEX.LZ.F2.0F38.W0 F6 /r        | MULX r32a, r32b, r/m32                   | 16/32/64-bit     | BMI2       | VEX_Mulx_r32_r32_rm32
MULX             | VEX.LZ.F2.0F38.W1 F6 /r        | MULX r64a, r64b, r/m64                   | 64-bit           | BMI2       | VEX_Mulx_r64_r64_rm64
MWAIT            | NP 0F 01 C9                    | MWAIT                                    | 16/32/64-bit     | MONITOR    | Mwait     
MWAITX           | 0F 01 FB                       | MWAITX                                   | 16/32/64-bit     | MONITORX   | Mwaitx    
NEG              | F6 /3                          | NEG r/m8                                 | 16/32/64-bit     | 8086+      | Neg_rm8   
NEG              | F7 /3                          | NEG r/m16                                | 16/32/64-bit     | 8086+      | Neg_rm16  
NEG              | F7 /3                          | NEG r/m32                                | 16/32/64-bit     | 386+       | Neg_rm32  
NEG              | REX.W F7 /3                    | NEG r/m64                                | 64-bit           | X64        | Neg_rm64  
NOP              | 90                             | NOP                                      | 16/32/64-bit     | 8086+      | Nopw      
NOP              | 90                             | NOP                                      | 16/32/64-bit     | 8086+      | Nopd      
NOP              | REX.W 90                       | NOP                                      | 64-bit           | 8086+      | Nopq      
NOP              | 0F 1F /0                       | NOP r/m16                                | 16/32/64-bit     | CPUID.01H.EAX[Bits 11:8] = 0110B or 1111B | Nop_rm16  
NOP              | 0F 1F /0                       | NOP r/m32                                | 16/32/64-bit     | CPUID.01H.EAX[Bits 11:8] = 0110B or 1111B | Nop_rm32  
NOP              | REX.W 0F 1F /0                 | NOP r/m64                                | 64-bit           | CPUID.01H.EAX[Bits 11:8] = 0110B or 1111B | Nop_rm64  
NOT              | F6 /2                          | NOT r/m8                                 | 16/32/64-bit     | 8086+      | Not_rm8   
NOT              | F7 /2                          | NOT r/m16                                | 16/32/64-bit     | 8086+      | Not_rm16  
NOT              | F7 /2                          | NOT r/m32                                | 16/32/64-bit     | 386+       | Not_rm32  
NOT              | REX.W F7 /2                    | NOT r/m64                                | 64-bit           | X64        | Not_rm64  
OR               | 08 /r                          | OR r/m8, r8                              | 16/32/64-bit     | 8086+      | Or_rm8_r8 
OR               | 09 /r                          | OR r/m16, r16                            | 16/32/64-bit     | 8086+      | Or_rm16_r16
OR               | 09 /r                          | OR r/m32, r32                            | 16/32/64-bit     | 386+       | Or_rm32_r32
OR               | REX.W 09 /r                    | OR r/m64, r64                            | 64-bit           | X64        | Or_rm64_r64
OR               | 0A /r                          | OR r8, r/m8                              | 16/32/64-bit     | 8086+      | Or_r8_rm8 
OR               | 0B /r                          | OR r16, r/m16                            | 16/32/64-bit     | 8086+      | Or_r16_rm16
OR               | 0B /r                          | OR r32, r/m32                            | 16/32/64-bit     | 386+       | Or_r32_rm32
OR               | REX.W 0B /r                    | OR r64, r/m64                            | 64-bit           | X64        | Or_r64_rm64
OR               | 0C ib                          | OR AL, imm8                              | 16/32/64-bit     | 8086+      | Or_AL_imm8
OR               | 0D iw                          | OR AX, imm16                             | 16/32/64-bit     | 8086+      | Or_AX_imm16
OR               | 0D id                          | OR EAX, imm32                            | 16/32/64-bit     | 386+       | Or_EAX_imm32
OR               | REX.W 0D id                    | OR RAX, imm32                            | 64-bit           | X64        | Or_RAX_imm32
OR               | 80 /1 ib                       | OR r/m8, imm8                            | 16/32/64-bit     | 8086+      | Or_rm8_imm8
OR               | 81 /1 iw                       | OR r/m16, imm16                          | 16/32/64-bit     | 8086+      | Or_rm16_imm16
OR               | 81 /1 id                       | OR r/m32, imm32                          | 16/32/64-bit     | 386+       | Or_rm32_imm32
OR               | REX.W 81 /1 id                 | OR r/m64, imm32                          | 64-bit           | X64        | Or_rm64_imm32
OR               | 82 /1 ib                       | OR r/m8, imm8                            | 16/32-bit        | 8086+      | Or_rm8_imm8_82
OR               | 83 /1 ib                       | OR r/m16, imm8                           | 16/32/64-bit     | 8086+      | Or_rm16_imm8
OR               | 83 /1 ib                       | OR r/m32, imm8                           | 16/32/64-bit     | 386+       | Or_rm32_imm8
OR               | REX.W 83 /1 ib                 | OR r/m64, imm8                           | 64-bit           | X64        | Or_rm64_imm8
ORPD             | 66 0F 56 /r                    | ORPD xmm1, xmm2/m128                     | 16/32/64-bit     | SSE2       | Orpd_xmm_xmmm128
ORPS             | NP 0F 56 /r                    | ORPS xmm1, xmm2/m128                     | 16/32/64-bit     | SSE        | Orps_xmm_xmmm128
OUT              | E6 ib                          | OUT imm8, AL                             | 16/32/64-bit     | 8086+      | Out_imm8_AL
OUT              | E7 ib                          | OUT imm8, AX                             | 16/32/64-bit     | 8086+      | Out_imm8_AX
OUT              | E7 ib                          | OUT imm8, EAX                            | 16/32/64-bit     | 386+       | Out_imm8_EAX
OUT              | EE                             | OUT DX, AL                               | 16/32/64-bit     | 8086+      | Out_DX_AL 
OUT              | EF                             | OUT DX, AX                               | 16/32/64-bit     | 8086+      | Out_DX_AX 
OUT              | EF                             | OUT DX, EAX                              | 16/32/64-bit     | 386+       | Out_DX_EAX
OUTSB            | 6E                             | OUTSB                                    | 16/32/64-bit     | 186+       | Outsb_DX_m8
OUTSD            | 6F                             | OUTSD                                    | 16/32/64-bit     | 386+       | Outsd_DX_m32
OUTSW            | 6F                             | OUTSW                                    | 16/32/64-bit     | 186+       | Outsw_DX_m16
PABSB            | NP 0F 38 1C /r                 | PABSB mm1, mm2/m64                       | 16/32/64-bit     | SSSE3      | Pabsb_mm_mmm64
PABSB            | 66 0F 38 1C /r                 | PABSB xmm1, xmm2/m128                    | 16/32/64-bit     | SSSE3      | Pabsb_xmm_xmmm128
PABSD            | NP 0F 38 1E /r                 | PABSD mm1, mm2/m64                       | 16/32/64-bit     | SSSE3      | Pabsd_mm_mmm64
PABSD            | 66 0F 38 1E /r                 | PABSD xmm1, xmm2/m128                    | 16/32/64-bit     | SSSE3      | Pabsd_xmm_xmmm128
PABSW            | NP 0F 38 1D /r                 | PABSW mm1, mm2/m64                       | 16/32/64-bit     | SSSE3      | Pabsw_mm_mmm64
PABSW            | 66 0F 38 1D /r                 | PABSW xmm1, xmm2/m128                    | 16/32/64-bit     | SSSE3      | Pabsw_xmm_xmmm128
PACKSSDW         | NP 0F 6B /r                    | PACKSSDW mm1, mm2/m64                    | 16/32/64-bit     | MMX        | Packssdw_mm_mmm64
PACKSSDW         | 66 0F 6B /r                    | PACKSSDW xmm1, xmm2/m128                 | 16/32/64-bit     | SSE2       | Packssdw_xmm_xmmm128
PACKSSWB         | NP 0F 63 /r                    | PACKSSWB mm1, mm2/m64                    | 16/32/64-bit     | MMX        | Packsswb_mm_mmm64
PACKSSWB         | 66 0F 63 /r                    | PACKSSWB xmm1, xmm2/m128                 | 16/32/64-bit     | SSE2       | Packsswb_xmm_xmmm128
PACKUSDW         | 66 0F 38 2B /r                 | PACKUSDW xmm1, xmm2/m128                 | 16/32/64-bit     | SSE4.1     | Packusdw_xmm_xmmm128
PACKUSWB         | NP 0F 67 /r                    | PACKUSWB mm, mm/m64                      | 16/32/64-bit     | MMX        | Packuswb_mm_mmm64
PACKUSWB         | 66 0F 67 /r                    | PACKUSWB xmm1, xmm2/m128                 | 16/32/64-bit     | SSE2       | Packuswb_xmm_xmmm128
PADDB            | NP 0F FC /r                    | PADDB mm, mm/m64                         | 16/32/64-bit     | MMX        | Paddb_mm_mmm64
PADDB            | 66 0F FC /r                    | PADDB xmm1, xmm2/m128                    | 16/32/64-bit     | SSE2       | Paddb_xmm_xmmm128
PADDD            | NP 0F FE /r                    | PADDD mm, mm/m64                         | 16/32/64-bit     | MMX        | Paddd_mm_mmm64
PADDD            | 66 0F FE /r                    | PADDD xmm1, xmm2/m128                    | 16/32/64-bit     | SSE2       | Paddd_xmm_xmmm128
PADDQ            | NP 0F D4 /r                    | PADDQ mm, mm/m64                         | 16/32/64-bit     | MMX        | Paddq_mm_mmm64
PADDQ            | 66 0F D4 /r                    | PADDQ xmm1, xmm2/m128                    | 16/32/64-bit     | SSE2       | Paddq_xmm_xmmm128
PADDSB           | NP 0F EC /r                    | PADDSB mm, mm/m64                        | 16/32/64-bit     | MMX        | Paddsb_mm_mmm64
PADDSB           | 66 0F EC /r                    | PADDSB xmm1, xmm2/m128                   | 16/32/64-bit     | SSE2       | Paddsb_xmm_xmmm128
PADDSW           | NP 0F ED /r                    | PADDSW mm, mm/m64                        | 16/32/64-bit     | MMX        | Paddsw_mm_mmm64
PADDSW           | 66 0F ED /r                    | PADDSW xmm1, xmm2/m128                   | 16/32/64-bit     | SSE2       | Paddsw_xmm_xmmm128
PADDUSB          | NP 0F DC /r                    | PADDUSB mm, mm/m64                       | 16/32/64-bit     | MMX        | Paddusb_mm_mmm64
PADDUSB          | 66 0F DC /r                    | PADDUSB xmm1, xmm2/m128                  | 16/32/64-bit     | SSE2       | Paddusb_xmm_xmmm128
PADDUSW          | NP 0F DD /r                    | PADDUSW mm, mm/m64                       | 16/32/64-bit     | MMX        | Paddusw_mm_mmm64
PADDUSW          | 66 0F DD /r                    | PADDUSW xmm1, xmm2/m128                  | 16/32/64-bit     | SSE2       | Paddusw_xmm_xmmm128
PADDW            | NP 0F FD /r                    | PADDW mm, mm/m64                         | 16/32/64-bit     | MMX        | Paddw_mm_mmm64
PADDW            | 66 0F FD /r                    | PADDW xmm1, xmm2/m128                    | 16/32/64-bit     | SSE2       | Paddw_xmm_xmmm128
PALIGNR          | NP 0F 3A 0F /r ib              | PALIGNR mm1, mm2/m64, imm8               | 16/32/64-bit     | SSSE3      | Palignr_mm_mmm64_imm8
PALIGNR          | 66 0F 3A 0F /r ib              | PALIGNR xmm1, xmm2/m128, imm8            | 16/32/64-bit     | SSSE3      | Palignr_xmm_xmmm128_imm8
PAND             | NP 0F DB /r                    | PAND mm, mm/m64                          | 16/32/64-bit     | MMX        | Pand_mm_mmm64
PAND             | 66 0F DB /r                    | PAND xmm1, xmm2/m128                     | 16/32/64-bit     | SSE2       | Pand_xmm_xmmm128
PANDN            | NP 0F DF /r                    | PANDN mm, mm/m64                         | 16/32/64-bit     | MMX        | Pandn_mm_mmm64
PANDN            | 66 0F DF /r                    | PANDN xmm1, xmm2/m128                    | 16/32/64-bit     | SSE2       | Pandn_xmm_xmmm128
PAUSE            | F3 90                          | PAUSE                                    | 16/32/64-bit     | Pentium 4 or later | Pause     
PAVGB            | NP 0F E0 /r                    | PAVGB mm1, mm2/m64                       | 16/32/64-bit     | SSE        | Pavgb_mm_mmm64
PAVGB            | 66 0F E0 /r                    | PAVGB xmm1, xmm2/m128                    | 16/32/64-bit     | SSE2       | Pavgb_xmm_xmmm128
PAVGUSB          | 0F 0F /r BF                    | PAVGUSB mm1, mm2/m64                     | 16/32/64-bit     | 3DNOW      | D3NOW_Pavgusb_mm_mmm64
PAVGW            | NP 0F E3 /r                    | PAVGW mm1, mm2/m64                       | 16/32/64-bit     | SSE        | Pavgw_mm_mmm64
PAVGW            | 66 0F E3 /r                    | PAVGW xmm1, xmm2/m128                    | 16/32/64-bit     | SSE2       | Pavgw_xmm_xmmm128
PBLENDVB         | 66 0F 38 10 /r                 | PBLENDVB xmm1, xmm2/m128, <XMM0>         | 16/32/64-bit     | SSE4.1     | Pblendvb_xmm_xmmm128
PBLENDW          | 66 0F 3A 0E /r ib              | PBLENDW xmm1, xmm2/m128, imm8            | 16/32/64-bit     | SSE4.1     | Pblendw_xmm_xmmm128_imm8
PCLMULQDQ        | 66 0F 3A 44 /r ib              | PCLMULQDQ xmm1, xmm2/m128, imm8          | 16/32/64-bit     | PCLMULQDQ  | Pclmulqdq_xmm_xmmm128_imm8
PCMPEQB          | NP 0F 74 /r                    | PCMPEQB mm, mm/m64                       | 16/32/64-bit     | MMX        | Pcmpeqb_mm_mmm64
PCMPEQB          | 66 0F 74 /r                    | PCMPEQB xmm1, xmm2/m128                  | 16/32/64-bit     | SSE2       | Pcmpeqb_xmm_xmmm128
PCMPEQD          | NP 0F 76 /r                    | PCMPEQD mm, mm/m64                       | 16/32/64-bit     | MMX        | Pcmpeqd_mm_mmm64
PCMPEQD          | 66 0F 76 /r                    | PCMPEQD xmm1, xmm2/m128                  | 16/32/64-bit     | SSE2       | Pcmpeqd_xmm_xmmm128
PCMPEQQ          | 66 0F 38 29 /r                 | PCMPEQQ xmm1, xmm2/m128                  | 16/32/64-bit     | SSE4.1     | Pcmpeqq_xmm_xmmm128
PCMPEQW          | NP 0F 75 /r                    | PCMPEQW mm, mm/m64                       | 16/32/64-bit     | MMX        | Pcmpeqw_mm_mmm64
PCMPEQW          | 66 0F 75 /r                    | PCMPEQW xmm1, xmm2/m128                  | 16/32/64-bit     | SSE2       | Pcmpeqw_xmm_xmmm128
PCMPESTRI        | 66 0F 3A 61 /r ib              | PCMPESTRI xmm1, xmm2/m128, imm8          | 16/32/64-bit     | SSE4.2     | Pcmpestri_xmm_xmmm128_imm8
PCMPESTRI64      | 66 REX.W 0F 3A 61 /r ib        | PCMPESTRI64 xmm1, xmm2/m128, imm8        | 64-bit           | SSE4.2     | Pcmpestri64_xmm_xmmm128_imm8
PCMPESTRM        | 66 0F 3A 60 /r ib              | PCMPESTRM xmm1, xmm2/m128, imm8          | 16/32/64-bit     | SSE4.2     | Pcmpestrm_xmm_xmmm128_imm8
PCMPESTRM64      | 66 REX.W 0F 3A 60 /r ib        | PCMPESTRM64 xmm1, xmm2/m128, imm8        | 64-bit           | SSE4.2     | Pcmpestrm64_xmm_xmmm128_imm8
PCMPGTB          | NP 0F 64 /r                    | PCMPGTB mm, mm/m64                       | 16/32/64-bit     | MMX        | Pcmpgtb_mm_mmm64
PCMPGTB          | 66 0F 64 /r                    | PCMPGTB xmm1, xmm2/m128                  | 16/32/64-bit     | SSE2       | Pcmpgtb_xmm_xmmm128
PCMPGTD          | NP 0F 66 /r                    | PCMPGTD mm, mm/m64                       | 16/32/64-bit     | MMX        | Pcmpgtd_mm_mmm64
PCMPGTD          | 66 0F 66 /r                    | PCMPGTD xmm1, xmm2/m128                  | 16/32/64-bit     | SSE2       | Pcmpgtd_xmm_xmmm128
PCMPGTQ          | 66 0F 38 37 /r                 | PCMPGTQ xmm1, xmm2/m128                  | 16/32/64-bit     | SSE4.2     | Pcmpgtq_xmm_xmmm128
PCMPGTW          | NP 0F 65 /r                    | PCMPGTW mm, mm/m64                       | 16/32/64-bit     | MMX        | Pcmpgtw_mm_mmm64
PCMPGTW          | 66 0F 65 /r                    | PCMPGTW xmm1, xmm2/m128                  | 16/32/64-bit     | SSE2       | Pcmpgtw_xmm_xmmm128
PCMPISTRI        | 66 0F 3A 63 /r ib              | PCMPISTRI xmm1, xmm2/m128, imm8          | 16/32/64-bit     | SSE4.2     | Pcmpistri_xmm_xmmm128_imm8
PCMPISTRM        | 66 0F 3A 62 /r ib              | PCMPISTRM xmm1, xmm2/m128, imm8          | 16/32/64-bit     | SSE4.2     | Pcmpistrm_xmm_xmmm128_imm8
PCOMMIT          | 66 0F AE F8                    | PCOMMIT                                  | 16/32/64-bit     | PCOMMIT    | Pcommit   
PCONFIG          | NP 0F 01 C5                    | PCONFIG                                  | 16/32/64-bit     | PCONFIG    | Pconfig   
PDEP             | VEX.LZ.F2.0F38.W0 F5 /r        | PDEP r32a, r32b, r/m32                   | 16/32/64-bit     | BMI2       | VEX_Pdep_r32_r32_rm32
PDEP             | VEX.LZ.F2.0F38.W1 F5 /r        | PDEP r64a, r64b, r/m64                   | 64-bit           | BMI2       | VEX_Pdep_r64_r64_rm64
PEXT             | VEX.LZ.F3.0F38.W0 F5 /r        | PEXT r32a, r32b, r/m32                   | 16/32/64-bit     | BMI2       | VEX_Pext_r32_r32_rm32
PEXT             | VEX.LZ.F3.0F38.W1 F5 /r        | PEXT r64a, r64b, r/m64                   | 64-bit           | BMI2       | VEX_Pext_r64_r64_rm64
PEXTRB           | 66 0F 3A 14 /r ib              | PEXTRB r32/m8, xmm2, imm8                | 16/32/64-bit     | SSE4.1     | Pextrb_r32m8_xmm_imm8
PEXTRB           | 66 REX.W 0F 3A 14 /r ib        | PEXTRB r64/m8, xmm2, imm8                | 64-bit           | SSE4.1     | Pextrb_r64m8_xmm_imm8
PEXTRD           | 66 0F 3A 16 /r ib              | PEXTRD r/m32, xmm2, imm8                 | 16/32/64-bit     | SSE4.1     | Pextrd_rm32_xmm_imm8
PEXTRQ           | 66 REX.W 0F 3A 16 /r ib        | PEXTRQ r/m64, xmm2, imm8                 | 64-bit           | SSE4.1     | Pextrq_rm64_xmm_imm8
PEXTRW           | NP 0F C5 /r ib                 | PEXTRW r32, mm, imm8                     | 16/32/64-bit     | SSE        | Pextrw_r32_mm_imm8
PEXTRW           | NP REX.W 0F C5 /r ib           | PEXTRW r64, mm, imm8                     | 64-bit           | SSE        | Pextrw_r64_mm_imm8
PEXTRW           | 66 0F C5 /r ib                 | PEXTRW r32, xmm, imm8                    | 16/32/64-bit     | SSE2       | Pextrw_r32_xmm_imm8
PEXTRW           | 66 REX.W 0F C5 /r ib           | PEXTRW r64, xmm, imm8                    | 64-bit           | SSE2       | Pextrw_r64_xmm_imm8
PEXTRW           | 66 0F 3A 15 /r ib              | PEXTRW r32/m16, xmm, imm8                | 16/32/64-bit     | SSE4.1     | Pextrw_r32m16_xmm_imm8
PEXTRW           | 66 REX.W 0F 3A 15 /r ib        | PEXTRW r64/m16, xmm, imm8                | 64-bit           | SSE4.1     | Pextrw_r64m16_xmm_imm8
PF2ID            | 0F 0F /r 1D                    | PF2ID mm1, mm2/m64                       | 16/32/64-bit     | 3DNOW      | D3NOW_Pf2id_mm_mmm64
PF2IW            | 0F 0F /r 1C                    | PF2IW mm1, mm2/m64                       | 16/32/64-bit     | 3DNOWEXT   | D3NOW_Pf2iw_mm_mmm64
PFACC            | 0F 0F /r AE                    | PFACC mm1, mm2/m64                       | 16/32/64-bit     | 3DNOW      | D3NOW_Pfacc_mm_mmm64
PFADD            | 0F 0F /r 9E                    | PFADD mm1, mm2/m64                       | 16/32/64-bit     | 3DNOW      | D3NOW_Pfadd_mm_mmm64
PFCMPEQ          | 0F 0F /r B0                    | PFCMPEQ mm1, mm2/m64                     | 16/32/64-bit     | 3DNOW      | D3NOW_Pfcmpeq_mm_mmm64
PFCMPGE          | 0F 0F /r 90                    | PFCMPGE mm1, mm2/m64                     | 16/32/64-bit     | 3DNOW      | D3NOW_Pfcmpge_mm_mmm64
PFCMPGT          | 0F 0F /r A0                    | PFCMPGT mm1, mm2/m64                     | 16/32/64-bit     | 3DNOW      | D3NOW_Pfcmpgt_mm_mmm64
PFMAX            | 0F 0F /r A4                    | PFMAX mm1, mm2/m64                       | 16/32/64-bit     | 3DNOW      | D3NOW_Pfmax_mm_mmm64
PFMIN            | 0F 0F /r 94                    | PFMIN mm1, mm2/m64                       | 16/32/64-bit     | 3DNOW      | D3NOW_Pfmin_mm_mmm64
PFMUL            | 0F 0F /r B4                    | PFMUL mm1, mm2/m64                       | 16/32/64-bit     | 3DNOW      | D3NOW_Pfmul_mm_mmm64
PFNACC           | 0F 0F /r 8A                    | PFNACC mm1, mm2/m64                      | 16/32/64-bit     | 3DNOWEXT   | D3NOW_Pfnacc_mm_mmm64
PFPNACC          | 0F 0F /r 8E                    | PFPNACC mm1, mm2/m64                     | 16/32/64-bit     | 3DNOWEXT   | D3NOW_Pfpnacc_mm_mmm64
PFRCP            | 0F 0F /r 96                    | PFRCP mm1, mm2/m64                       | 16/32/64-bit     | 3DNOW      | D3NOW_Pfrcp_mm_mmm64
PFRCPIT1         | 0F 0F /r A6                    | PFRCPIT1 mm1, mm2/m64                    | 16/32/64-bit     | 3DNOW      | D3NOW_Pfrcpit1_mm_mmm64
PFRCPIT2         | 0F 0F /r B6                    | PFRCPIT2 mm1, mm2/m64                    | 16/32/64-bit     | 3DNOW      | D3NOW_Pfrcpit2_mm_mmm64
PFRCPV           | 0F 0F /r 86                    | PFRCPV mm1, mm2/m64                      | 16/32/64-bit     | AMD Geode LX/GX | D3NOW_Pfrcpv_mm_mmm64
PFRSQIT1         | 0F 0F /r A7                    | PFRSQIT1 mm1, mm2/m64                    | 16/32/64-bit     | 3DNOW      | D3NOW_Pfrsqit1_mm_mmm64
PFRSQRT          | 0F 0F /r 97                    | PFRSQRT mm1, mm2/m64                     | 16/32/64-bit     | 3DNOW      | D3NOW_Pfrsqrt_mm_mmm64
PFRSQRTV         | 0F 0F /r 87                    | PFRSQRTV mm1, mm2/m64                    | 16/32/64-bit     | AMD Geode LX/GX | D3NOW_Pfrsqrtv_mm_mmm64
PFSUB            | 0F 0F /r 9A                    | PFSUB mm1, mm2/m64                       | 16/32/64-bit     | 3DNOW      | D3NOW_Pfsub_mm_mmm64
PFSUBR           | 0F 0F /r AA                    | PFSUBR mm1, mm2/m64                      | 16/32/64-bit     | 3DNOW      | D3NOW_Pfsubr_mm_mmm64
PHADDD           | NP 0F 38 02 /r                 | PHADDD mm1, mm2/m64                      | 16/32/64-bit     | SSSE3      | Phaddd_mm_mmm64
PHADDD           | 66 0F 38 02 /r                 | PHADDD xmm1, xmm2/m128                   | 16/32/64-bit     | SSSE3      | Phaddd_xmm_xmmm128
PHADDSW          | NP 0F 38 03 /r                 | PHADDSW mm1, mm2/m64                     | 16/32/64-bit     | SSSE3      | Phaddsw_mm_mmm64
PHADDSW          | 66 0F 38 03 /r                 | PHADDSW xmm1, xmm2/m128                  | 16/32/64-bit     | SSSE3      | Phaddsw_xmm_xmmm128
PHADDW           | NP 0F 38 01 /r                 | PHADDW mm1, mm2/m64                      | 16/32/64-bit     | SSSE3      | Phaddw_mm_mmm64
PHADDW           | 66 0F 38 01 /r                 | PHADDW xmm1, xmm2/m128                   | 16/32/64-bit     | SSSE3      | Phaddw_xmm_xmmm128
PHMINPOSUW       | 66 0F 38 41 /r                 | PHMINPOSUW xmm1, xmm2/m128               | 16/32/64-bit     | SSE4.1     | Phminposuw_xmm_xmmm128
PHSUBD           | NP 0F 38 06 /r                 | PHSUBD mm1, mm2/m64                      | 16/32/64-bit     | SSSE3      | Phsubd_mm_mmm64
PHSUBD           | 66 0F 38 06 /r                 | PHSUBD xmm1, xmm2/m128                   | 16/32/64-bit     | SSSE3      | Phsubd_xmm_xmmm128
PHSUBSW          | NP 0F 38 07 /r                 | PHSUBSW mm1, mm2/m64                     | 16/32/64-bit     | SSSE3      | Phsubsw_mm_mmm64
PHSUBSW          | 66 0F 38 07 /r                 | PHSUBSW xmm1, xmm2/m128                  | 16/32/64-bit     | SSSE3      | Phsubsw_xmm_xmmm128
PHSUBW           | NP 0F 38 05 /r                 | PHSUBW mm1, mm2/m64                      | 16/32/64-bit     | SSSE3      | Phsubw_mm_mmm64
PHSUBW           | 66 0F 38 05 /r                 | PHSUBW xmm1, xmm2/m128                   | 16/32/64-bit     | SSSE3      | Phsubw_xmm_xmmm128
PI2FD            | 0F 0F /r 0D                    | PI2FD mm1, mm2/m64                       | 16/32/64-bit     | 3DNOW      | D3NOW_Pi2fd_mm_mmm64
PI2FW            | 0F 0F /r 0C                    | PI2FW mm1, mm2/m64                       | 16/32/64-bit     | 3DNOWEXT   | D3NOW_Pi2fw_mm_mmm64
PINSRB           | 66 0F 3A 20 /r ib              | PINSRB xmm1, r32/m8, imm8                | 16/32/64-bit     | SSE4.1     | Pinsrb_xmm_r32m8_imm8
PINSRB           | 66 REX.W 0F 3A 20 /r ib        | PINSRB xmm1, r64/m8, imm8                | 64-bit           | SSE4.1     | Pinsrb_xmm_r64m8_imm8
PINSRD           | 66 0F 3A 22 /r ib              | PINSRD xmm1, r/m32, imm8                 | 16/32/64-bit     | SSE4.1     | Pinsrd_xmm_rm32_imm8
PINSRQ           | 66 REX.W 0F 3A 22 /r ib        | PINSRQ xmm1, r/m64, imm8                 | 64-bit           | SSE4.1     | Pinsrq_xmm_rm64_imm8
PINSRW           | NP 0F C4 /r ib                 | PINSRW mm, r32/m16, imm8                 | 16/32/64-bit     | SSE        | Pinsrw_mm_r32m16_imm8
PINSRW           | NP REX.W 0F C4 /r ib           | PINSRW mm, r64/m16, imm8                 | 64-bit           | SSE        | Pinsrw_mm_r64m16_imm8
PINSRW           | 66 0F C4 /r ib                 | PINSRW xmm, r32/m16, imm8                | 16/32/64-bit     | SSE2       | Pinsrw_xmm_r32m16_imm8
PINSRW           | 66 REX.W 0F C4 /r ib           | PINSRW xmm, r64/m16, imm8                | 64-bit           | SSE2       | Pinsrw_xmm_r64m16_imm8
PMADDUBSW        | NP 0F 38 04 /r                 | PMADDUBSW mm1, mm2/m64                   | 16/32/64-bit     | SSSE3      | Pmaddubsw_mm_mmm64
