| Id                                                | CodeBytes       | Prefix  | Table   | Group   | Op1                 | Op2                 | Op3                 | Op4                 | OpSize    | AddressSize   | Flags
| VEX_Vucomiss_xmm_xmmm32                           | 2e 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
| EVEX_Vucomiss_xmm_xmmm32_sae                      | 2e 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, LIG, SuppressAllExceptions
| Ucomisd_xmm_xmmm64                                | 2e 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vucomisd_xmm_xmmm64                           | 2e 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
| EVEX_Vucomisd_xmm_xmmm64_sae                      | 2e 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, LIG, W, SuppressAllExceptions
| Comiss_xmm_xmmm32                                 | 2f 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| Comisd_xmm_xmmm64                                 | 2f 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vcomiss_xmm_xmmm32                            | 2f 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
| VEX_Vcomisd_xmm_xmmm64                            | 2f 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
| EVEX_Vcomiss_xmm_xmmm32_sae                       | 2f 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, LIG, SuppressAllExceptions
| EVEX_Vcomisd_xmm_xmmm64_sae                       | 2f 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, LIG, W, SuppressAllExceptions
| Wrmsr                                             | 30 00 00 00     |         | T0F     |         |                     |                     |                     |                     |           |               | Mode16, Mode32, Mode64
| Rdtsc                                             | 31 00 00 00     |         | T0F     |         |                     |                     |                     |                     |           |               | Mode16, Mode32, Mode64
| Rdmsr                                             | 32 00 00 00     |         | T0F     |         |                     |                     |                     |                     |           |               | Mode16, Mode32, Mode64
| Rdpmc                                             | 33 00 00 00     |         | T0F     |         |                     |                     |                     |                     |           |               | Mode16, Mode32, Mode64
| Sysenter                                          | 34 00 00 00     |         | T0F     |         |                     |                     |                     |                     |           |               | Mode16, Mode32, Mode64
| Sysexitd                                          | 35 00 00 00     |         | T0F     |         |                     |                     |                     |                     |           |               | Mode16, Mode32, Mode64
| Sysexitq                                          | 35 00 00 00     |         | T0F     |         |                     |                     |                     |                     | Size64    |               | Mode64
| Getsec                                            | 37 00 00 00     | PNP     | T0F     |         |                     |                     |                     |                     |           |               | Mode16, Mode32, Mode64
| Cmovo_r16_rm16                                    | 40 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovo_r32_rm32                                    | 40 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovo_r64_rm64                                    | 40 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmovno_r16_rm16                                   | 41 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovno_r32_rm32                                   | 41 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovno_r64_rm64                                   | 41 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmovb_r16_rm16                                    | 42 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovb_r32_rm32                                    | 42 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovb_r64_rm64                                    | 42 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmovae_r16_rm16                                   | 43 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovae_r32_rm32                                   | 43 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovae_r64_rm64                                   | 43 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmove_r16_rm16                                    | 44 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmove_r32_rm32                                    | 44 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmove_r64_rm64                                    | 44 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmovne_r16_rm16                                   | 45 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovne_r32_rm32                                   | 45 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovne_r64_rm64                                   | 45 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmovbe_r16_rm16                                   | 46 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovbe_r32_rm32                                   | 46 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovbe_r64_rm64                                   | 46 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmova_r16_rm16                                    | 47 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmova_r32_rm32                                    | 47 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmova_r64_rm64                                    | 47 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmovs_r16_rm16                                    | 48 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovs_r32_rm32                                    | 48 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovs_r64_rm64                                    | 48 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmovns_r16_rm16                                   | 49 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovns_r32_rm32                                   | 49 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovns_r64_rm64                                   | 49 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmovp_r16_rm16                                    | 4a 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovp_r32_rm32                                    | 4a 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovp_r64_rm64                                    | 4a 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmovnp_r16_rm16                                   | 4b 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovnp_r32_rm32                                   | 4b 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovnp_r64_rm64                                   | 4b 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmovl_r16_rm16                                    | 4c 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovl_r32_rm32                                    | 4c 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovl_r64_rm64                                    | 4c 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmovge_r16_rm16                                   | 4d 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovge_r32_rm32                                   | 4d 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovge_r64_rm64                                   | 4d 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmovle_r16_rm16                                   | 4e 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovle_r32_rm32                                   | 4e 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovle_r64_rm64                                   | 4e 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| Cmovg_r16_rm16                                    | 4f 00 00 00     |         | T0F     |         | r16_reg             | r16_or_mem          |                     |                     | Size16    |               | Mode16, Mode32, Mode64
| Cmovg_r32_rm32                                    | 4f 00 00 00     |         | T0F     |         | r32_reg             | r32_or_mem          |                     |                     | Size32    |               | Mode16, Mode32, Mode64
| Cmovg_r64_rm64                                    | 4f 00 00 00     |         | T0F     |         | r64_reg             | r64_or_mem          |                     |                     | Size64    |               | Mode64
| VEX_Kandw_k_k_k                                   | 41 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| VEX_Kandq_k_k_k                                   | 41 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Kandb_k_k_k                                   | 41 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| VEX_Kandd_k_k_k                                   | 41 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Kandnw_k_k_k                                  | 42 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| VEX_Kandnq_k_k_k                                  | 42 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Kandnb_k_k_k                                  | 42 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| VEX_Kandnd_k_k_k                                  | 42 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Knotw_k_k                                     | 44 00 00 00     | PNP     | T0F     |         | k_reg               | k_rm                |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Knotq_k_k                                     | 44 00 00 00     | PNP     | T0F     |         | k_reg               | k_rm                |                     |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Knotb_k_k                                     | 44 00 00 00     | P66     | T0F     |         | k_reg               | k_rm                |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Knotd_k_k                                     | 44 00 00 00     | P66     | T0F     |         | k_reg               | k_rm                |                     |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Korw_k_k_k                                    | 45 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| VEX_Korq_k_k_k                                    | 45 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Korb_k_k_k                                    | 45 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| VEX_Kord_k_k_k                                    | 45 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Kxnorw_k_k_k                                  | 46 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| VEX_Kxnorq_k_k_k                                  | 46 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Kxnorb_k_k_k                                  | 46 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| VEX_Kxnord_k_k_k                                  | 46 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Kxorw_k_k_k                                   | 47 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| VEX_Kxorq_k_k_k                                   | 47 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Kxorb_k_k_k                                   | 47 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| VEX_Kxord_k_k_k                                   | 47 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Kaddw_k_k_k                                   | 4a 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| VEX_Kaddq_k_k_k                                   | 4a 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Kaddb_k_k_k                                   | 4a 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| VEX_Kaddd_k_k_k                                   | 4a 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Kunpckwd_k_k_k                                | 4b 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| VEX_Kunpckdq_k_k_k                                | 4b 00 00 00     | PNP     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64, W
| VEX_Kunpckbw_k_k_k                                | 4b 00 00 00     | P66     | T0F     |         | k_reg               | k_vvvv              | k_rm                |                     |           |               | Mode16, Mode32, Mode64
| Movmskps_r32_xmm                                  | 50 00 00 00     | PNP     | T0F     |         | r32_reg             | xmm_rm              |                     |                     |           |               | Mode16, Mode32, Mode64
| Movmskps_r64_xmm                                  | 50 00 00 00     | PNP     | T0F     |         | r64_reg             | xmm_rm              |                     |                     | Size64    |               | Mode64
| VEX_Vmovmskps_r32_xmm                             | 50 00 00 00     | PNP     | T0F     |         | r32_reg             | xmm_rm              |                     |                     |           |               | Mode16, Mode32, Mode64, WIG32
| VEX_Vmovmskps_r64_xmm                             | 50 00 00 00     | PNP     | T0F     |         | r64_reg             | xmm_rm              |                     |                     |           |               | Mode64, W
| VEX_Vmovmskps_r32_ymm                             | 50 00 00 00     | PNP     | T0F     |         | r32_reg             | ymm_rm              |                     |                     |           |               | Mode16, Mode32, Mode64, WIG32
| VEX_Vmovmskps_r64_ymm                             | 50 00 00 00     | PNP     | T0F     |         | r64_reg             | ymm_rm              |                     |                     |           |               | Mode64, W
| Movmskpd_r32_xmm                                  | 50 00 00 00     | P66     | T0F     |         | r32_reg             | xmm_rm              |                     |                     |           |               | Mode16, Mode32, Mode64
| Movmskpd_r64_xmm                                  | 50 00 00 00     | P66     | T0F     |         | r64_reg             | xmm_rm              |                     |                     | Size64    |               | Mode64
| VEX_Vmovmskpd_r32_xmm                             | 50 00 00 00     | P66     | T0F     |         | r32_reg             | xmm_rm              |                     |                     |           |               | Mode16, Mode32, Mode64, WIG32
| VEX_Vmovmskpd_r64_xmm                             | 50 00 00 00     | P66     | T0F     |         | r64_reg             | xmm_rm              |                     |                     |           |               | Mode64, W
| VEX_Vmovmskpd_r32_ymm                             | 50 00 00 00     | P66     | T0F     |         | r32_reg             | ymm_rm              |                     |                     |           |               | Mode16, Mode32, Mode64, WIG32
| VEX_Vmovmskpd_r64_ymm                             | 50 00 00 00     | P66     | T0F     |         | r64_reg             | ymm_rm              |                     |                     |           |               | Mode64, W
| Sqrtps_xmm_xmmm128                                | 51 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vsqrtps_xmm_xmmm128                           | 51 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vsqrtps_ymm_ymmm256                           | 51 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vsqrtps_xmm_k1z_xmmm128b32                   | 51 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vsqrtps_ymm_k1z_ymmm256b32                   | 51 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vsqrtps_zmm_k1z_zmmm512b32_er                | 51 00 00 00     | PNP     | T0F     |         | zmm_reg             | zmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| Sqrtpd_xmm_xmmm128                                | 51 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vsqrtpd_xmm_xmmm128                           | 51 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vsqrtpd_ymm_ymmm256                           | 51 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vsqrtpd_xmm_k1z_xmmm128b64                   | 51 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vsqrtpd_ymm_k1z_ymmm256b64                   | 51 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vsqrtpd_zmm_k1z_zmmm512b64_er                | 51 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, RoundingControl, OpMaskRegister, ZeroingMasking
| Sqrtss_xmm_xmmm32                                 | 51 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vsqrtss_xmm_xmm_xmmm32                        | 51 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
| EVEX_Vsqrtss_xmm_k1z_xmm_xmmm32_er                | 51 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, RoundingControl, OpMaskRegister, ZeroingMasking
| Sqrtsd_xmm_xmmm64                                 | 51 00 00 00     | PF2     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vsqrtsd_xmm_xmm_xmmm64                        | 51 00 00 00     | PF2     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
| EVEX_Vsqrtsd_xmm_k1z_xmm_xmmm64_er                | 51 00 00 00     | PF2     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, W, RoundingControl, OpMaskRegister, ZeroingMasking
| Rsqrtps_xmm_xmmm128                               | 52 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vrsqrtps_xmm_xmmm128                          | 52 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vrsqrtps_ymm_ymmm256                          | 52 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| Rsqrtss_xmm_xmmm32                                | 52 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vrsqrtss_xmm_xmm_xmmm32                       | 52 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
| Rcpps_xmm_xmmm128                                 | 53 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vrcpps_xmm_xmmm128                            | 53 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vrcpps_ymm_ymmm256                            | 53 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64, WIG
| Rcpss_xmm_xmmm32                                  | 53 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vrcpss_xmm_xmm_xmmm32                         | 53 00 00 00     | PF3     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, LIG, WIG
| Andps_xmm_xmmm128                                 | 54 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vandps_xmm_xmm_xmmm128                        | 54 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vandps_ymm_ymm_ymmm256                        | 54 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vandps_xmm_k1z_xmm_xmmm128b32                | 54 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vandps_ymm_k1z_ymm_ymmm256b32                | 54 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vandps_zmm_k1z_zmm_zmmm512b32                | 54 00 00 00     | PNP     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| Andpd_xmm_xmmm128                                 | 54 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vandpd_xmm_xmm_xmmm128                        | 54 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vandpd_ymm_ymm_ymmm256                        | 54 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vandpd_xmm_k1z_xmm_xmmm128b64                | 54 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vandpd_ymm_k1z_ymm_ymmm256b64                | 54 00 00 00     | P66     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vandpd_zmm_k1z_zmm_zmmm512b64                | 54 00 00 00     | P66     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, W, Broadcast, OpMaskRegister, ZeroingMasking
| Andnps_xmm_xmmm128                                | 55 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vandnps_xmm_xmm_xmmm128                       | 55 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| VEX_Vandnps_ymm_ymm_ymmm256                       | 55 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
| EVEX_Vandnps_xmm_k1z_xmm_xmmm128b32               | 55 00 00 00     | PNP     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vandnps_ymm_k1z_ymm_ymmm256b32               | 55 00 00 00     | PNP     | T0F     |         | ymm_reg             | ymm_vvvv            | ymm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| EVEX_Vandnps_zmm_k1z_zmm_zmmm512b32               | 55 00 00 00     | PNP     | T0F     |         | zmm_reg             | zmm_vvvv            | zmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, Broadcast, OpMaskRegister, ZeroingMasking
| Andnpd_xmm_xmmm128                                | 55 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_or_mem          |                     |                     |           |               | Mode16, Mode32, Mode64
| VEX_Vandnpd_xmm_xmm_xmmm128                       | 55 00 00 00     | P66     | T0F     |         | xmm_reg             | xmm_vvvv            | xmm_or_mem          |                     |           |               | Mode16, Mode32, Mode64, WIG
